Выборы Президента Российской Федерации																																																																																																									
Дата голосования: 18.03.2018																																																																																																									
																																																																																																									
Наименование Избирательной комиссии:    Балашихинская городская № 2																																																																																																									
																																																																																																									
Сводная таблица итогов голосования																																																																																																									
																																																																																																									
	Число участковых избирательных комиссий	94																																																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	94																																																																																																							
																																																																																																									
		Сумма	УИК №39	УИК №41	УИК №42	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №50	УИК №51	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №80	УИК №87	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №1738	УИК №3671	УИК №3672	УИК №3673	УИК №3677	УИК №3678	УИК №3679	УИК №3680	УИК №3681	УИК №3682	УИК №3683	УИК №4197	УИК №4199									
17	Собчак Ксения Анатольевна	2853	40	20	18	20	36	14	21	27	44	45	37	32	13	33	24	31	22	32	33	20	18	32	33	45	30	32	25	30	22	36	19	27	25	12	18	15	16	22	12	21	48	42	24	42	49	51	34	30	50	76	22	25	17	39	56	28	27	25	57	34	27	44	22	34	28	26	28	36	45	33	28	43	38	27	24	13	22	32	21	25	5	75	26	31	30	48	19	42	15	83	23	23	5	4									
		2.53%	2.78%	1.72%	1.53%	1.63%	3.56%	1.47%	1.64%	2.10%	2.46%	2.86%	2.50%	2.18%	0.90%	2.09%	2.21%	1.70%	1.39%	2.39%	1.96%	1.60%	2.30%	1.90%	3.74%	3.82%	2.34%	2.79%	2.48%	2.92%	2.49%	3.14%	1.45%	2.14%	1.87%	1.15%	1.54%	1.45%	1.54%	2.55%	1.42%	2.50%	3.92%	3.09%	2.22%	3.63%	3.34%	3.17%	2.95%	2.51%	4.94%	3.92%	2.28%	1.84%	1.57%	2.91%	3.44%	2.61%	2.79%	2.63%	5.17%	3.65%	2.68%	3.13%	2.28%	2.71%	2.47%	2.02%	2.59%	2.57%	3.69%	2.15%	2.32%	3.20%	2.74%	2.01%	2.22%	1.65%	1.84%	2.34%	1.29%	1.96%	1.20%	4.43%	1.91%	3.13%	2.41%	4.83%	2.21%	3.18%	2.53%	4.43%	2.67%	2.34%	1.52%	1.54%									
18	Сурайкин Максим Александрович	799	7	9	10	9	4	9	10	15	6	11	7	25	10	20	6	12	12	17	6	6	7	9	7	2	8	7	5	12	13	18	4	9	8	13	13	9	6	4	3	5	7	13	11	7	7	14	9	5	5	12	6	9	5	15	17	10	5	8	10	10	7	15	4	12	8	10	4	13	12	11	4	11	9	4	6	6	6	7	12	5	3	8	7	2	14	2	6	5	4	13	3	6	0	2									
		0.71%	0.49%	0.78%	0.85%	0.74%	0.40%	0.94%	0.78%	1.17%	0.33%	0.70%	0.47%	1.70%	0.69%	1.27%	0.55%	0.66%	0.76%	1.27%	0.36%	0.48%	0.90%	0.53%	0.79%	0.17%	0.62%	0.61%	0.50%	1.17%	1.47%	1.57%	0.31%	0.71%	0.60%	1.25%	1.11%	0.87%	0.58%	0.46%	0.35%	0.60%	0.57%	0.96%	1.02%	0.60%	0.48%	0.87%	0.78%	0.42%	0.49%	0.62%	0.62%	0.66%	0.46%	1.12%	1.04%	0.93%	0.52%	0.84%	0.91%	1.07%	0.70%	1.07%	0.41%	0.96%	0.71%	0.78%	0.37%	0.93%	0.99%	0.72%	0.33%	0.82%	0.65%	0.30%	0.56%	0.76%	0.50%	0.51%	0.74%	0.39%	0.72%	0.47%	0.52%	0.20%	1.12%	0.20%	0.70%	0.38%	0.67%	0.69%	0.35%	0.61%	0.00%	0.77%									
19	Титов Борис Юрьевич	1221	10	6	13	7	9	14	8	10	17	13	11	23	14	14	5	24	12	10	20	12	3	17	14	19	28	10	7	12	7	8	17	18	7	7	7	6	9	5	6	13	20	24	8	12	20	12	17	23	19	33	7	9	15	23	22	13	16	9	28	8	11	25	6	16	12	16	11	15	15	16	18	19	14	7	8	7	8	14	20	14	4	18	9	16	9	17	8	10	6	19	10	10	2	1									
		1.08%	0.70%	0.52%	1.11%	0.57%	0.89%	1.47%	0.62%	0.78%	0.95%	0.83%	0.74%	1.56%	0.97%	0.89%	0.46%	1.32%	0.76%	0.75%	1.19%	0.96%	0.38%	1.01%	1.59%	1.61%	2.19%	0.87%	0.69%	1.17%	0.79%	0.70%	1.30%	1.43%	0.52%	0.67%	0.60%	0.58%	0.87%	0.58%	0.71%	1.55%	1.63%	1.76%	0.74%	1.04%	1.37%	0.75%	1.47%	1.92%	1.88%	1.70%	0.73%	0.66%	1.38%	1.72%	1.35%	1.21%	1.65%	0.95%	2.54%	0.86%	1.09%	1.78%	0.62%	1.27%	1.06%	1.24%	1.02%	1.07%	1.23%	1.04%	1.49%	1.42%	1.01%	0.52%	0.74%	0.89%	0.67%	1.02%	1.23%	1.10%	0.96%	1.06%	0.66%	1.61%	0.72%	1.71%	0.93%	0.76%	1.01%	1.01%	1.16%	1.02%	0.61%	0.39%									
20	Явлинский Григорий Алексеевич	1828	22	18	12	23	19	13	10	25	21	17	14	18	29	23	8	24	16	8	9	19	3	18	20	28	33	20	10	11	7	16	21	13	16	15	19	15	10	10	11	14	27	40	21	30	32	26	23	19	22	38	18	21	23	28	42	18	13	10	23	26	14	44	14	31	20	29	18	35	28	35	22	16	33	11	12	6	14	18	23	15	5	38	16	21	17	12	16	20	11	36	20	15	3	2									
		1.62%	1.53%	1.55%	1.02%	1.88%	1.88%	1.36%	0.78%	1.94%	1.17%	1.08%	0.95%	1.22%	2.01%	1.46%	0.74%	1.32%	1.01%	0.60%	0.53%	1.52%	0.38%	1.07%	2.27%	2.38%	2.58%	1.74%	0.99%	1.07%	0.79%	1.40%	1.60%	1.03%	1.20%	1.44%	1.62%	1.45%	0.97%	1.16%	1.30%	1.67%	2.20%	2.94%	1.95%	2.59%	2.18%	1.61%	1.99%	1.59%	2.17%	1.96%	1.87%	1.54%	2.12%	2.09%	2.58%	1.68%	1.34%	1.05%	2.09%	2.79%	1.39%	3.13%	1.45%	2.47%	1.77%	2.25%	1.67%	2.50%	2.30%	2.28%	1.82%	1.19%	2.38%	0.82%	1.11%	0.76%	1.17%	1.31%	1.41%	1.17%	1.20%	2.25%	1.18%	2.12%	1.36%	1.21%	1.86%	1.51%	1.85%	1.92%	2.32%	1.52%	0.91%	0.77%									
																																																																																																									
																																																																																																									
