Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Благовещенская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653					
14	Число неиспользованных открепительных удостоверений	135	7	9	6	8	9	6	1	5	5	0	5	0	8	9	9	5	4	4	5	4	5	5	0	5	5	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	817	59	42	58	42	36	77	53	49	75	78	19	20	22	22	16	2	22	19	3	16	7	1	23	29	10	15	2					
		4.27%	4.47%	5.10%	5.09%	5.02%	5.16%	5.91%	6.88%	3.70%	6.02%	4.97%	4.49%	2.37%	2.35%	4.40%	2.41%	1.56%	5.64%	4.77%	1.22%	2.01%	2.33%	1.05%	2.97%	4.25%	3.83%	2.80%	1.38%					
19	. Малышкин Олег Александрович	639	41	19	27	21	26	60	17	42	43	45	17	36	26	16	21	1	29	11	20	39	9	0	22	17	7	22	5					
		3.34%	3.10%	2.31%	2.37%	2.51%	3.73%	4.60%	2.21%	3.17%	3.45%	2.87%	4.02%	4.26%	2.78%	3.20%	3.16%	0.78%	7.44%	2.76%	8.16%	4.90%	2.99%	0.00%	2.84%	2.49%	2.68%	4.10%	3.45%					
20	. Миронов Сергей Михайлович	131	5	7	6	1	4	10	6	6	10	10	4	8	5	5	13	1	2	4	3	8	4	0	5	1	2	0	1					
		0.68%	0.38%	0.85%	0.53%	0.12%	0.57%	0.77%	0.78%	0.45%	0.80%	0.64%	0.95%	0.95%	0.53%	1.00%	1.95%	0.78%	0.51%	1.01%	1.22%	1.01%	1.33%	0.00%	0.65%	0.15%	0.77%	0.00%	0.69%					
21	. Путин Владимир Владимирович	13143	960	603	805	579	495	879	549	874	861	1071	247	664	595	312	466	90	209	239	191	495	235	86	597	390	139	392	120					
		68.64%	72.67%	73.18%	70.68%	69.18%	71.02%	67.46%	71.30%	66.06%	69.10%	68.26%	58.39%	78.58%	63.64%	62.40%	70.08%	70.31%	53.59%	60.05%	77.96%	62.19%	78.07%	90.53%	77.13%	57.10%	53.26%	73.13%	82.76%					
22	. Хакамада Ирина Муцуовна	268	16	15	20	14	7	21	19	14	17	28	4	9	6	5	4	0	8	8	0	9	4	1	12	12	8	4	3					
		1.40%	1.21%	1.82%	1.76%	1.67%	1.00%	1.61%	2.47%	1.06%	1.36%	1.78%	0.95%	1.07%	0.64%	1.00%	0.60%	0.00%	2.05%	2.01%	0.00%	1.13%	1.33%	1.05%	1.55%	1.76%	3.07%	0.75%	2.07%					
23	. Харитонов Николай Михайлович	3645	215	116	189	165	111	223	106	259	214	302	121	89	273	123	131	32	109	102	24	211	35	5	97	205	83	97	8					
		19.03%	16.28%	14.08%	16.59%	19.71%	15.93%	17.11%	13.77%	19.58%	17.17%	19.25%	28.61%	10.53%	29.20%	24.60%	19.70%	25.00%	27.95%	25.63%	9.80%	26.51%	11.63%	5.26%	12.53%	30.01%	31.80%	18.10%	5.52%					
																																		
24	Против всех	326	18	15	21	13	4	19	11	68	16	23	5	14	8	12	4	1	9	12	4	9	2	0	10	15	9	1	3					
		1.70%	1.36%	1.82%	1.84%	1.55%	0.57%	1.46%	1.43%	5.14%	1.28%	1.47%	1.18%	1.66%	0.86%	2.40%	0.60%	0.78%	2.31%	3.02%	1.63%	1.13%	0.66%	0.00%	1.29%	2.20%	3.45%	0.19%	2.07%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
