Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Калтасинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
19	. Малышкин Олег Александрович	42	7	0	1	2	0	9	0	1	2	3	2	0	0	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	5					
		0.22%	0.53%	0.00%	0.28%	0.37%	0.00%	2.15%	0.00%	0.75%	0.36%	3.49%	0.26%	0.00%	0.00%	0.33%	0.77%	0.51%	0.00%	0.42%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.13%	0.00%	0.31%					
20	. Миронов Сергей Михайлович	27	5	0	1	0	0	4	0	0	2	0	3	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	4					
		0.14%	0.38%	0.00%	0.28%	0.00%	0.00%	0.95%	0.00%	0.00%	0.36%	0.00%	0.38%	0.00%	0.00%	0.33%	0.51%	0.51%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.13%	0.00%	0.25%					
21	. Путин Владимир Владимирович	18735	1283	1620	342	525	291	336	87	129	537	83	758	410	310	292	377	190	482	233	181	237	215	329	180	417	683	338	245	322	346	332	738	172	236	1440	1509	1059	1471					
		96.84%	97.34%	99.88%	96.88%	96.86%	97.98%	80.19%	97.75%	96.99%	97.28%	96.51%	97.06%	98.56%	98.41%	97.66%	96.17%	96.94%	99.18%	97.49%	96.79%	99.58%	98.17%	99.10%	97.30%	96.98%	98.41%	98.54%	99.59%	100.00%	99.43%	99.10%	96.22%	98.85%	98.74%	97.76%	96.98%	93.30%	92.63%					
22	. Хакамада Ирина Муцуовна	90	6	0	5	0	0	5	0	0	2	0	2	3	0	0	2	1	1	0	0	0	0	0	2	0	0	1	1	0	0	1	1	0	0	33	2	7	15					
		0.47%	0.46%	0.00%	1.42%	0.00%	0.00%	1.19%	0.00%	0.00%	0.36%	0.00%	0.26%	0.72%	0.00%	0.00%	0.51%	0.51%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.29%	0.41%	0.00%	0.00%	0.30%	0.13%	0.00%	0.00%	2.24%	0.13%	0.62%	0.94%					
23	. Харитонов Николай Михайлович	315	7	2	4	8	6	43	2	2	8	0	6	3	5	2	5	3	3	3	5	1	4	2	1	11	6	2	0	0	2	2	22	2	3	0	27	48	65					
		1.63%	0.53%	0.12%	1.13%	1.48%	2.02%	10.26%	2.25%	1.50%	1.45%	0.00%	0.77%	0.72%	1.59%	0.67%	1.28%	1.53%	0.62%	1.26%	2.67%	0.42%	1.83%	0.60%	0.54%	2.56%	0.86%	0.58%	0.00%	0.00%	0.57%	0.60%	2.87%	1.15%	1.26%	0.00%	1.74%	4.23%	4.09%					
																																												
24	Против всех	34	3	0	0	1	0	1	0	0	0	0	6	0	0	1	3	0	0	0	0	0	0	1	2	1	2	1	0	0	0	0	0	0	0	0	0	4	8					
		0.18%	0.23%	0.00%	0.00%	0.18%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.33%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	1.08%	0.23%	0.29%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.50%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
