Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Хасавюртовская																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423					
11	Число полученных открепительных  удостоверений	999	15	5	10	5	15	20	30	22	4	5	12	22	30	22	25	10	20	7	22	25	12	30	30	10	12	15	30	5	10	5	5	5	15	10	2	30	30	30	10	30	5	35	30	2	15	15	25	5	30	15	10	25	5	35	15	20	5	40	5	10					
12	Число выданных открепительных удостоверений	108	0	0	2	1	14	2	0	0	0	2	3	0	0	0	0	0	0	0	10	0	0	0	0	2	0	12	7	0	10	0	0	0	1	2	0	0	0	6	3	0	0	0	2	0	2	4	5	0	4	0	1	0	0	4	0	1	0	7	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	891	15	5	8	4	1	18	30	22	4	3	9	22	30	22	25	10	20	7	12	25	12	30	30	8	12	3	23	5	0	5	5	5	14	8	2	30	30	24	7	30	5	35	28	2	13	11	20	5	26	15	9	25	5	31	15	19	5	33	5	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	120	0	0	5	0	0	0	5	5	0	6	2	5	0	0	0	3	6	3	4	3	3	15	7	0	2	5	2	0	0	1	0	0	3	0	0	0	0	4	6	0	0	0	4	0	3	7	0	0	0	0	0	0	0	1	0	0	7	2	0	1					
		0.16%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.22%	0.31%	0.00%	1.64%	0.21%	0.34%	0.00%	0.00%	0.00%	0.51%	0.43%	0.60%	0.25%	0.18%	0.33%	0.71%	0.33%	0.00%	0.21%	0.44%	0.10%	0.00%	0.00%	0.24%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.18%	0.85%	0.00%	0.00%	0.00%	0.20%	0.00%	0.28%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	3.27%	0.07%	0.00%	0.08%					
19	. Малышкин Олег Александрович	63	0	0	1	0	0	0	4	1	1	1	0	8	0	7	0	0	3	0	2	9	3	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	3	0	3					
		0.09%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.17%	0.06%	0.34%	0.27%	0.00%	0.54%	0.00%	0.45%	0.00%	0.00%	0.22%	0.00%	0.12%	0.53%	0.33%	0.00%	0.09%	0.00%	0.21%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.25%					
20	. Миронов Сергей Михайлович	42	0	0	1	0	0	0	1	0	2	0	0	7	0	0	0	0	2	0	3	0	0	0	6	0	8	2	1	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.04%	0.00%	0.69%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.18%	0.00%	0.00%	0.00%	0.28%	0.00%	0.83%	0.18%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	70077	899	369	719	515	927	1239	2198	1550	278	343	901	1401	2089	1479	1698	561	1323	479	1549	1611	872	2010	2046	843	939	1060	1866	501	619	400	260	520	1156	676	148	2215	2196	2106	668	2218	432	2567	1985	141	1032	1147	1657	326	2192	971	701	1790	375	2291	1118	1479	193	2661	405	1167					
		95.58%	93.16%	95.35%	95.36%	97.54%	95.37%	97.41%	94.62%	95.68%	95.53%	93.97%	95.34%	94.60%	94.78%	94.75%	96.15%	95.41%	95.11%	95.99%	95.44%	94.82%	95.61%	95.31%	97.10%	97.01%	97.41%	93.23%	93.67%	99.01%	93.93%	97.32%	92.86%	94.55%	97.22%	96.02%	97.37%	95.06%	95.06%	96.43%	95.02%	96.77%	95.58%	95.04%	97.07%	90.97%	95.20%	94.64%	96.34%	95.88%	95.89%	96.14%	95.24%	97.28%	96.90%	95.42%	97.22%	96.04%	90.19%	94.90%	95.52%	95.34%					
22	. Хакамада Ирина Муцуовна	187	0	2	0	0	4	0	13	17	5	1	7	8	21	11	0	3	8	2	2	1	4	10	5	0	0	4	10	0	2	5	0	0	2	7	0	0	0	0	0	0	3	0	6	0	9	7	0	0	2	0	0	0	0	2	0	0	0	0	0	4					
		0.26%	0.00%	0.52%	0.00%	0.00%	0.41%	0.00%	0.56%	1.05%	1.72%	0.27%	0.74%	0.54%	0.95%	0.70%	0.00%	0.51%	0.58%	0.40%	0.12%	0.06%	0.44%	0.47%	0.24%	0.00%	0.00%	0.35%	0.50%	0.00%	0.30%	1.22%	0.00%	0.00%	0.17%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.29%	0.00%	0.83%	0.58%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%					
23	. Харитонов Николай Михайлович	1243	59	4	18	5	6	13	52	44	0	14	14	21	59	34	21	9	38	3	31	7	12	42	21	13	4	26	90	5	16	3	0	2	10	9	0	55	55	26	10	48	3	11	17	5	7	16	30	5	35	16	14	11	6	40	15	28	10	46	0	29					
		1.70%	6.11%	1.03%	2.39%	0.95%	0.62%	1.02%	2.24%	2.72%	0.00%	3.84%	1.48%	1.42%	2.68%	2.18%	1.19%	1.53%	2.73%	0.60%	1.91%	0.41%	1.32%	1.99%	1.00%	1.50%	0.41%	2.29%	4.52%	0.99%	2.43%	0.73%	0.00%	0.36%	0.84%	1.28%	0.00%	2.36%	2.38%	1.19%	1.42%	2.09%	0.66%	0.41%	0.83%	3.23%	0.65%	1.32%	1.74%	1.47%	1.53%	1.58%	1.90%	0.60%	1.55%	1.67%	1.30%	1.82%	4.67%	1.64%	0.00%	2.37%					
																																																																			
24	Против всех	1374	3	12	8	8	35	20	50	3	5	0	21	21	30	30	31	12	11	12	24	10	18	32	11	10	9	40	11	0	22	2	20	28	15	10	4	60	59	44	14	26	4	123	27	9	17	14	32	9	54	23	21	32	6	55	17	20	4	88	18	20					
		1.87%	0.31%	3.10%	1.06%	1.52%	3.60%	1.57%	2.15%	0.19%	1.72%	0.00%	2.22%	1.42%	1.36%	1.92%	1.76%	2.04%	0.79%	2.40%	1.48%	0.59%	1.97%	1.52%	0.52%	1.15%	0.93%	3.52%	0.55%	0.00%	3.34%	0.49%	7.14%	5.09%	1.26%	1.42%	2.63%	2.58%	2.55%	2.01%	1.99%	1.13%	0.88%	4.55%	1.32%	5.81%	1.57%	1.16%	1.86%	2.65%	2.36%	2.28%	2.85%	1.74%	1.55%	2.29%	1.48%	1.30%	1.87%	3.14%	4.25%	1.63%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
