Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Слободская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070					
		0.94%	1.07%	1.23%	0.51%	0.51%	0.88%	2.45%	0.00%	0.00%	0.66%	1.10%	3.01%	0.00%	1.08%	0.79%	1.38%	1.15%	0.56%	1.38%	0.80%	0.98%	1.04%	1.29%	1.24%	1.28%	0.77%	1.44%	0.00%	0.69%	2.25%	0.23%	0.54%	0.44%	0.31%	1.00%	0.00%	0.00%	0.00%	0.90%	1.39%	0.00%	0.00%	0.62%	1.37%					
21	. Путин Владимир Владимирович	11527	357	55	144	155	410	130	311	162	101	136	102	46	1078	596	662	574	532	662	271	711	294	382	402	51	204	156	44	192	49	318	259	172	256	326	74	63	128	211	360	61	40	243	47					
		68.30%	76.12%	67.90%	73.10%	78.28%	72.57%	79.75%	74.58%	66.39%	66.45%	75.14%	76.69%	77.97%	64.82%	66.89%	70.50%	65.83%	59.37%	65.16%	72.07%	69.91%	76.56%	61.81%	62.42%	65.38%	78.16%	75.00%	84.62%	66.44%	55.06%	73.10%	69.62%	75.11%	78.29%	54.33%	68.52%	71.59%	74.42%	63.17%	71.29%	63.54%	63.49%	75.00%	64.38%					
22	. Хакамада Ирина Муцуовна	371	7	1	7	11	24	1	12	2	4	0	3	1	43	15	26	17	24	31	8	26	6	13	7	2	4	4	1	3	2	8	10	4	12	11	1	0	2	4	7	1	2	3	1					
		2.20%	1.49%	1.23%	3.55%	5.56%	4.25%	0.61%	2.88%	0.82%	2.63%	0.00%	2.26%	1.69%	2.59%	1.68%	2.77%	1.95%	2.68%	3.05%	2.13%	2.56%	1.56%	2.10%	1.09%	2.56%	1.53%	1.92%	1.92%	1.04%	2.25%	1.84%	2.69%	1.75%	3.67%	1.83%	0.93%	0.00%	1.16%	1.20%	1.39%	1.04%	3.17%	0.93%	1.37%					
23	. Харитонов Николай Михайлович	3141	55	20	31	16	61	15	58	57	35	33	18	11	348	165	127	166	181	187	67	164	44	160	156	14	37	29	1	71	31	76	67	37	37	206	25	24	37	88	74	26	11	54	21					
		18.61%	11.73%	24.69%	15.74%	8.08%	10.80%	9.20%	13.91%	23.36%	23.03%	18.23%	13.53%	18.64%	20.93%	18.52%	13.53%	19.04%	20.20%	18.41%	17.82%	16.13%	11.46%	25.89%	24.22%	17.95%	14.18%	13.94%	1.92%	24.57%	34.83%	17.47%	18.01%	16.16%	11.31%	34.33%	23.15%	27.27%	21.51%	26.35%	14.65%	27.08%	17.46%	16.67%	28.77%					
																																																		
24	Против всех	451	15	2	1	1	25	0	7	6	5	1	4	0	37	33	29	32	72	33	3	22	11	6	25	1	3	4	0	2	0	7	7	1	9	19	2	0	1	6	10	1	4	3	1					
		2.67%	3.20%	2.47%	0.51%	0.51%	4.42%	0.00%	1.68%	2.46%	3.29%	0.55%	3.01%	0.00%	2.22%	3.70%	3.09%	3.67%	8.04%	3.25%	0.80%	2.16%	2.86%	0.97%	3.88%	1.28%	1.15%	1.92%	0.00%	0.69%	0.00%	1.61%	1.88%	0.44%	2.75%	3.17%	1.85%	0.00%	0.58%	1.80%	1.98%	1.04%	6.35%	0.93%	1.37%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
