Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Мостовская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142					
11	Число полученных открепительных  удостоверений	670	15	20	20	20	20	20	20	20	20	15	15	5	25	15	15	15	15	20	15	10	20	15	25	25	10	5	20	15	5	15	25	5	20	15	5	5	20	20	15	15	20	10					
12	Число выданных открепительных удостоверений	241	13	10	8	15	16	4	5	7	12	4	6	1	20	6	2	2	8	8	2	6	6	1	8	6	0	1	5	2	4	5	5	2	3	7	0	0	5	3	4	5	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	6	6	7	12	0	5	2	6	4	2	2	5	5	7	1	4	0	2	5	1	3	3	3	8	1	1	1	3	1	2	2	3	1	3	2	0	9	3	6	0	5	2					
14	Число неиспользованных открепительных удостоверений	429	2	10	12	5	4	16	15	13	8	11	9	4	5	9	13	13	7	12	13	4	14	14	17	19	10	4	15	13	1	10	20	3	17	8	5	5	15	17	11	10	12	4					
15	"Число открепительных удостоверений, выданных в ТИК"	24	1	0	0	1	0	0	1	1	3	2	0	0	0	0	0	1	0	0	0	1	0	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	1268	35	57	51	58	41	33	41	38	59	17	41	8	45	13	23	41	17	33	29	13	33	12	52	37	4	8	21	23	9	31	76	7	26	19	6	5	64	59	13	17	42	11					
		4.11%	5.36%	5.16%	4.87%	4.83%	3.85%	3.52%	4.75%	4.32%	5.92%	2.51%	5.31%	1.89%	4.21%	2.32%	5.24%	5.59%	2.66%	4.34%	4.70%	3.42%	2.98%	2.13%	3.60%	3.00%	1.39%	4.40%	2.82%	3.30%	3.77%	3.79%	5.27%	2.70%	3.11%	3.42%	4.51%	3.25%	6.79%	6.36%	2.27%	2.85%	4.57%	3.09%					
19	. Малышкин Олег Александрович	626	10	18	34	20	14	22	17	12	19	8	13	12	18	10	6	6	3	5	14	2	15	15	36	23	6	2	23	7	5	19	43	9	19	27	5	5	31	13	11	19	20	10					
		2.03%	1.53%	1.63%	3.25%	1.67%	1.31%	2.35%	1.97%	1.37%	1.91%	1.18%	1.68%	2.83%	1.68%	1.78%	1.37%	0.82%	0.47%	0.66%	2.27%	0.53%	1.36%	2.66%	2.49%	1.87%	2.09%	1.10%	3.08%	1.00%	2.09%	2.32%	2.98%	3.47%	2.27%	4.86%	3.76%	3.25%	3.29%	1.40%	1.92%	3.19%	2.18%	2.81%					
20	. Миронов Сергей Михайлович	195	4	4	12	6	5	9	6	6	2	7	5	3	5	4	2	5	1	4	3	3	3	0	12	4	1	3	3	8	1	1	15	0	3	3	2	2	14	8	3	4	3	6					
		0.63%	0.61%	0.36%	1.15%	0.50%	0.47%	0.96%	0.70%	0.68%	0.20%	1.03%	0.65%	0.71%	0.47%	0.71%	0.46%	0.68%	0.16%	0.53%	0.49%	0.79%	0.27%	0.00%	0.83%	0.32%	0.35%	1.65%	0.40%	1.15%	0.42%	0.12%	1.04%	0.00%	0.36%	0.54%	1.50%	1.30%	1.49%	0.86%	0.52%	0.67%	0.33%	1.69%					
21	. Путин Владимир Владимирович	21244	494	770	723	853	816	685	626	660	745	535	560	343	788	427	282	489	421	502	420	308	761	412	922	882	217	113	430	427	160	614	992	173	532	358	83	90	479	561	372	370	655	194					
		68.90%	75.65%	69.75%	69.05%	71.02%	76.62%	73.03%	72.54%	75.09%	74.72%	79.03%	72.54%	80.90%	73.64%	76.11%	64.24%	66.71%	65.88%	66.05%	68.07%	81.05%	68.74%	73.05%	63.81%	71.53%	75.61%	62.09%	57.64%	61.17%	66.95%	74.97%	68.75%	66.80%	63.64%	64.50%	62.41%	58.44%	50.85%	60.52%	64.92%	62.08%	71.27%	54.49%					
22	. Хакамада Ирина Муцуовна	570	24	18	12	23	26	9	15	10	32	7	6	3	30	12	5	21	7	17	11	10	19	4	18	50	5	1	17	14	1	9	28	8	11	8	2	5	14	13	9	14	16	6					
		1.85%	3.68%	1.63%	1.15%	1.92%	2.44%	0.96%	1.74%	1.14%	3.21%	1.03%	0.78%	0.71%	2.80%	2.14%	1.14%	2.86%	1.10%	2.24%	1.78%	2.63%	1.72%	0.71%	1.25%	4.06%	1.74%	0.55%	2.28%	2.01%	0.42%	1.10%	1.94%	3.09%	1.32%	1.44%	1.50%	3.25%	1.49%	1.40%	1.57%	2.35%	1.74%	1.69%					
23	. Харитонов Николай Михайлович	5915	64	206	190	184	134	145	144	128	110	82	112	42	142	75	101	143	167	155	123	31	250	97	360	213	41	45	219	198	56	120	257	51	224	123	34	46	297	238	147	139	159	123					
		19.18%	9.80%	18.66%	18.15%	15.32%	12.58%	15.46%	16.69%	14.56%	11.03%	12.11%	14.51%	9.91%	13.27%	13.37%	23.01%	19.51%	26.13%	20.39%	19.94%	8.16%	22.58%	17.20%	24.91%	17.27%	14.29%	24.73%	29.36%	28.37%	23.43%	14.65%	17.81%	19.69%	26.79%	22.16%	25.56%	29.87%	31.53%	25.67%	25.65%	23.32%	17.30%	34.55%					
																																																	
24	Против всех	764	17	24	18	49	26	26	9	20	30	18	28	12	32	14	16	21	19	34	11	11	23	13	30	24	6	3	24	14	2	18	24	7	12	13	1	1	37	25	13	20	13	6					
		2.48%	2.60%	2.17%	1.72%	4.08%	2.44%	2.77%	1.04%	2.28%	3.01%	2.66%	3.63%	2.83%	2.99%	2.50%	3.64%	2.86%	2.97%	4.47%	1.78%	2.89%	2.08%	2.30%	2.08%	1.95%	2.09%	1.65%	3.22%	2.01%	0.84%	2.20%	1.66%	2.70%	1.44%	2.34%	0.75%	0.65%	3.93%	2.70%	2.27%	3.36%	1.41%	1.69%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
