Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Тукаевская 																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	248	5	2	2	7	5	7	31	5	13	2	6	2	3	5	0	7	6	3	3	8	1	0	9	3	6	4	7	11	4	3	3	7	4	1	4	17	1	12	6	7	5	0	1	9	0	1					
14	Число неиспользованных открепительных удостоверений	62	0	1	0	0	0	0	0	4	0	0	0	1	2	4	3	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	3	2	5	0	0	0	3	0	0	0	2	9	4	0	5	8					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	62	2	1	0	0	11	2	0	0	0	0	0	1	0	0	0	3	1	2	0	0	0	0	1	1	0	1	5	2	0	0	0	23	0	2	0	3	0	0	1	0	0	0	0	0	0	0					
		0.30%	0.15%	0.50%	0.00%	0.00%	1.06%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.55%	0.30%	1.42%	0.00%	0.00%	0.00%	0.00%	0.17%	0.32%	0.00%	0.50%	0.53%	0.20%	0.00%	0.00%	0.00%	3.61%	0.00%	0.48%	0.00%	0.42%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	43	1	0	0	0	3	4	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	3	1	4	0	0	18	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
		0.21%	0.08%	0.00%	0.00%	0.00%	0.29%	0.48%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.17%	0.32%	0.00%	0.00%	0.32%	0.10%	0.58%	0.00%	0.00%	2.82%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	71	1	0	0	4	4	4	2	0	4	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	9	8	3	0	0	6	0	1	0	4	1	1	2	1	1	0	0	2	6	0					
		0.34%	0.08%	0.00%	0.00%	1.15%	0.39%	0.48%	0.54%	0.00%	0.40%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.80%	0.44%	0.00%	0.00%	0.94%	0.00%	0.24%	0.00%	0.56%	0.46%	0.22%	0.31%	0.24%	0.25%	0.00%	0.00%	0.35%	1.86%	0.00%					
21	. Путин Владимир Владимирович	20267	1310	197	133	326	976	812	362	196	989	395	398	141	180	686	270	523	333	128	139	557	192	764	580	305	133	198	905	983	672	306	167	512	339	405	124	705	212	446	634	407	401	392	213	560	314	347					
		97.22%	98.35%	98.50%	98.52%	93.41%	94.03%	96.67%	97.05%	97.51%	98.21%	99.25%	97.55%	97.92%	100.00%	98.00%	99.63%	96.32%	98.81%	90.78%	98.58%	98.93%	97.46%	98.45%	98.47%	98.07%	97.08%	98.02%	96.17%	98.01%	98.10%	98.71%	100.00%	80.25%	98.55%	97.36%	97.64%	98.05%	98.15%	98.45%	97.54%	99.51%	99.26%	99.49%	100.00%	98.07%	97.21%	99.14%					
22	. Хакамада Ирина Муцуовна	99	8	0	1	6	13	2	0	0	3	0	2	0	0	4	0	4	0	4	0	0	0	3	2	1	2	0	7	2	2	1	0	13	0	1	1	4	1	4	2	0	0	1	0	2	2	1					
		0.47%	0.60%	0.00%	0.74%	1.72%	1.25%	0.24%	0.00%	0.00%	0.30%	0.00%	0.49%	0.00%	0.00%	0.57%	0.00%	0.74%	0.00%	2.84%	0.00%	0.00%	0.00%	0.39%	0.34%	0.32%	1.46%	0.00%	0.74%	0.20%	0.29%	0.32%	0.00%	2.04%	0.00%	0.24%	0.79%	0.56%	0.46%	0.88%	0.31%	0.00%	0.00%	0.25%	0.00%	0.35%	0.62%	0.29%					
23	. Харитонов Николай Михайлович	204	2	0	1	9	18	9	4	2	7	3	4	2	0	6	1	4	2	5	2	3	3	9	4	0	2	3	6	3	4	2	0	56	0	4	2	2	2	2	9	1	0	1	0	4	1	0					
		0.98%	0.15%	0.00%	0.74%	2.58%	1.73%	1.07%	1.07%	1.00%	0.70%	0.75%	0.98%	1.39%	0.00%	0.86%	0.37%	0.74%	0.59%	3.55%	1.42%	0.53%	1.52%	1.16%	0.68%	0.00%	1.46%	1.49%	0.64%	0.30%	0.58%	0.65%	0.00%	8.78%	0.00%	0.96%	1.57%	0.28%	0.93%	0.44%	1.38%	0.24%	0.00%	0.25%	0.00%	0.70%	0.31%	0.00%					
																																																					
24	Против всех	66	8	2	0	2	9	3	3	1	2	0	2	0	0	4	0	3	0	0	0	2	1	0	1	2	0	0	3	2	0	0	0	5	5	1	0	1	0	0	1	0	2	0	0	1	0	0					
		0.32%	0.60%	1.00%	0.00%	0.57%	0.87%	0.36%	0.80%	0.50%	0.20%	0.00%	0.49%	0.00%	0.00%	0.57%	0.00%	0.55%	0.00%	0.00%	0.00%	0.36%	0.51%	0.00%	0.17%	0.64%	0.00%	0.00%	0.32%	0.20%	0.00%	0.00%	0.00%	0.78%	1.45%	0.24%	0.00%	0.14%	0.00%	0.00%	0.15%	0.00%	0.50%	0.00%	0.00%	0.18%	0.00%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
