Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Идринская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	31	31	14	6	8	6	6	8	6	8	6	8	6	8	8	8	8	8	8	8	6	8	6	6	8	8	6	8	6	6	6	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	46	6	14	5	0	1	0	0	4	0	0	0	0	0	2	0	0	2	0	2	1	1	2	0	0	1	0	0	1	3	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	5	5	0	0	1	1	1	2	1	0	1	1	1	0	0	2	5	2	1	1	0	0	0	0	2	1	1	2	1	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	234	25	17	9	6	7	6	6	4	6	8	6	8	6	6	8	8	6	8	6	7	5	6	6	6	7	8	6	7	3	5	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	422	72	68	32	1	11	2	5	13	1	10	2	6	0	11	10	12	25	9	37	4	6	10	3	3	19	10	1	25	2	1	7	4					
		7.78%	11.37%	8.46%	11.47%	1.27%	7.10%	6.67%	16.13%	5.70%	1.79%	4.98%	6.67%	7.79%	0.00%	5.31%	6.37%	5.56%	10.20%	4.46%	15.23%	3.77%	9.68%	5.38%	7.14%	6.98%	8.12%	3.85%	1.04%	9.77%	5.71%	2.86%	7.53%	10.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	765	94	116	37	15	13	10	4	32	7	33	6	10	2	58	16	32	38	28	36	14	12	15	7	7	34	12	2	39	10	4	20	2					
		14.11%	14.85%	14.43%	13.26%	18.99%	8.39%	33.33%	12.90%	14.04%	12.50%	16.42%	20.00%	12.99%	3.23%	28.02%	10.19%	14.81%	15.51%	13.86%	14.81%	13.21%	19.35%	8.06%	16.67%	16.28%	14.53%	4.62%	2.08%	15.23%	28.57%	11.43%	21.51%	5.13%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	3	10	4	0	0	0	0	0	0	0	0	0	0	3	0	2	2	1	3	2	0	1	0	0	3	0	0	3	0	2	0	0					
		0.72%	0.47%	1.24%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.45%	0.00%	0.93%	0.82%	0.50%	1.23%	1.89%	0.00%	0.54%	0.00%	0.00%	1.28%	0.00%	0.00%	1.17%	0.00%	5.71%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1336	185	259	87	10	46	2	6	46	8	30	5	32	27	43	36	22	42	25	57	23	18	125	9	15	51	40	27	36	5	7	8	4					
		24.64%	29.23%	32.21%	31.18%	12.66%	29.68%	6.67%	19.35%	20.18%	14.29%	14.93%	16.67%	41.56%	43.55%	20.77%	22.93%	10.19%	17.14%	12.38%	23.46%	21.70%	29.03%	67.20%	21.43%	34.88%	21.79%	15.38%	28.13%	14.06%	14.29%	20.00%	8.60%	10.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	7	15	0	0	2	0	0	1	0	1	0	0	1	3	1	0	1	0	1	0	0	0	0	0	3	1	1	8	4	0	0	0					
		0.92%	1.11%	1.87%	0.00%	0.00%	1.29%	0.00%	0.00%	0.44%	0.00%	0.50%	0.00%	0.00%	1.61%	1.45%	0.64%	0.00%	0.41%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.38%	1.04%	3.13%	11.43%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2725	261	317	114	53	82	15	16	135	39	126	17	29	32	87	91	144	135	135	107	60	25	33	23	17	123	187	63	142	13	21	55	28					
		50.26%	41.23%	39.43%	40.86%	67.09%	52.90%	50.00%	51.61%	59.21%	69.64%	62.69%	56.67%	37.66%	51.61%	42.03%	57.96%	66.67%	55.10%	66.83%	44.03%	56.60%	40.32%	17.74%	54.76%	39.53%	52.56%	71.92%	65.63%	55.47%	37.14%	60.00%	59.14%	71.79%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	27	4	8	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	2	0					
		0.50%	0.63%	0.99%	0.36%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.50%	0.00%	0.00%	1.61%	0.54%	0.00%	2.33%	0.00%	0.38%	1.04%	0.39%	2.86%	0.00%	2.15%	0.00%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
