Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Бугурусланская городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307					
		34.57%	37.81%	30.40%	34.92%	34.90%	37.76%	38.04%	36.36%	29.71%	29.78%	29.49%	32.77%	31.78%	34.39%	41.54%	35.88%	36.53%	31.84%	35.73%	36.75%	32.13%	36.50%	35.53%	30.59%	38.95%					
																															
24	Против всех	763	50	14	13	30	41	22	23	30	16	61	25	25	12	28	18	26	66	33	50	46	51	28	55	0					
		3.32%	3.18%	4.26%	1.99%	3.82%	3.19%	2.11%	2.40%	3.11%	2.55%	4.16%	3.23%	4.01%	1.99%	3.54%	3.82%	3.61%	4.30%	3.29%	3.35%	3.47%	4.00%	2.28%	4.67%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
