Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Карсунская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
14	Число неиспользованных открепительных удостоверений	353	12	10	5	9	10	15	14	15	5	15	10	15	15	10	10	10	6	10	10	10	2	15	8	11	9	4	8	15	9	12	12	14	8	10	0					
15	"Число открепительных удостоверений, выданных в ТИК"	16	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	3	3	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	368	31	43	57	3	4	7	4	10	2	10	9	7	13	2	0	0	3	9	3	9	12	12	4	4	6	4	6	5	0	49	15	15	4	0	6					
		2.12%	2.53%	3.07%	3.92%	1.39%	2.16%	1.25%	0.85%	2.02%	2.44%	1.42%	3.45%	1.64%	2.93%	1.77%	0.00%	0.00%	0.95%	3.06%	1.32%	1.36%	1.68%	2.14%	1.22%	0.80%	4.20%	0.83%	2.17%	0.82%	0.00%	3.08%	2.72%	2.18%	1.06%	0.00%	1.50%					
19	. Малышкин Олег Александрович	303	21	37	26	3	2	13	6	13	2	10	0	6	2	3	2	1	8	5	0	20	14	15	9	6	2	6	2	0	3	23	11	14	2	1	15					
		1.75%	1.72%	2.64%	1.79%	1.39%	1.08%	2.31%	1.27%	2.63%	2.44%	1.42%	0.00%	1.41%	0.45%	2.65%	1.01%	0.99%	2.54%	1.70%	0.00%	3.01%	1.96%	2.67%	2.74%	1.21%	1.40%	1.24%	0.72%	0.00%	2.22%	1.44%	2.00%	2.03%	0.53%	0.62%	3.75%					
20	. Миронов Сергей Михайлович	107	7	19	12	1	1	1	0	4	0	4	2	2	2	3	0	0	2	1	1	4	3	1	3	0	2	6	3	3	0	4	2	4	3	2	5					
		0.62%	0.57%	1.36%	0.83%	0.46%	0.54%	0.18%	0.00%	0.81%	0.00%	0.57%	0.77%	0.47%	0.45%	2.65%	0.00%	0.00%	0.63%	0.34%	0.44%	0.60%	0.42%	0.18%	0.91%	0.00%	1.40%	1.24%	1.09%	0.49%	0.00%	0.25%	0.36%	0.58%	0.80%	1.24%	1.25%					
21	. Путин Владимир Владимирович	12667	829	909	1002	156	142	447	405	371	68	576	183	315	295	69	165	75	231	227	166	448	489	409	247	396	112	358	189	490	95	1155	398	484	320	130	316					
		72.97%	67.73%	64.97%	68.96%	72.22%	76.76%	79.54%	85.62%	75.10%	82.93%	81.70%	70.11%	73.77%	66.44%	61.06%	83.33%	74.26%	73.33%	77.21%	72.81%	67.47%	68.30%	72.91%	75.08%	79.68%	78.32%	73.97%	68.48%	80.46%	70.37%	72.55%	72.23%	70.25%	84.88%	80.75%	79.00%					
22	. Хакамада Ирина Муцуовна	145	15	17	12	0	3	1	1	0	0	3	0	6	4	1	4	0	1	4	1	7	4	8	1	3	1	5	2	10	3	13	2	3	4	1	5					
		0.84%	1.23%	1.22%	0.83%	0.00%	1.62%	0.18%	0.21%	0.00%	0.00%	0.43%	0.00%	1.41%	0.90%	0.88%	2.02%	0.00%	0.32%	1.36%	0.44%	1.05%	0.56%	1.43%	0.30%	0.60%	0.70%	1.03%	0.72%	1.64%	2.22%	0.82%	0.36%	0.44%	1.06%	0.62%	1.25%					
23	. Харитонов Николай Михайлович	3344	286	331	305	52	30	81	54	88	10	82	49	88	111	31	19	24	67	45	46	159	178	93	61	84	20	67	70	95	33	321	98	159	32	27	48					
		19.26%	23.37%	23.66%	20.99%	24.07%	16.22%	14.41%	11.42%	17.81%	12.20%	11.63%	18.77%	20.61%	25.00%	27.43%	9.60%	23.76%	21.27%	15.31%	20.18%	23.95%	24.86%	16.58%	18.54%	16.90%	13.99%	13.84%	25.36%	15.60%	24.44%	20.16%	17.79%	23.08%	8.49%	16.77%	12.00%					
																																										
24	Против всех	237	24	31	35	0	2	3	2	2	0	8	2	2	10	1	5	0	3	1	2	10	5	15	4	1	0	11	3	5	0	21	9	6	11	0	3					
		1.37%	1.96%	2.22%	2.41%	0.00%	1.08%	0.53%	0.42%	0.40%	0.00%	1.13%	0.77%	0.47%	2.25%	0.88%	2.53%	0.00%	0.95%	0.34%	0.88%	1.51%	0.70%	2.67%	1.22%	0.20%	0.00%	2.27%	1.09%	0.82%	0.00%	1.32%	1.63%	0.87%	2.92%	0.00%	0.75%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
