Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Тюменская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754					
		12.18%	8.11%	17.18%	12.53%	8.10%	2.15%	10.87%	8.63%	10.85%	14.46%	12.90%	14.36%	11.26%	11.57%	8.82%	9.82%	8.85%	10.55%	9.03%	14.16%	14.33%	9.60%	16.31%	18.19%	15.76%	25.31%	12.31%	8.83%	11.70%	9.12%	10.98%	6.72%	10.05%	13.04%	4.51%	15.22%	10.00%	12.82%	6.67%	16.62%	10.73%	9.14%	10.00%	7.94%	8.54%	28.11%	7.08%	29.66%	9.71%	9.85%	7.95%	3.17%	13.38%	16.43%	15.24%	5.15%	44.59%	11.45%	13.70%	22.45%	15.25%	6.85%	9.97%	9.58%	1.83%					
																																																																							
24	Против всех	1442	26	65	25	41	5	15	21	1	56	68	111	35	57	57	41	11	18	12	38	48	27	9	21	6	2	39	57	16	2	28	21	31	54	4	7	6	6	12	15	11	6	0	2	3	45	7	6	40	21	3	0	15	33	37	4	1	3	53	6	3	2	8	8	11					
		2.97%	2.15%	3.58%	2.13%	4.96%	1.34%	2.51%	3.24%	0.78%	4.50%	5.01%	7.02%	2.02%	3.54%	2.83%	2.15%	1.16%	2.60%	1.69%	3.79%	3.98%	3.16%	2.72%	2.96%	2.96%	0.62%	2.35%	3.43%	3.29%	0.61%	2.38%	3.07%	3.25%	3.12%	3.01%	3.80%	1.76%	1.54%	6.15%	4.09%	2.68%	3.23%	0.00%	1.59%	1.51%	2.98%	3.30%	4.14%	2.14%	2.91%	0.85%	0.00%	2.79%	5.21%	2.91%	1.03%	1.35%	2.29%	3.38%	1.75%	1.27%	0.68%	2.66%	0.83%	2.52%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
