Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Гунибская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
20	. Миронов Сергей Михайлович	8	0	1	0	0	1	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.45%	0.00%	0.00%	0.08%	0.40%	0.00%	0.00%	0.39%	0.16%	0.44%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	13181	286	211	485	529	1193	238	353	463	243	589	440	443	393	360	231	123	635	307	191	376	703	54	560	618	599	332	397	386	435	220	95	192	321	180					
		95.90%	74.67%	95.91%	99.79%	95.83%	98.60%	95.97%	96.71%	95.86%	95.67%	95.93%	95.86%	95.89%	95.85%	95.24%	100.00%	98.40%	96.07%	95.94%	95.98%	95.92%	95.13%	72.97%	100.00%	95.81%	95.99%	95.95%	95.89%	96.98%	97.97%	95.65%	96.94%	94.12%	95.82%	99.45%					
22	. Хакамада Ирина Муцуовна	57	7	2	0	1	1	0	0	3	0	7	0	0	1	0	0	0	0	0	0	2	8	1	0	7	6	0	2	0	5	3	1	0	0	0					
		0.41%	1.83%	0.91%	0.00%	0.18%	0.08%	0.00%	0.00%	0.62%	0.00%	1.14%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	1.08%	1.35%	0.00%	1.09%	0.96%	0.00%	0.48%	0.00%	1.13%	1.30%	1.02%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	351	70	4	1	21	6	8	12	15	5	15	7	19	11	7	0	0	18	13	6	8	10	18	0	10	12	14	12	8	4	4	2	7	4	0					
		2.55%	18.28%	1.82%	0.21%	3.80%	0.50%	3.23%	3.29%	3.11%	1.97%	2.44%	1.53%	4.11%	2.68%	1.85%	0.00%	0.00%	2.72%	4.06%	3.02%	2.04%	1.35%	24.32%	0.00%	1.55%	1.92%	4.05%	2.90%	2.01%	0.90%	1.74%	2.04%	3.43%	1.19%	0.00%					
																																									
24	Против всех	31	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	12	1	0	5	1	0	3	0	0	0	0	0	0	1					
		0.23%	1.04%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	1.62%	1.35%	0.00%	0.78%	0.16%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
