Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Обнинская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
19	. Малышкин Олег Александрович	634	12	5	17	12	21	32	7	12	11	4	11	16	13	15	21	17	18	16	18	21	13	15	22	15	17	20	28	21	22	24	25	1	17	13	22	25	18	17					
		1.35%	2.11%	1.55%	1.58%	1.22%	1.21%	2.02%	1.59%	1.14%	0.83%	1.70%	0.88%	1.33%	0.88%	1.38%	1.33%	1.10%	1.90%	1.16%	1.21%	1.47%	0.88%	1.40%	1.47%	1.18%	1.11%	1.31%	1.76%	1.37%	1.43%	1.66%	2.11%	0.45%	1.20%	0.97%	1.88%	1.75%	1.47%	1.00%					
20	. Миронов Сергей Михайлович	398	7	2	10	17	10	12	2	3	15	0	6	5	15	7	11	10	6	9	15	13	10	15	18	12	15	14	12	6	23	8	8	0	19	11	16	15	6	15					
		0.85%	1.23%	0.62%	0.93%	1.73%	0.58%	0.76%	0.46%	0.28%	1.14%	0.00%	0.48%	0.42%	1.01%	0.64%	0.70%	0.65%	0.63%	0.65%	1.01%	0.91%	0.68%	1.40%	1.20%	0.94%	0.98%	0.92%	0.76%	0.39%	1.49%	0.55%	0.68%	0.00%	1.35%	0.82%	1.36%	1.05%	0.49%	0.88%					
21	. Путин Владимир Владимирович	31463	360	220	655	589	1158	1090	313	726	895	160	845	828	977	711	1014	984	671	978	1003	1003	1031	736	989	873	985	976	1005	977	1069	996	792	190	987	898	872	935	853	1119					
		67.18%	63.27%	68.11%	60.99%	59.92%	66.82%	68.64%	71.30%	68.75%	67.91%	68.09%	67.87%	69.06%	66.10%	65.35%	64.42%	63.94%	71.01%	71.02%	67.54%	70.44%	70.14%	68.53%	66.11%	68.69%	64.30%	63.96%	63.33%	63.65%	69.37%	69.02%	66.89%	85.20%	69.95%	67.27%	74.34%	65.57%	69.46%	65.52%					
22	. Хакамада Ирина Муцуовна	3241	43	19	90	90	121	90	30	64	89	11	83	53	101	62	155	121	76	91	105	84	100	91	124	103	113	102	107	109	110	91	78	7	109	94	58	98	68	101					
		6.92%	7.56%	5.88%	8.38%	9.16%	6.98%	5.67%	6.83%	6.06%	6.75%	4.68%	6.67%	4.42%	6.83%	5.70%	9.85%	7.86%	8.04%	6.61%	7.07%	5.90%	6.80%	8.47%	8.29%	8.10%	7.38%	6.68%	6.74%	7.10%	7.14%	6.31%	6.59%	3.14%	7.73%	7.04%	4.94%	6.87%	5.54%	5.91%					
23	. Харитонов Николай Михайлович	4979	69	31	142	145	171	159	26	129	149	31	144	165	159	149	159	186	74	108	130	122	119	84	132	85	180	222	202	176	148	158	134	10	109	120	77	189	145	241					
		10.63%	12.13%	9.60%	13.22%	14.75%	9.87%	10.01%	5.92%	12.22%	11.31%	13.19%	11.57%	13.76%	10.76%	13.69%	10.10%	12.09%	7.83%	7.84%	8.75%	8.57%	8.10%	7.82%	8.82%	6.69%	11.75%	14.55%	12.73%	11.47%	9.60%	10.95%	11.32%	4.48%	7.73%	8.99%	6.56%	13.25%	11.81%	14.11%					
																																													
24	Против всех	2489	19	23	75	53	102	81	35	46	48	11	60	50	75	58	88	87	43	70	86	87	83	52	101	82	101	91	81	81	75	66	66	9	65	94	56	68	45	76					
		5.31%	3.34%	7.12%	6.98%	5.39%	5.89%	5.10%	7.97%	4.36%	3.64%	4.68%	4.82%	4.17%	5.07%	5.33%	5.59%	5.65%	4.55%	5.08%	5.79%	6.11%	5.65%	4.84%	6.75%	6.45%	6.59%	5.96%	5.10%	5.28%	4.87%	4.57%	5.57%	4.04%	4.61%	7.04%	4.77%	4.77%	3.66%	4.45%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
