Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Карабудахкентская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	298	8	6	12	12	12	14	6	4	6	10	10	12	12	12	10	16	6	8	8	6	12	12	16	8	22	4	10	10	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	22	0	1	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	3	0	2	0	7	0	0					
		0.06%	0.00%	0.14%	0.13%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.07%	0.16%	0.00%	0.07%	0.00%	0.61%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	67	0	0	1	3	0	3	0	0	0	2	4	2	0	0	2	0	0	2	0	0	5	7	0	2	0	0	30	4	0					
		0.19%	0.00%	0.00%	0.07%	0.20%	0.00%	0.20%	0.00%	0.00%	0.00%	0.16%	0.31%	0.14%	0.00%	0.00%	0.17%	0.00%	0.00%	0.21%	0.00%	0.00%	0.33%	0.52%	0.00%	0.21%	0.00%	0.00%	2.62%	0.37%	0.00%					
21	. Путин Владимир Владимирович	33405	850	670	1455	1429	1270	1438	547	287	520	1183	1212	1423	1280	1293	1135	2042	728	898	865	517	1445	1296	1823	898	2645	500	1060	1006	1690					
		96.25%	98.84%	94.90%	96.04%	94.20%	93.80%	95.04%	95.13%	93.79%	93.53%	95.02%	95.06%	98.48%	98.84%	98.40%	96.19%	98.65%	96.04%	96.46%	96.54%	92.82%	96.66%	97.08%	95.65%	95.33%	98.69%	96.15%	92.58%	93.41%	97.13%					
22	. Хакамада Ирина Муцуовна	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1027	10	35	45	80	75	69	18	17	36	55	51	14	10	10	29	24	17	21	30	38	29	30	67	39	21	20	38	49	50					
		2.96%	1.16%	4.96%	2.97%	5.27%	5.54%	4.56%	3.13%	5.56%	6.47%	4.42%	4.00%	0.97%	0.77%	0.76%	2.46%	1.16%	2.24%	2.26%	3.35%	6.82%	1.94%	2.25%	3.52%	4.14%	0.78%	3.85%	3.32%	4.55%	2.87%					
																																				
24	Против всех	74	0	0	4	0	8	0	2	1	0	0	0	0	2	0	11	0	1	5	1	1	7	1	6	1	5	0	5	13	0					
		0.21%	0.00%	0.00%	0.26%	0.00%	0.59%	0.00%	0.35%	0.33%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.93%	0.00%	0.13%	0.54%	0.11%	0.18%	0.47%	0.07%	0.31%	0.11%	0.19%	0.00%	0.44%	1.21%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
