Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Пономаревская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  1386	УИК  1387	УИК  1388	УИК  1389	УИК  1390	УИК  1391	УИК  1392	УИК  1393	УИК  1394	УИК  1395	УИК  1396	УИК  1397	УИК  1398	УИК  1399	УИК  1400	УИК  1401	УИК  1402	УИК  1403	УИК  1404	УИК  1405	УИК  1406	УИК  1407	УИК  1408	УИК  1409	УИК  1410	УИК  1411	УИК  1412	УИК  1413	УИК  1414					
12	Число выданных открепительных удостоверений	109	2	0	0	0	0	0	6	4	0	4	0	4	0	6	0	6	0	0	10	1	0	0	3	8	12	19	14	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	4	3	0	12	0	1					
14	Число неиспользованных открепительных удостоверений	221	8	10	10	10	5	21	14	1	5	5	5	6	5	4	10	9	5	10	0	7	8	17	2	7	10	3	12	5	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	725	61	3	13	11	1	31	117	11	0	8	0	31	8	21	77	25	0	2	12	10	7	25	4	61	39	40	82	12	13					
		6.24%	11.36%	1.09%	10.08%	2.24%	1.47%	4.84%	11.78%	3.86%	0.00%	2.45%	0.00%	6.20%	3.94%	4.07%	27.21%	8.14%	0.00%	1.10%	2.89%	2.80%	2.66%	3.94%	2.68%	6.32%	6.43%	6.51%	8.24%	9.76%	2.85%					
19	. Малышкин Олег Александрович	469	30	20	1	18	0	19	17	13	15	9	1	16	14	5	5	20	2	0	26	5	13	12	5	39	32	21	56	35	20					
		4.04%	5.59%	7.27%	0.78%	3.67%	0.00%	2.97%	1.71%	4.56%	14.02%	2.75%	0.88%	3.20%	6.90%	0.97%	1.77%	6.51%	2.50%	0.00%	6.27%	1.40%	4.94%	1.89%	3.36%	4.04%	5.27%	3.42%	5.63%	28.46%	4.39%					
20	. Миронов Сергей Михайлович	79	5	0	0	3	0	1	2	1	0	2	0	10	5	1	0	5	0	2	4	8	3	1	0	2	4	8	7	1	4					
		0.68%	0.93%	0.00%	0.00%	0.61%	0.00%	0.16%	0.20%	0.35%	0.00%	0.61%	0.00%	2.00%	2.46%	0.19%	0.00%	1.63%	0.00%	1.10%	0.96%	2.24%	1.14%	0.16%	0.00%	0.21%	0.66%	1.30%	0.70%	0.81%	0.88%					
21	. Путин Владимир Владимирович	5210	266	129	64	228	41	233	682	162	43	212	59	133	93	139	179	151	47	68	212	127	100	247	52	380	267	251	391	48	206					
		44.86%	49.53%	46.91%	49.61%	46.44%	60.29%	36.41%	68.68%	56.84%	40.19%	64.83%	51.75%	26.60%	45.81%	26.94%	63.25%	49.19%	58.75%	37.57%	51.08%	35.57%	38.02%	38.90%	34.90%	39.38%	43.99%	40.88%	39.30%	39.02%	45.18%					
22	. Хакамада Ирина Муцуовна	174	9	6	2	7	1	18	5	3	3	5	1	0	1	13	0	6	0	2	5	3	7	8	4	22	9	16	14	1	3					
		1.50%	1.68%	2.18%	1.55%	1.43%	1.47%	2.81%	0.50%	1.05%	2.80%	1.53%	0.88%	0.00%	0.49%	2.52%	0.00%	1.95%	0.00%	1.10%	1.20%	0.84%	2.66%	1.26%	2.68%	2.28%	1.48%	2.61%	1.41%	0.81%	0.66%					
23	. Харитонов Николай Михайлович	4665	140	110	45	213	25	325	150	87	43	85	50	299	81	318	20	98	29	105	153	194	124	334	80	436	235	254	413	25	194					
		40.16%	26.07%	40.00%	34.88%	43.38%	36.76%	50.78%	15.11%	30.53%	40.19%	25.99%	43.86%	59.80%	39.90%	61.63%	7.07%	31.92%	36.25%	58.01%	36.87%	54.34%	47.15%	52.60%	53.69%	45.18%	38.71%	41.37%	41.51%	20.33%	42.54%					
																																				
24	Против всех	189	21	2	3	2	0	9	9	5	3	4	3	5	1	9	1	1	2	0	2	5	7	5	2	16	19	20	20	1	12					
		1.63%	3.91%	0.73%	2.33%	0.41%	0.00%	1.41%	0.91%	1.75%	2.80%	1.22%	2.63%	1.00%	0.49%	1.74%	0.35%	0.33%	2.50%	0.00%	0.48%	1.40%	2.66%	0.79%	1.34%	1.66%	3.13%	3.26%	2.01%	0.81%	2.63%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
