Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Бардымская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
11	Число полученных открепительных  удостоверений	386	10	10	6	1	50	40	20	6	4	3	11	10	7	3	6	20	4	1	20	2	5	4	9	4	15	10	8	3	6	2	1	3	10	1	8	2	5	15	6	10	2	6	6	6	4	1					
12	Число выданных открепительных удостоверений	174	4	4	2	1	21	29	10	6	4	1	9	10	4	1	2	7	4	0	12	1	1	0	2	0	5	3	0	1	1	0	0	3	1	0	2	2	3	4	1	0	1	1	6	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	0	1	2	1	20	10	14	4	1	0	0	2	2	2	10	7	0	0	5	1	0	2	2	4	2	3	4	4	1	0	1	1	2	0	2	3	4	4	2	5	1	2	3	2	5	1					
14	Число неиспользованных открепительных удостоверений	212	6	6	4	0	29	11	10	0	0	2	2	0	3	2	4	13	0	1	8	1	4	4	7	4	10	7	8	2	5	2	1	0	9	1	6	0	2	11	5	10	1	5	0	2	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	364	3	5	4	3	62	39	37	5	2	8	9	3	10	1	5	13	1	1	29	1	1	9	8	2	7	7	7	1	13	5	1	3	5	0	4	1	1	17	4	4	2	5	5	4	7	0					
		2.42%	0.72%	1.22%	1.54%	5.08%	3.82%	3.31%	3.66%	2.18%	2.17%	6.90%	2.79%	1.00%	3.89%	0.80%	1.89%	1.69%	0.53%	1.54%	3.55%	0.94%	0.49%	5.29%	2.31%	1.00%	1.04%	1.64%	1.76%	0.76%	4.78%	6.33%	1.41%	2.73%	3.68%	0.00%	1.28%	0.85%	0.91%	2.01%	1.61%	1.02%	1.94%	2.12%	1.66%	2.09%	3.47%	0.00%					
19	. Малышкин Олег Александрович	254	4	10	4	1	24	6	8	13	2	2	2	3	11	3	12	9	4	2	7	2	3	3	4	15	7	3	3	2	4	3	5	0	9	0	14	5	1	11	3	11	2	1	3	8	3	2					
		1.69%	0.96%	2.44%	1.54%	1.69%	1.48%	0.51%	0.79%	5.68%	2.17%	1.72%	0.62%	1.00%	4.28%	2.40%	4.53%	1.17%	2.11%	3.08%	0.86%	1.89%	1.46%	1.76%	1.16%	7.46%	1.04%	0.70%	0.75%	1.52%	1.47%	3.80%	7.04%	0.00%	6.62%	0.00%	4.47%	4.24%	0.91%	1.30%	1.21%	2.81%	1.94%	0.42%	0.99%	4.19%	1.49%	2.82%					
20	. Миронов Сергей Михайлович	137	2	5	1	0	15	7	9	5	1	4	5	5	3	1	2	5	2	0	6	0	6	1	4	2	3	1	2	0	3	3	1	3	3	1	2	1	1	3	1	8	0	0	5	1	3	1					
		0.91%	0.48%	1.22%	0.38%	0.00%	0.93%	0.59%	0.89%	2.18%	1.09%	3.45%	1.55%	1.66%	1.17%	0.80%	0.75%	0.65%	1.05%	0.00%	0.74%	0.00%	2.91%	0.59%	1.16%	1.00%	0.44%	0.23%	0.50%	0.00%	1.10%	3.80%	1.41%	2.73%	2.21%	1.67%	0.64%	0.85%	0.91%	0.36%	0.40%	2.04%	0.00%	0.00%	1.66%	0.52%	1.49%	1.41%					
21	. Путин Владимир Владимирович	10499	203	279	193	36	1195	933	752	158	71	71	198	228	162	72	198	520	148	48	466	75	123	119	160	145	530	346	302	113	195	45	44	66	76	42	243	90	85	595	162	217	87	174	196	133	146	59					
		69.88%	48.92%	68.05%	74.23%	61.02%	73.72%	79.13%	74.38%	69.00%	77.17%	61.21%	61.30%	75.75%	63.04%	57.60%	74.72%	67.44%	77.89%	73.85%	57.11%	70.75%	59.71%	70.00%	46.24%	72.14%	78.40%	81.22%	75.88%	85.61%	71.69%	56.96%	61.97%	60.00%	55.88%	70.00%	77.64%	76.27%	77.27%	70.41%	65.32%	55.36%	84.47%	73.73%	64.90%	69.63%	72.28%	83.10%					
22	. Хакамада Ирина Муцуовна	567	17	18	9	2	63	64	65	5	5	3	14	7	9	1	7	14	13	3	21	5	4	4	30	6	19	7	17	0	10	1	3	2	5	6	13	6	3	37	7	24	2	6	6	3	1	0					
		3.77%	4.10%	4.39%	3.46%	3.39%	3.89%	5.43%	6.43%	2.18%	5.43%	2.59%	4.33%	2.33%	3.50%	0.80%	2.64%	1.82%	6.84%	4.62%	2.57%	4.72%	1.94%	2.35%	8.67%	2.99%	2.81%	1.64%	4.27%	0.00%	3.68%	1.27%	4.23%	1.82%	3.68%	10.00%	4.15%	5.08%	2.73%	4.38%	2.82%	6.12%	1.94%	2.54%	1.99%	1.57%	0.50%	0.00%					
23	. Харитонов Николай Михайлович	2836	179	84	45	16	229	104	113	36	6	27	90	46	54	41	32	187	21	9	271	20	60	28	134	24	93	53	60	13	37	21	16	34	34	11	29	13	16	161	65	117	7	43	79	36	35	7					
		18.88%	43.13%	20.49%	17.31%	27.12%	14.13%	8.82%	11.18%	15.72%	6.52%	23.28%	27.86%	15.28%	21.01%	32.80%	12.08%	24.25%	11.05%	13.85%	33.21%	18.87%	29.13%	16.47%	38.73%	11.94%	13.76%	12.44%	15.08%	9.85%	13.60%	26.58%	22.54%	30.91%	25.00%	18.33%	9.27%	11.02%	14.55%	19.05%	26.21%	29.85%	6.80%	18.22%	26.16%	18.85%	17.33%	9.86%					
																																																					
24	Против всех	202	7	2	0	1	20	22	17	2	0	0	3	4	4	3	9	11	1	1	8	1	6	0	6	3	9	4	2	0	6	0	1	1	1	0	8	1	3	8	4	5	3	3	0	5	5	2					
		1.34%	1.69%	0.49%	0.00%	1.69%	1.23%	1.87%	1.68%	0.87%	0.00%	0.00%	0.93%	1.33%	1.56%	2.40%	3.40%	1.43%	0.53%	1.54%	0.98%	0.94%	2.91%	0.00%	1.73%	1.49%	1.33%	0.94%	0.50%	0.00%	2.21%	0.00%	1.41%	0.91%	0.74%	0.00%	2.56%	0.85%	2.73%	0.95%	1.61%	1.28%	2.91%	1.27%	0.00%	2.62%	2.48%	2.82%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
