Выборы Президента Российской Федерации																																																																																																																																	
																																																																																																																																	
Наименование Избирательной комиссии:    Таганрогская																																																																																																																																	
																																																																																																																																	
Итоги голосования 																																																																																																																																	
																																																																																																																																	
		Сумма	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2522	УИК №2523					
19	. Малышкин Олег Александрович	3059	24	22	29	30	12	23	25	28	19	26	15	24	22	19	24	16	19	38	25	24	18	24	18	25	26	15	29	22	23	17	19	20	21	9	19	20	17	10	16	20	29	19	34	22	25	24	23	34	22	26	30	18	30	23	31	20	22	38	19	15	40	35	15	31	54	29	13	36	37	25	41	30	24	28	15	29	44	43	30	25	31	24	24	20	31	35	34	12	47	27	31	20	16	17	31	30	45	31	28	26	25	34	28	25	24	17	18	25	15	23	35	31	33	25	53	36	36	7	3	6	6	14					
		2.14%	1.94%	1.87%	2.50%	2.30%	1.49%	2.19%	1.75%	2.02%	1.36%	2.22%	1.40%	1.64%	1.70%	1.79%	1.96%	1.31%	1.44%	2.79%	2.01%	1.79%	1.37%	1.55%	1.28%	2.54%	1.99%	1.66%	2.56%	2.01%	2.45%	1.43%	1.55%	1.75%	1.69%	0.84%	1.93%	1.86%	1.90%	1.33%	1.68%	1.81%	1.98%	1.55%	2.34%	2.28%	2.23%	2.20%	1.84%	2.75%	2.23%	1.85%	2.06%	1.53%	2.40%	1.78%	1.98%	1.52%	2.03%	2.88%	2.16%	1.89%	2.46%	2.83%	1.32%	2.26%	3.58%	2.94%	1.25%	2.69%	2.40%	3.62%	2.27%	1.97%	1.96%	2.52%	1.45%	2.19%	3.76%	3.30%	2.55%	2.23%	2.87%	2.39%	2.33%	1.56%	2.34%	3.13%	2.88%	1.29%	3.98%	2.38%	2.57%	1.75%	1.49%	2.06%	2.66%	2.85%	2.50%	2.31%	2.04%	2.95%	2.49%	2.79%	2.39%	1.88%	2.02%	1.57%	1.75%	1.97%	1.46%	3.29%	2.61%	2.17%	2.31%	2.94%	3.41%	2.81%	2.56%	1.60%	0.66%	1.54%	0.66%	1.35%					
20	. Миронов Сергей Михайлович	1085	8	5	14	11	10	4	18	12	11	7	5	9	4	3	12	11	9	12	14	4	12	10	8	7	10	6	4	10	7	9	10	10	7	13	10	6	6	9	7	6	9	6	9	5	8	9	8	14	9	9	12	5	12	9	13	15	13	11	11	4	4	10	16	9	17	9	5	9	10	4	12	8	10	8	9	10	7	3	4	9	10	9	4	9	11	8	8	6	12	16	13	10	11	7	3	10	17	17	7	7	10	11	11	10	10	7	11	5	8	5	9	7	18	6	12	6	12	4	1	4	3	6					
		0.76%	0.65%	0.43%	1.21%	0.84%	1.24%	0.38%	1.26%	0.87%	0.79%	0.60%	0.47%	0.62%	0.31%	0.28%	0.98%	0.90%	0.68%	0.88%	1.12%	0.30%	0.91%	0.65%	0.57%	0.71%	0.76%	0.66%	0.35%	0.91%	0.75%	0.76%	0.81%	0.88%	0.56%	1.22%	1.02%	0.56%	0.67%	1.19%	0.73%	0.54%	0.61%	0.49%	0.62%	0.52%	0.71%	0.83%	0.64%	1.13%	0.91%	0.64%	0.82%	0.42%	0.96%	0.70%	0.83%	1.14%	1.20%	0.83%	1.25%	0.51%	0.25%	0.81%	1.41%	0.66%	1.13%	0.91%	0.48%	0.67%	0.65%	0.58%	0.67%	0.52%	0.82%	0.72%	0.87%	0.75%	0.60%	0.23%	0.34%	0.80%	0.93%	0.90%	0.39%	0.70%	0.83%	0.72%	0.68%	0.64%	1.02%	1.41%	1.08%	0.87%	1.03%	0.85%	0.26%	0.95%	0.94%	1.27%	0.51%	0.79%	1.00%	0.90%	0.94%	0.75%	0.84%	0.64%	1.07%	0.39%	0.78%	0.72%	0.67%	0.49%	1.26%	0.71%	0.77%	0.47%	0.85%	0.92%	0.22%	1.03%	0.33%	0.58%					
21	. Путин Владимир Владимирович	84626	717	849	693	862	500	666	958	822	834	697	660	868	804	678	715	757	759	836	778	757	775	914	861	587	733	505	614	625	582	692	763	681	767	628	604	648	524	432	546	614	818	765	875	604	661	609	716	765	630	829	865	737	711	714	865	706	640	771	492	433	1012	728	686	764	846	591	598	718	841	411	1002	804	771	708	668	849	683	747	616	654	640	598	615	759	696	675	717	543	716	670	664	664	592	483	683	625	1042	750	726	559	613	714	722	781	688	632	609	691	609	409	765	829	846	489	942	789	742	297	432	317	465	620					
		59.08%	57.92%	72.19%	59.84%	66.05%	62.03%	63.49%	67.18%	59.44%	59.70%	59.57%	61.45%	59.49%	62.23%	63.96%	58.42%	61.90%	57.41%	61.34%	62.44%	56.58%	58.98%	59.04%	61.41%	59.72%	56.00%	55.92%	54.19%	57.08%	61.98%	58.35%	62.08%	59.63%	61.61%	58.75%	61.44%	60.39%	58.61%	57.29%	57.17%	55.57%	55.84%	62.45%	60.14%	62.59%	58.97%	55.87%	57.42%	61.94%	63.77%	58.96%	59.29%	62.56%	56.93%	55.26%	55.34%	53.73%	58.93%	58.41%	55.91%	54.67%	62.16%	58.85%	60.28%	55.69%	56.06%	60.00%	57.67%	53.58%	54.65%	59.57%	55.57%	52.69%	63.04%	63.78%	64.48%	64.08%	58.38%	57.24%	52.38%	58.29%	59.31%	59.50%	59.59%	59.25%	52.53%	60.43%	60.71%	58.26%	60.68%	59.03%	55.10%	58.04%	55.22%	58.55%	58.68%	59.35%	57.89%	55.89%	52.84%	63.45%	61.06%	58.67%	61.55%	58.68%	57.96%	58.20%	59.30%	54.37%	59.18%	58.51%	57.13%	58.05%	59.12%	57.46%	60.58%	61.59%	52.70%	67.96%	95.15%	81.28%	51.50%	59.67%					
22	. Хакамада Ирина Муцуовна	9138	99	82	95	97	64	96	113	116	151	92	63	82	119	81	110	99	129	99	111	84	67	99	97	64	85	64	73	69	56	76	76	88	84	75	54	55	48	36	71	60	81	69	102	57	46	79	79	54	44	93	90	73	81	97	76	98	65	76	61	60	63	75	67	96	91	44	45	75	80	39	132	139	69	70	69	76	64	95	66	54	67	68	59	77	111	58	72	56	69	76	95	70	74	40	50	39	94	65	87	62	49	75	64	77	82	74	52	76	56	52	90	65	83	53	82	84	59	30	7	5	102	63					
		6.38%	8.00%	6.97%	8.20%	7.43%	7.94%	9.15%	7.92%	8.39%	10.81%	7.86%	5.87%	5.62%	9.21%	7.64%	8.99%	8.09%	9.76%	7.26%	8.91%	6.28%	5.10%	6.40%	6.92%	6.51%	6.49%	7.09%	6.44%	6.30%	5.96%	6.41%	6.18%	7.71%	6.75%	7.02%	5.49%	5.13%	5.37%	4.77%	7.43%	5.43%	5.53%	5.63%	7.01%	5.91%	4.10%	7.25%	6.34%	4.37%	4.45%	6.61%	6.17%	6.20%	6.49%	7.51%	4.86%	7.46%	5.99%	5.76%	6.93%	7.58%	3.87%	6.06%	5.89%	7.00%	6.03%	4.47%	4.34%	5.60%	5.20%	5.65%	7.32%	9.11%	5.64%	6.31%	6.66%	5.74%	5.47%	7.28%	5.61%	4.81%	6.21%	6.77%	5.72%	6.01%	8.38%	5.19%	6.10%	6.01%	5.85%	6.70%	7.88%	6.12%	6.90%	4.85%	4.30%	3.70%	5.22%	4.84%	6.33%	7.04%	4.88%	6.16%	5.46%	5.79%	6.91%	6.81%	5.06%	5.98%	5.44%	7.44%	6.72%	4.55%	5.80%	6.23%	5.27%	6.56%	4.19%	6.86%	1.54%	1.28%	11.30%	6.06%					
23	. Харитонов Николай Михайлович	25766	231	74	152	126	118	125	126	227	165	195	188	271	167	167	167	182	214	190	205	277	275	299	225	165	285	201	257	236	127	237	206	211	206	188	171	219	150	160	176	239	327	203	196	149	224	233	269	182	134	238	253	182	234	274	391	335	206	256	163	170	314	196	203	269	251	144	238	307	353	142	296	265	207	155	163	219	232	243	282	238	179	174	187	239	287	194	191	199	167	186	249	197	225	135	253	219	382	289	295	121	190	193	176	239	218	213	181	266	230	108	250	300	264	158	231	194	398	59	3	42	159	190					
		17.99%	18.66%	6.29%	13.13%	9.66%	14.64%	11.92%	8.84%	16.41%	11.81%	16.67%	17.50%	18.57%	12.93%	15.75%	13.64%	14.88%	16.19%	13.94%	16.45%	20.70%	20.93%	19.32%	16.05%	16.79%	21.77%	22.26%	22.68%	21.55%	13.53%	19.98%	16.76%	18.48%	16.55%	17.59%	17.40%	20.41%	16.78%	21.22%	18.43%	21.63%	22.32%	16.57%	13.47%	15.44%	19.98%	21.38%	21.57%	14.74%	13.56%	16.93%	17.34%	15.45%	18.73%	21.21%	25.02%	25.49%	18.97%	19.39%	18.52%	21.46%	19.29%	15.84%	17.84%	19.61%	16.63%	14.62%	22.95%	22.91%	22.94%	20.58%	16.42%	17.37%	16.93%	13.96%	15.73%	16.53%	19.83%	18.62%	23.98%	21.21%	16.59%	17.31%	18.12%	18.66%	21.66%	17.37%	16.17%	21.35%	14.15%	16.39%	20.66%	17.22%	20.99%	16.36%	21.74%	20.80%	21.22%	21.54%	21.47%	13.73%	18.92%	15.86%	15.00%	17.96%	18.37%	19.61%	17.62%	20.93%	22.35%	15.45%	18.67%	21.01%	18.45%	18.57%	14.86%	15.14%	28.27%	13.50%	0.66%	10.77%	17.61%	18.29%					
