		Сумма	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №3384	УИК №3387	УИК №3388									
		7.30%	7.67%	7.53%	8.13%	8.50%	8.20%	8.76%	7.63%	8.91%	5.93%	7.91%	5.75%	5.76%	7.62%	7.91%	6.61%	2.09%	7.10%	7.37%	4.97%	7.76%	7.16%	8.92%	8.96%	7.24%	9.48%	9.25%	7.35%	8.94%	8.50%	7.96%	10.59%	5.76%	8.73%	4.72%	8.67%	5.45%	10.14%	9.68%	8.53%	9.38%	6.27%	8.27%	9.68%	9.38%	8.41%	7.47%	6.19%	7.35%	7.95%	7.93%	10.28%	7.91%	9.51%	8.46%	11.66%	5.81%	5.02%	5.99%	9.16%	7.97%	8.04%	7.32%	7.14%	8.25%	8.75%	7.98%	7.00%	5.35%	5.03%	4.64%	6.13%	3.94%	6.53%	4.73%	6.42%	6.87%	9.11%	6.88%	6.65%	6.95%	8.50%	7.89%	7.09%	8.44%	6.04%	6.63%	5.96%	6.61%	7.30%	5.96%	6.44%	9.23%	9.60%	6.89%	11.40%	9.11%	9.29%	9.38%	9.34%	3.67%	7.66%	8.11%	9.46%	4.19%	6.96%	7.25%	10.50%	7.08%	5.08%	7.37%	13.64%	10.14%	7.07%	5.26%	3.19%	7.24%	4.25%	8.63%	1.74%	4.81%									
20	Зюганов Геннадий Андреевич	18674	164	187	99	112	115	224	149	182	210	83	270	210	121	250	219	186	298	282	231	171	195	86	222	126	206	119	107	169	76	69	162	129	140	150	316	152	232	95	63	94	197	242	181	259	229	221	326	213	150	215	168	276	130	116	15	63	7	130	204	293	360	304	228	190	122	61	157	245	280	312	241	279	139	129	148	325	214	89	67	218	245	293	220	100	203	98	67	59	60	51	57	194	166	73	196	88	24	116	48	19	31	36	33	92	189	61	80	366	49	133	35	29	72	25	205	163	202	35	15	32									
		18.78%	13.97%	22.34%	12.98%	22.13%	15.71%	20.44%	22.31%	20.80%	19.76%	16.84%	22.82%	20.85%	19.21%	21.97%	21.60%	21.63%	21.36%	22.83%	17.92%	23.68%	22.16%	14.75%	20.52%	16.28%	22.71%	18.65%	15.74%	20.69%	25.85%	17.16%	20.66%	18.56%	18.52%	17.71%	25.36%	21.81%	19.13%	17.69%	18.53%	17.64%	15.63%	22.74%	19.46%	20.75%	18.35%	20.13%	19.78%	15.35%	19.23%	18.73%	19.40%	18.51%	16.93%	17.21%	9.20%	12.63%	2.51%	21.63%	18.68%	22.68%	23.17%	24.72%	20.36%	18.22%	17.78%	18.71%	19.63%	16.82%	17.82%	21.61%	15.23%	19.29%	18.53%	18.51%	11.18%	20.48%	16.80%	9.42%	14.86%	18.71%	18.60%	28.20%	19.50%	20.58%	13.62%	16.67%	15.37%	17.72%	16.85%	16.89%	12.67%	26.72%	19.93%	20.11%	20.70%	18.64%	10.62%	22.66%	18.68%	17.43%	14.83%	24.32%	22.30%	22.66%	24.84%	22.10%	20.00%	24.66%	13.84%	18.14%	15.91%	14.01%	14.97%	10.12%	19.79%	16.62%	19.09%	4.14%	1.54%	4.40%									
21	Миронов Сергей Михайлович	4407	37	59	26	16	29	65	38	54	42	25	58	52	31	56	44	50	70	50	51	33	41	29	51	31	51	44	30	59	12	24	48	34	36	22	56	37	57	29	14	19	37	39	51	57	65	36	69	127	41	51	50	73	39	30	14	8	0	42	43	60	61	49	60	50	30	13	47	92	52	62	59	74	17	31	36	71	43	31	21	60	62	49	53	17	50	26	26	13	9	7	15	21	26	9	45	25	7	28	4	11	12	5	6	12	35	17	18	64	14	29	15	3	25	9	31	55	28	14	0	11									
		4.43%	3.15%	7.05%	3.41%	3.16%	3.96%	5.93%	5.69%	6.17%	3.95%	5.07%	4.90%	5.16%	4.92%	4.92%	4.34%	5.81%	5.02%	4.05%	3.96%	4.57%	4.66%	4.97%	4.71%	4.01%	5.62%	6.90%	4.41%	7.22%	4.08%	5.97%	6.12%	4.89%	4.76%	2.60%	4.49%	5.31%	4.70%	5.40%	4.12%	3.56%	2.94%	3.67%	5.48%	4.57%	5.21%	3.28%	4.19%	9.15%	5.26%	4.44%	5.77%	4.90%	5.08%	4.45%	8.59%	1.60%	0.00%	6.99%	3.94%	4.64%	3.93%	3.98%	5.36%	4.79%	4.37%	3.99%	5.88%	6.31%	3.31%	4.29%	3.73%	5.12%	2.27%	4.45%	2.72%	4.47%	3.38%	3.28%	4.66%	5.15%	4.71%	4.72%	4.70%	3.50%	3.35%	4.42%	5.96%	3.90%	2.53%	2.32%	3.33%	2.89%	3.12%	2.48%	4.75%	5.30%	3.10%	5.47%	1.56%	10.09%	5.74%	3.38%	4.05%	2.96%	4.60%	6.16%	4.50%	4.31%	3.95%	3.96%	6.82%	1.45%	5.20%	3.64%	2.99%	5.61%	2.65%	1.65%	0.00%	1.51%									
22	Прохоров Михаил Дмитриевич	8559	66	90	12	68	84	110	61	79	87	23	129	134	68	141	89	55	162	140	121	75	142	68	113	73	100	63	56	64	36	41	67	55	50	60	172	94	122	49	25	53	106	79	92	121	163	74	117	97	97	146	88	104	56	45	18	11	3	34	121	147	157	101	99	107	72	37	93	93	73	94	114	83	35	36	65	250	114	43	38	99	92	101	91	48	94	34	33	28	37	35	40	54	42	18	55	29	16	27	12	5	12	6	9	8	6	32	42	189	29	31	13	6	36	26	116	100	108	54	10	16									
		8.61%	5.62%	10.75%	1.57%	13.44%	11.48%	10.04%	9.13%	9.03%	8.18%	4.67%	10.90%	13.31%	10.79%	12.39%	8.78%	6.40%	11.61%	11.34%	9.39%	10.39%	16.14%	11.66%	10.44%	9.43%	11.03%	9.87%	8.24%	7.83%	12.24%	10.20%	8.55%	7.91%	6.61%	7.08%	13.80%	13.49%	10.06%	9.12%	7.35%	9.94%	8.41%	7.42%	9.89%	9.70%	13.06%	6.74%	7.10%	6.99%	12.44%	12.72%	10.16%	6.98%	7.29%	6.68%	11.04%	2.20%	1.08%	5.66%	11.08%	11.38%	10.10%	8.21%	8.84%	10.26%	10.50%	11.35%	11.63%	6.38%	4.65%	6.51%	7.21%	5.74%	4.67%	5.16%	4.91%	15.75%	8.95%	4.55%	8.43%	8.50%	6.99%	9.72%	8.07%	9.88%	6.30%	5.78%	7.57%	8.41%	10.39%	11.59%	8.89%	7.44%	5.04%	4.96%	5.81%	6.14%	7.08%	5.27%	4.67%	4.59%	5.74%	4.05%	6.08%	1.97%	0.79%	11.59%	10.50%	12.74%	8.19%	4.23%	5.91%	2.90%	7.48%	10.53%	11.20%	10.19%	10.21%	6.38%	1.02%	2.20%									
23	Путин Владимир Владимирович	58319	787	426	547	255	433	583	347	467	658	308	635	525	347	578	577	537	731	644	797	368	419	332	585	477	448	338	420	430	141	224	404	431	450	550	579	359	646	300	207	302	820	579	500	664	661	657	997	817	414	616	439	871	458	405	85	382	227	346	603	662	827	664	634	595	386	184	432	933	1062	884	1013	943	495	461	937	794	762	657	290	697	790	498	664	277	1037	389	274	202	215	185	303	379	494	230	522	274	155	281	165	69	133	85	82	277	478	140	209	729	230	476	126	145	312	173	634	558	648	660	745	631									
		58.65%	67.04%	50.90%	71.69%	50.40%	59.15%	53.19%	51.95%	53.37%	61.90%	62.47%	53.68%	52.14%	55.08%	50.79%	56.90%	62.44%	52.40%	52.15%	61.83%	50.97%	47.61%	56.95%	54.07%	61.63%	49.39%	52.98%	61.76%	52.63%	47.96%	55.72%	51.53%	62.01%	59.52%	64.94%	46.47%	51.51%	53.26%	55.87%	60.88%	56.66%	65.08%	54.42%	53.76%	53.21%	52.96%	59.84%	60.50%	58.86%	53.08%	53.66%	50.69%	58.42%	59.64%	60.09%	52.15%	76.55%	81.36%	57.57%	55.22%	51.24%	53.22%	53.98%	56.61%	57.05%	56.27%	56.44%	54.00%	64.04%	67.60%	61.22%	64.03%	65.21%	66.00%	66.14%	70.77%	50.03%	59.81%	69.52%	64.30%	59.83%	59.98%	47.93%	58.87%	56.99%	69.55%	66.16%	62.84%	60.66%	60.39%	61.26%	67.33%	52.20%	59.30%	63.36%	55.12%	58.05%	68.58%	54.88%	64.20%	63.30%	63.64%	57.43%	55.41%	68.23%	62.81%	50.72%	52.25%	49.12%	64.97%	64.94%	57.27%	70.05%	64.86%	70.04%	61.20%	56.88%	61.25%	78.01%	76.25%	86.80%									
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
