Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Родионово-Несветайская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2528	УИК №2529	УИК №2530					
		0.93%	2.41%	1.37%	0.31%	0.99%	0.56%	0.91%	1.10%	1.32%	0.50%	2.31%	0.21%	3.14%	1.35%	0.92%	1.63%	0.60%	0.36%	0.39%	1.25%	0.84%	0.10%	0.54%	1.62%					
20	. Миронов Сергей Михайлович	59	8	0	5	1	0	3	1	1	0	4	2	0	1	3	2	2	5	1	3	11	1	1	4					
		0.36%	0.96%	0.00%	0.52%	0.50%	0.00%	0.91%	0.16%	0.66%	0.00%	0.62%	0.14%	0.00%	0.19%	0.55%	0.41%	0.24%	0.45%	0.19%	0.18%	0.57%	0.10%	0.18%	0.59%					
21	. Путин Владимир Владимирович	15203	731	383	924	182	162	311	604	137	765	582	1376	132	447	392	442	779	1063	494	1444	1776	949	499	629					
		91.86%	88.07%	87.44%	96.35%	90.10%	91.01%	94.82%	94.82%	90.13%	95.03%	89.68%	96.77%	83.02%	86.46%	72.19%	90.20%	92.74%	96.20%	95.74%	86.11%	92.79%	99.06%	90.24%	92.77%					
22	. Хакамада Ирина Муцуовна	163	16	5	5	1	3	2	4	1	2	15	2	3	23	15	4	3	12	3	21	13	1	3	6					
		0.98%	1.93%	1.14%	0.52%	0.50%	1.69%	0.61%	0.63%	0.66%	0.25%	2.31%	0.14%	1.89%	4.45%	2.76%	0.82%	0.36%	1.09%	0.58%	1.25%	0.68%	0.10%	0.54%	0.88%					
23	. Харитонов Николай Михайлович	636	22	17	13	14	7	5	9	6	31	15	28	11	24	99	27	41	21	11	120	58	3	36	18					
		3.84%	2.65%	3.88%	1.36%	6.93%	3.93%	1.52%	1.41%	3.95%	3.85%	2.31%	1.97%	6.92%	4.64%	18.23%	5.51%	4.88%	1.90%	2.13%	7.16%	3.03%	0.31%	6.51%	2.65%					
																														
24	Против всех	119	10	10	3	1	0	0	4	0	0	11	3	1	3	9	3	3	0	0	27	15	1	9	6					
		0.72%	1.20%	2.28%	0.31%	0.50%	0.00%	0.00%	0.63%	0.00%	0.00%	1.69%	0.21%	0.63%	0.58%	1.66%	0.61%	0.36%	0.00%	0.00%	1.61%	0.78%	0.10%	1.63%	0.88%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
