Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Красногвардейская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	340	10	2	0	1	11	0	1	8	5	1	9	6	1	4	26	4	2	0	9	4	5	5	17	3	14	11	0	1	8	5	0	14	3	13	0	0	8	22	19	46	23	4	4	2	9					
		2.61%	2.11%	0.80%	0.00%	0.54%	3.03%	0.00%	1.03%	7.08%	1.27%	0.51%	4.17%	3.17%	0.68%	2.08%	2.90%	1.68%	0.57%	0.00%	3.53%	1.52%	3.52%	2.69%	5.76%	1.12%	3.95%	2.11%	0.00%	0.44%	1.93%	2.38%	0.00%	2.93%	1.48%	3.45%	0.00%	0.00%	3.49%	3.88%	4.29%	4.57%	2.82%	2.02%	2.23%	1.12%	2.84%					
19	. Малышкин Олег Александрович	406	12	14	0	17	13	1	3	6	14	5	4	6	9	4	18	1	8	2	16	16	13	5	21	9	19	22	3	4	3	5	1	5	4	12	1	1	9	13	11	21	20	8	1	0	26					
		3.12%	2.53%	5.62%	0.00%	9.24%	3.58%	2.22%	3.09%	5.31%	3.55%	2.53%	1.85%	3.17%	6.08%	2.08%	2.01%	0.42%	2.28%	3.28%	6.27%	6.06%	9.15%	2.69%	7.12%	3.36%	5.37%	4.22%	3.06%	1.77%	0.72%	2.38%	1.03%	1.05%	1.97%	3.18%	0.78%	0.93%	3.93%	2.29%	2.48%	2.09%	2.45%	4.04%	0.56%	0.00%	8.20%					
20	. Миронов Сергей Михайлович	107	1	4	0	1	3	1	0	0	1	1	1	2	2	2	6	2	6	0	7	4	0	0	4	0	3	3	0	7	3	0	0	1	0	1	1	0	3	11	2	9	7	3	1	0	4					
		0.82%	0.21%	1.61%	0.00%	0.54%	0.83%	2.22%	0.00%	0.00%	0.25%	0.51%	0.46%	1.06%	1.35%	1.04%	0.67%	0.84%	1.71%	0.00%	2.75%	1.52%	0.00%	0.00%	1.36%	0.00%	0.85%	0.58%	0.00%	3.10%	0.72%	0.00%	0.00%	0.21%	0.00%	0.27%	0.78%	0.00%	1.31%	1.94%	0.45%	0.89%	0.86%	1.52%	0.56%	0.00%	1.26%					
21	. Путин Владимир Владимирович	7979	319	175	34	98	210	27	66	50	226	106	110	133	114	142	611	113	188	45	166	154	80	149	132	214	191	247	37	107	206	168	66	277	117	263	79	72	159	382	300	640	537	148	92	73	156					
		61.34%	67.16%	70.28%	80.95%	53.26%	57.85%	60.00%	68.04%	44.25%	57.36%	53.54%	50.93%	70.37%	77.03%	73.96%	68.19%	47.48%	53.56%	73.77%	65.10%	58.33%	56.34%	80.11%	44.75%	79.85%	53.95%	47.41%	37.76%	47.35%	49.76%	80.00%	68.04%	57.95%	57.64%	69.76%	61.72%	66.67%	69.43%	67.37%	67.72%	63.62%	65.81%	74.75%	51.40%	41.01%	49.21%					
22	. Хакамада Ирина Муцуовна	234	7	5	1	3	11	0	1	2	5	0	4	2	5	5	28	4	6	0	2	0	0	0	5	5	5	5	1	6	5	5	2	6	0	5	0	1	6	12	6	23	29	3	2	2	9					
		1.80%	1.47%	2.01%	2.38%	1.63%	3.03%	0.00%	1.03%	1.77%	1.27%	0.00%	1.85%	1.06%	3.38%	2.60%	3.12%	1.68%	1.71%	0.00%	0.78%	0.00%	0.00%	0.00%	1.69%	1.87%	1.41%	0.96%	1.02%	2.65%	1.21%	2.38%	2.06%	1.26%	0.00%	1.33%	0.00%	0.93%	2.62%	2.12%	1.35%	2.29%	3.55%	1.52%	1.12%	1.12%	2.84%					
23	. Харитонов Николай Михайлович	3605	114	47	6	63	102	13	24	41	135	82	86	34	13	29	177	106	135	14	47	78	44	24	99	36	111	224	52	98	174	22	28	163	78	65	46	32	38	113	89	243	179	29	73	96	103					
		27.71%	24.00%	18.88%	14.29%	34.24%	28.10%	28.89%	24.74%	36.28%	34.26%	41.41%	39.81%	17.99%	8.78%	15.10%	19.75%	44.54%	38.46%	22.95%	18.43%	29.55%	30.99%	12.90%	33.56%	13.43%	31.36%	42.99%	53.06%	43.36%	42.03%	10.48%	28.87%	34.10%	38.42%	17.24%	35.94%	29.63%	16.59%	19.93%	20.09%	24.16%	21.94%	14.65%	40.78%	53.93%	32.49%					
																																																				
24	Против всех	240	10	1	1	1	12	2	1	2	3	3	1	5	4	5	26	4	5	0	3	7	0	0	12	1	8	2	3	1	7	5	0	6	1	15	0	1	6	12	12	22	12	2	4	2	10					
		1.85%	2.11%	0.40%	2.38%	0.54%	3.31%	4.44%	1.03%	1.77%	0.76%	1.52%	0.46%	2.65%	2.70%	2.60%	2.90%	1.68%	1.42%	0.00%	1.18%	2.65%	0.00%	0.00%	4.07%	0.37%	2.26%	0.38%	3.06%	0.44%	1.69%	2.38%	0.00%	1.26%	0.49%	3.98%	0.00%	0.93%	2.62%	2.12%	2.71%	2.19%	1.47%	1.01%	2.23%	1.12%	3.15%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
