Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Коченевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
		2.57%	1.85%	2.88%	0.00%	2.96%	0.62%	1.60%	0.42%	3.40%	0.00%	2.04%	0.94%	0.00%	0.00%	2.53%	0.00%	0.75%	3.08%	0.96%	3.56%	1.78%	2.31%	1.68%	0.93%	0.34%	1.95%	0.00%	0.00%	1.02%	0.70%	0.00%	0.00%	0.42%	4.32%	1.41%	4.69%	0.00%	1.36%	1.06%	1.78%	0.83%	4.72%	3.83%	3.33%	3.04%	1.79%	4.17%	2.33%	2.73%	5.47%	6.48%					
19	. Малышкин Олег Александрович	446	32	4	9	11	6	15	3	8	1	5	8	1	0	10	8	12	1	0	23	12	9	2	7	2	7	4	0	3	7	0	14	9	9	0	1	2	8	3	8	6	3	20	10	16	18	9	24	31	19	26					
		2.02%	4.55%	1.65%	4.13%	1.36%	3.75%	4.01%	1.26%	1.81%	1.20%	10.20%	1.07%	1.43%	0.00%	2.53%	8.16%	1.80%	1.54%	0.00%	1.46%	2.67%	1.60%	0.84%	2.17%	0.69%	2.73%	2.70%	0.00%	3.06%	1.63%	0.00%	20.59%	1.89%	4.86%	0.00%	1.56%	1.42%	2.17%	0.79%	2.04%	4.96%	2.36%	2.02%	1.45%	1.13%	1.79%	1.44%	1.87%	2.65%	1.62%	2.48%					
20	. Миронов Сергей Михайлович	105	4	3	2	2	2	0	3	5	0	0	3	0	1	0	0	5	0	0	6	1	4	1	4	0	2	0	0	2	0	0	1	6	0	0	0	0	4	1	3	0	1	3	2	5	5	1	6	6	6	5					
		0.48%	0.57%	1.23%	0.92%	0.25%	1.25%	0.00%	1.26%	1.13%	0.00%	0.00%	0.40%	0.00%	0.98%	0.00%	0.00%	0.75%	0.00%	0.00%	0.38%	0.22%	0.71%	0.42%	1.24%	0.00%	0.78%	0.00%	0.00%	2.04%	0.00%	0.00%	1.47%	1.26%	0.00%	0.00%	0.00%	0.00%	1.08%	0.26%	0.76%	0.00%	0.79%	0.30%	0.29%	0.35%	0.50%	0.16%	0.47%	0.51%	0.51%	0.48%					
21	. Путин Владимир Владимирович	14305	467	134	149	521	115	249	101	269	48	15	382	33	31	219	66	513	51	52	1091	316	371	196	227	208	199	55	167	68	272	19	26	346	129	84	35	108	214	251	209	63	95	671	424	999	636	424	814	812	721	640					
		64.73%	66.43%	55.14%	68.35%	64.32%	71.88%	66.58%	42.44%	61.00%	57.83%	30.61%	51.14%	47.14%	30.39%	55.30%	67.35%	76.91%	78.46%	50.00%	69.36%	70.38%	66.01%	82.35%	70.28%	71.48%	77.73%	37.16%	72.29%	69.39%	63.40%	28.36%	38.24%	72.84%	69.73%	59.15%	54.69%	76.60%	57.99%	66.40%	53.18%	52.07%	74.80%	67.64%	61.36%	70.70%	63.22%	68.06%	63.30%	69.28%	61.57%	60.95%					
22	. Хакамада Ирина Муцуовна	458	8	6	6	11	4	1	6	6	0	1	9	1	2	10	0	7	0	0	29	3	24	3	6	2	8	1	6	4	9	3	2	10	2	0	0	2	1	5	11	2	3	20	24	47	28	18	23	29	28	27					
		2.07%	1.14%	2.47%	2.75%	1.36%	2.50%	0.27%	2.52%	1.36%	0.00%	2.04%	1.20%	1.43%	1.96%	2.53%	0.00%	1.05%	0.00%	0.00%	1.84%	0.67%	4.27%	1.26%	1.86%	0.69%	3.12%	0.68%	2.60%	4.08%	2.10%	4.48%	2.94%	2.11%	1.08%	0.00%	0.00%	1.42%	0.27%	1.32%	2.80%	1.65%	2.36%	2.02%	3.47%	3.33%	2.78%	2.89%	1.79%	2.47%	2.39%	2.57%					
23	. Харитонов Николай Михайлович	5283	154	78	48	218	25	81	112	118	31	26	314	31	67	119	21	106	10	47	302	83	96	29	59	63	26	78	50	17	119	44	23	92	28	52	23	24	124	101	142	46	18	198	164	245	266	117	329	224	267	228					
		23.90%	21.91%	32.10%	22.02%	26.91%	15.62%	21.66%	47.06%	26.76%	37.35%	53.06%	42.03%	44.29%	65.69%	30.05%	21.43%	15.89%	15.38%	45.19%	19.20%	18.49%	17.08%	12.18%	18.27%	21.65%	10.16%	52.70%	21.65%	17.35%	27.74%	65.67%	33.82%	19.37%	15.14%	36.62%	35.94%	17.02%	33.60%	26.72%	36.13%	38.02%	14.17%	19.96%	23.73%	17.34%	26.44%	18.78%	25.58%	19.11%	22.80%	21.71%					
																																																									
24	Против всех	544	14	5	1	14	6	2	3	10	1	0	11	1	0	12	1	12	1	4	39	9	37	1	9	7	5	4	1	3	9	1	1	5	3	4	0	0	7	6	8	2	1	27	25	50	24	15	35	26	47	35					
		2.46%	1.99%	2.06%	0.46%	1.73%	3.75%	0.53%	1.26%	2.27%	1.20%	0.00%	1.47%	1.43%	0.00%	3.03%	1.02%	1.80%	1.54%	3.85%	2.48%	2.00%	6.58%	0.42%	2.79%	2.41%	1.95%	2.70%	0.43%	3.06%	2.10%	1.49%	1.47%	1.05%	1.62%	2.82%	0.00%	0.00%	1.90%	1.59%	2.04%	1.65%	0.79%	2.72%	3.62%	3.54%	2.39%	2.41%	2.72%	2.22%	4.01%	3.33%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
