Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Целинная																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910					
		35.30%	31.37%	39.84%	37.50%	29.25%	24.40%	23.08%	31.25%	29.21%	49.15%	50.49%	25.00%	30.22%	59.76%	34.42%	34.21%	41.54%	39.53%	27.07%	43.84%	39.78%	31.75%	42.77%	45.35%	31.31%	8.77%	31.34%	14.58%	47.41%	16.36%	38.39%	59.01%	30.24%	25.94%	30.55%	30.83%	22.45%	31.56%	34.19%	38.95%	17.95%	35.78%	39.14%	44.87%	37.68%	22.83%	28.57%					
																																																					
24	Против всех	174	13	14	7	17	2	0	5	4	3	4	4	10	3	4	1	6	0	0	11	3	0	8	0	1	1	1	3	0	0	4	4	3	3	8	0	0	1	4	1	1	0	11	3	2	1	3					
		1.56%	1.87%	2.79%	1.33%	2.67%	0.80%	0.00%	1.30%	1.50%	1.27%	0.98%	2.17%	2.40%	3.66%	2.60%	0.53%	1.49%	0.00%	0.00%	2.61%	3.23%	0.00%	1.61%	0.00%	1.01%	1.75%	1.49%	6.25%	0.00%	0.00%	0.98%	2.48%	1.03%	1.13%	1.37%	0.00%	0.00%	0.44%	0.86%	1.05%	0.85%	0.00%	2.37%	1.92%	2.90%	1.09%	1.59%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
