Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Малоярославецкая																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
		14.29%	12.85%	19.71%	6.00%	12.96%	21.46%	13.72%	19.91%	13.16%	11.36%	11.48%	12.27%	12.71%	16.46%	9.09%	12.35%	13.92%	8.19%	24.87%	19.93%	11.33%	12.45%	12.12%	15.77%	17.52%	13.48%	15.03%	17.11%	16.32%	14.58%	14.09%	15.11%	15.28%	17.85%	7.94%	9.52%	18.83%	15.17%	13.28%					
																																													
24	Против всех	814	14	13	9	1	5	10	4	0	50	3	15	18	5	7	9	1	3	4	14	4	2	6	37	16	57	27	52	12	28	50	48	54	57	61	43	12	20	43					
		3.34%	2.31%	3.16%	3.00%	0.93%	2.28%	1.59%	1.85%	0.00%	2.99%	1.23%	4.00%	2.31%	1.04%	2.36%	1.82%	1.27%	1.07%	2.12%	2.45%	1.97%	0.78%	1.82%	3.28%	1.32%	5.12%	3.01%	4.56%	2.06%	4.44%	4.63%	5.04%	4.53%	4.19%	4.70%	5.25%	2.43%	2.76%	4.50%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
