Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Бирилюсская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944					
21	. Путин Владимир Владимирович	3238	547	493	71	103	29	97	27	107	45	22	216	19	634	57	11	34	94	142	14	124	78	122	30	25	71	15	11					
		63.42%	63.16%	67.91%	61.74%	56.59%	39.19%	71.85%	54.00%	72.30%	47.87%	51.16%	66.26%	76.00%	66.46%	53.27%	28.21%	61.82%	61.84%	65.14%	40.00%	72.09%	70.27%	66.30%	76.92%	55.56%	64.55%	28.30%	22.92%					
22	. Хакамада Ирина Муцуовна	87	14	19	1	1	1	0	0	3	0	0	3	0	19	5	2	1	2	5	0	1	3	3	0	0	2	1	1					
		1.70%	1.62%	2.62%	0.87%	0.55%	1.35%	0.00%	0.00%	2.03%	0.00%	0.00%	0.92%	0.00%	1.99%	4.67%	5.13%	1.82%	1.32%	2.29%	0.00%	0.58%	2.70%	1.63%	0.00%	0.00%	1.82%	1.89%	2.08%					
23	. Харитонов Николай Михайлович	894	138	114	28	41	22	21	19	23	28	9	47	1	113	28	18	8	29	36	9	29	18	26	4	7	20	25	33					
		17.51%	15.94%	15.70%	24.35%	22.53%	29.73%	15.56%	38.00%	15.54%	29.79%	20.93%	14.42%	4.00%	11.84%	26.17%	46.15%	14.55%	19.08%	16.51%	25.71%	16.86%	16.22%	14.13%	10.26%	15.56%	18.18%	47.17%	68.75%					
																																		
24	Против всех	106	21	17	0	0	1	0	2	2	3	1	4	0	21	5	1	2	7	4	0	1	0	7	3	2	0	1	1					
		2.08%	2.42%	2.34%	0.00%	0.00%	1.35%	0.00%	4.00%	1.35%	3.19%	2.33%	1.23%	0.00%	2.20%	4.67%	2.56%	3.64%	4.61%	1.83%	0.00%	0.58%	0.00%	3.80%	7.69%	4.44%	0.00%	1.89%	2.08%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
