Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Чарышская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813					
		64.20%	71.93%	77.97%	75.00%	66.32%	64.10%	68.29%	78.69%	59.66%	45.76%	51.21%	63.87%	68.94%	72.58%	48.57%	74.29%	85.11%	81.82%	77.27%	33.61%	48.35%	60.99%	42.11%	47.04%	55.00%	61.43%	45.74%	59.07%	57.52%	61.90%	72.58%	68.89%					
22	. Хакамада Ирина Муцуовна	95	1	2	0	2	1	2	1	9	3	2	9	18	1	0	10	2	0	2	1	1	10	1	1	1	1	1	8	0	5	0	0					
		1.20%	1.75%	0.43%	0.00%	2.11%	0.85%	0.49%	1.64%	1.72%	2.54%	0.97%	1.24%	1.03%	0.81%	0.00%	1.79%	4.26%	0.00%	1.30%	0.82%	1.10%	2.62%	1.05%	0.28%	1.67%	0.71%	1.06%	1.28%	0.00%	2.65%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1938	7	62	9	16	27	81	4	137	49	73	186	358	17	10	82	2	7	24	65	35	107	38	145	13	34	41	193	42	51	9	14					
		24.50%	12.28%	13.39%	20.45%	16.84%	23.08%	19.76%	6.56%	26.20%	41.53%	35.27%	25.55%	20.55%	13.71%	28.57%	14.64%	4.26%	12.73%	15.58%	53.28%	38.46%	28.01%	40.00%	40.85%	21.67%	24.29%	43.62%	30.98%	37.17%	26.98%	14.52%	31.11%					
																																						
24	Против всех	108	1	5	1	0	1	2	0	8	2	4	9	16	7	2	5	2	1	2	4	2	0	4	5	2	3	0	11	1	5	3	0					
		1.37%	1.75%	1.08%	2.27%	0.00%	0.85%	0.49%	0.00%	1.53%	1.69%	1.93%	1.24%	0.92%	5.65%	5.71%	0.89%	4.26%	1.82%	1.30%	3.28%	2.20%	0.00%	4.21%	1.41%	3.33%	2.14%	0.00%	1.77%	0.88%	2.65%	4.84%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
