Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Мордовская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200					
		1.29%	1.41%	1.62%	0.00%	0.90%	0.63%	0.72%	1.10%	0.57%	0.78%	1.38%	0.45%	1.83%	1.41%	2.35%	1.10%	4.00%	1.58%	0.92%	1.60%	2.12%	2.12%	2.09%	0.32%	0.44%	5.06%	2.86%	0.00%	0.50%	0.87%	1.72%	1.22%	1.67%	1.67%	0.61%	0.35%	1.81%	0.47%	0.00%	0.81%					
23	. Харитонов Николай Михайлович	2808	99	66	6	74	14	102	28	52	92	41	34	82	30	168	39	16	58	139	101	90	122	149	43	87	18	57	47	96	90	154	143	15	94	45	40	61	74	47	95					
		19.62%	23.29%	21.43%	4.69%	22.22%	8.86%	24.40%	30.77%	29.71%	17.86%	11.29%	15.45%	15.05%	21.13%	28.24%	21.55%	21.33%	15.30%	15.96%	14.68%	21.18%	19.90%	17.29%	13.78%	19.12%	22.78%	40.71%	18.22%	23.82%	38.96%	29.39%	21.87%	12.50%	22.38%	27.61%	14.13%	12.30%	17.45%	20.80%	15.42%					
																																														
24	Против всех	159	3	1	1	6	0	3	0	0	3	2	0	3	2	12	2	0	5	13	11	15	11	14	3	2	0	2	2	3	4	9	7	0	3	2	1	1	0	3	10					
		1.11%	0.71%	0.32%	0.78%	1.80%	0.00%	0.72%	0.00%	0.00%	0.58%	0.55%	0.00%	0.55%	1.41%	2.02%	1.10%	0.00%	1.32%	1.49%	1.60%	3.53%	1.79%	1.62%	0.96%	0.44%	0.00%	1.43%	0.78%	0.74%	1.73%	1.72%	1.07%	0.00%	0.71%	1.23%	0.35%	0.20%	0.00%	1.33%	1.62%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
