16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																													
18	Богданов Андрей Владимирович	275	20	0	0	2	0	0	0	1	3	0	12	2	4	5	0	0	5	6	0	0	5	0	7	2	0	3	3	13	3	3	5	1	3	0	0	3	4	0	0	0	3	4	0	5	0	4	3	4	6	5	1	10	3	3	0	5	0	0	4	0	1	5	0	4	4	0	4	0	0	9	6	2	8	0	0	0	2	0	0	4	0	0	0	0	7	2	0	6	0	5	2	5	0	4	10	1	5	2	0	0	0	2					
		0.20%	1.04%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.17%	0.24%	0.00%	0.48%	0.13%	0.34%	0.21%	0.00%	0.00%	0.34%	0.65%	0.00%	0.00%	0.39%	0.00%	0.49%	0.14%	0.00%	0.20%	0.27%	1.09%	0.18%	0.46%	0.30%	0.08%	0.16%	0.00%	0.00%	0.16%	0.48%	0.00%	0.00%	0.00%	0.21%	0.36%	0.00%	0.33%	0.00%	0.25%	0.20%	0.20%	0.27%	0.20%	0.09%	0.48%	0.36%	0.26%	0.00%	0.48%	0.00%	0.00%	0.62%	0.00%	0.14%	0.50%	0.00%	0.35%	0.36%	0.00%	0.31%	0.00%	0.00%	0.54%	0.54%	0.10%	0.57%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.46%	0.13%	0.00%	0.43%	0.00%	0.41%	0.14%	0.31%	0.00%	0.20%	0.74%	0.10%	0.54%	0.09%	0.00%	0.00%	0.00%	0.19%					
19	Жириновский Владимир Вольфович	2626	15	2	24	25	39	23	22	9	23	25	13	2	9	42	23	77	34	29	16	50	21	64	13	33	40	27	18	22	26	6	36	21	10	3	0	7	8	9	17	4	22	19	23	16	34	8	25	76	29	11	0	33	7	23	14	16	5	16	21	20	12	35	46	6	15	33	44	44	37	26	25	31	14	6	43	20	9	33	31	41	47	22	87	41	43	22	10	25	54	49	28	42	19	73	28	39	13	19	6	23	49	31					
		1.89%	0.78%	0.16%	1.98%	2.28%	3.94%	2.95%	1.96%	1.50%	1.81%	2.99%	0.52%	0.13%	0.76%	1.80%	0.99%	4.29%	2.29%	3.12%	1.21%	3.02%	1.64%	3.99%	0.91%	2.29%	4.00%	1.80%	1.62%	1.84%	1.60%	0.92%	2.15%	1.65%	0.54%	0.32%	0.00%	0.38%	0.95%	0.59%	2.60%	0.19%	1.55%	1.71%	1.87%	1.07%	2.52%	0.50%	1.68%	3.78%	1.29%	0.45%	0.00%	1.60%	0.83%	1.99%	0.90%	1.53%	0.43%	0.95%	3.23%	1.55%	1.69%	3.50%	4.00%	0.52%	1.36%	2.02%	3.38%	4.01%	2.94%	1.55%	2.25%	1.48%	0.99%	0.88%	4.00%	2.20%	0.79%	3.94%	4.00%	2.05%	2.90%	1.80%	3.99%	4.09%	2.80%	1.42%	0.66%	1.79%	4.00%	4.01%	1.96%	2.58%	1.93%	3.74%	2.07%	3.95%	1.39%	0.83%	0.59%	1.44%	3.63%	2.89%					
20	Зюганов Геннадий Андреевич	9566	77	21	98	136	111	86	124	27	74	84	50	80	99	140	138	103	85	42	149	182	36	176	100	161	110	75	50	144	158	25	37	63	95	48	16	21	14	105	36	80	30	66	64	64	100	42	105	207	114	41	34	168	41	89	130	31	103	142	22	78	79	108	126	81	52	163	79	121	138	103	112	68	213	18	118	71	12	93	85	76	132	103	240	110	161	67	134	90	135	128	101	195	30	196	52	108	78	208	44	89	85	37					
		6.89%	4.00%	1.63%	8.07%	12.41%	11.20%	11.03%	11.03%	4.49%	5.82%	10.04%	1.99%	5.20%	8.37%	6.00%	5.98%	5.74%	5.74%	4.52%	11.23%	10.99%	2.82%	10.98%	6.99%	11.19%	11.00%	4.99%	4.50%	12.04%	9.72%	3.85%	2.21%	4.95%	5.18%	5.10%	1.79%	1.14%	1.66%	6.93%	5.51%	3.79%	2.12%	5.96%	5.19%	4.26%	7.41%	2.61%	7.06%	10.30%	5.06%	1.67%	3.14%	8.12%	4.86%	7.70%	8.40%	2.97%	8.92%	8.40%	3.38%	6.06%	11.10%	10.80%	10.97%	7.09%	4.71%	10.00%	6.08%	11.04%	10.95%	6.15%	10.10%	3.24%	15.14%	2.63%	10.98%	7.80%	1.05%	11.10%	10.97%	3.79%	8.15%	8.42%	11.01%	10.98%	10.50%	4.33%	8.82%	6.44%	10.00%	10.47%	7.08%	11.97%	3.05%	10.04%	3.85%	10.94%	8.36%	9.08%	4.31%	5.56%	6.30%	3.45%					
21	Медведев Дмитрий Анатольевич	126193	1809	1264	1093	929	841	671	978	561	1169	728	2419	1455	1070	2146	2145	1614	1358	853	1154	1424	1215	1363	1311	1239	850	1397	1040	1017	1428	616	1597	1185	1727	891	880	1809	815	1401	600	2026	1360	1015	1146	1404	1215	1533	1355	1722	2097	2388	1048	1855	793	1041	1403	992	1047	1519	599	1190	620	842	977	1052	1033	1434	1169	931	1085	1520	966	1999	1171	659	914	819	1120	712	659	1883	1440	1099	1853	851	1315	1455	1376	1276	1161	1035	1291	1377	934	1680	1260	839	837	2061	971	1488	1215	1004					
		90.89%	94.02%	98.21%	89.96%	84.76%	84.86%	86.03%	87.01%	93.19%	91.97%	86.98%	96.41%	94.54%	90.45%	91.98%	93.02%	89.97%	91.63%	91.72%	86.96%	85.99%	95.14%	85.03%	91.61%	86.10%	85.00%	93.01%	93.61%	85.03%	87.82%	94.77%	95.34%	93.16%	94.11%	94.59%	98.21%	98.32%	96.91%	92.48%	91.88%	96.02%	96.11%	91.61%	92.94%	93.54%	90.07%	95.34%	91.06%	85.71%	93.12%	97.35%	96.77%	89.70%	93.96%	90.05%	90.69%	95.02%	90.65%	89.83%	92.15%	92.39%	87.08%	84.20%	85.03%	92.04%	93.57%	87.98%	89.92%	84.95%	86.11%	90.80%	87.11%	95.19%	83.23%	96.35%	85.02%	90.00%	97.99%	84.96%	85.03%	93.96%	88.94%	89.79%	85.00%	84.93%	85.72%	94.11%	90.53%	91.34%	86.00%	84.70%	90.47%	84.53%	95.02%	86.02%	93.33%	85.01%	89.71%	90.00%	95.10%	93.00%	90.07%	93.48%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
