Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Высокогорская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342					
		1.32%	0.00%	0.00%	0.00%	0.92%	4.17%	0.00%	1.38%	1.61%	0.80%	1.89%	1.28%	0.41%	0.41%	5.22%	1.67%	1.51%	0.99%	0.40%	0.55%	2.01%	1.20%	1.79%	3.40%	1.98%	0.95%	14.55%	0.88%	0.00%	0.54%	0.35%	0.71%	0.00%	0.84%	1.07%	0.00%	0.59%	0.95%	0.34%	1.46%	0.57%	0.26%	0.71%	0.54%	0.14%	0.61%	0.49%	0.67%	1.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	0	0	0	0	2	2	1	0	0	0	0	0	3	6	3	7	0	1	5	0	1	0	4	7	0	2	0	0	2	0	3	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
		0.17%	0.00%	0.00%	0.00%	0.00%	1.67%	0.66%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.30%	0.18%	0.50%	0.00%	0.20%	0.39%	0.00%	0.30%	0.00%	0.21%	0.63%	0.00%	1.82%	0.00%	0.00%	0.22%	0.00%	0.71%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.07%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1491	0	10	2	7	3	5	12	20	5	5	16	1	11	312	32	320	169	6	49	7	9	3	190	38	9	14	3	0	11	7	7	12	17	24	7	4	11	5	4	2	1	28	4	24	5	2	50	8					
		4.70%	0.00%	2.17%	0.70%	2.15%	2.50%	1.65%	2.37%	8.06%	1.33%	4.72%	2.57%	0.41%	0.50%	15.65%	1.91%	22.99%	9.26%	1.20%	3.83%	4.70%	2.70%	1.79%	9.79%	3.41%	1.72%	12.73%	0.88%	0.00%	1.19%	0.81%	1.66%	3.69%	2.04%	3.67%	3.21%	1.17%	2.61%	1.71%	1.95%	1.14%	0.26%	1.79%	0.54%	1.72%	0.77%	0.98%	3.70%	2.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	133	0	0	0	1	2	1	2	2	2	2	0	0	2	46	5	20	4	1	8	1	2	0	3	11	1	2	1	0	2	0	0	0	0	4	0	0	0	0	0	0	2	2	1	1	0	0	2	0					
		0.42%	0.00%	0.00%	0.00%	0.31%	1.67%	0.33%	0.39%	0.81%	0.53%	1.89%	0.00%	0.00%	0.09%	2.31%	0.30%	1.44%	0.22%	0.20%	0.62%	0.67%	0.60%	0.00%	0.15%	0.99%	0.19%	1.82%	0.29%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.13%	0.14%	0.07%	0.00%	0.00%	0.15%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28386	136	450	282	306	107	286	474	216	364	94	586	239	2155	984	1586	739	1599	490	1203	135	316	157	1657	1007	502	63	329	130	900	855	408	300	801	595	211	330	401	285	197	171	373	1508	720	1340	641	201	1228	329					
		89.48%	100.00%	97.61%	99.30%	94.15%	89.17%	94.39%	93.49%	87.10%	96.81%	88.68%	94.06%	99.17%	97.99%	49.37%	94.63%	53.09%	87.57%	97.61%	93.91%	90.60%	94.89%	93.45%	85.41%	90.48%	95.80%	57.27%	96.76%	100.00%	96.98%	98.39%	96.91%	92.31%	96.04%	90.98%	96.79%	96.77%	95.02%	97.27%	96.10%	97.71%	98.68%	96.67%	98.09%	96.20%	98.16%	98.05%	90.76%	92.42%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	49	0	0	0	1	0	1	1	0	0	0	0	0	1	22	2	6	0	1	3	1	0	0	0	3	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.15%	0.00%	0.00%	0.00%	0.31%	0.00%	0.33%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	1.10%	0.12%	0.43%	0.00%	0.20%	0.23%	0.67%	0.00%	0.00%	0.00%	0.27%	0.00%	0.91%	0.29%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
