Выборы Президента Российской Федерации																																	
																																	
"Наименование Избирательной комиссии:    Новосибирск, Центральная"																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	2321	62	113	87	91	57	83	98	68	94	71	69	91	91	128	54	100	89	113	62	119	103	52	111	117	99	99					
		6.55%	5.14%	7.23%	6.67%	9.90%	4.88%	6.10%	6.49%	5.88%	7.85%	6.79%	5.89%	7.10%	6.47%	7.75%	3.89%	6.65%	7.18%	7.87%	6.63%	7.10%	6.25%	6.32%	6.89%	6.41%	6.40%	5.31%					
19	. Малышкин Олег Александрович	295	14	10	5	8	14	18	11	8	11	9	16	5	7	15	6	6	14	7	8	11	14	9	14	27	14	14					
		0.83%	1.16%	0.64%	0.38%	0.87%	1.20%	1.32%	0.73%	0.69%	0.92%	0.86%	1.37%	0.39%	0.50%	0.91%	0.43%	0.40%	1.13%	0.49%	0.86%	0.66%	0.85%	1.09%	0.87%	1.48%	0.90%	0.75%					
20	. Миронов Сергей Михайлович	271	9	15	4	3	4	12	20	8	3	7	8	9	12	23	7	14	5	12	8	9	12	5	22	15	10	15					
		0.76%	0.75%	0.96%	0.31%	0.33%	0.34%	0.88%	1.33%	0.69%	0.25%	0.67%	0.68%	0.70%	0.85%	1.39%	0.50%	0.93%	0.40%	0.84%	0.86%	0.54%	0.73%	0.61%	1.36%	0.82%	0.65%	0.80%					
21	. Путин Владимир Владимирович	22263	786	821	784	561	793	909	926	674	706	623	734	746	898	998	1034	962	721	846	600	1167	1035	566	1015	1180	937	1241					
		62.82%	65.12%	52.49%	60.08%	61.04%	67.84%	66.79%	61.37%	58.25%	58.93%	59.62%	62.63%	58.24%	63.82%	60.45%	74.55%	64.01%	58.19%	58.91%	64.17%	69.63%	62.84%	68.77%	62.97%	64.62%	60.57%	66.54%					
22	. Хакамада Ирина Муцуовна	3333	119	179	175	92	108	125	187	130	124	128	120	116	113	157	98	147	144	146	74	104	131	66	128	140	130	152					
		9.40%	9.86%	11.45%	13.41%	10.01%	9.24%	9.18%	12.39%	11.24%	10.35%	12.25%	10.24%	9.06%	8.03%	9.51%	7.07%	9.78%	11.62%	10.17%	7.91%	6.21%	7.95%	8.02%	7.94%	7.67%	8.40%	8.15%					
23	. Харитонов Николай Михайлович	5282	169	338	188	130	131	150	172	191	207	162	171	245	226	262	130	211	211	241	140	188	275	91	251	255	278	269					
		14.90%	14.00%	21.61%	14.41%	14.15%	11.21%	11.02%	11.40%	16.51%	17.28%	15.50%	14.59%	19.13%	16.06%	15.87%	9.37%	14.04%	17.03%	16.78%	14.97%	11.22%	16.70%	11.06%	15.57%	13.96%	17.97%	14.42%					
																																	
24	Против всех	1480	40	81	60	32	48	51	91	71	49	43	42	65	50	57	49	55	53	56	38	73	72	29	62	77	71	65					
		4.18%	3.31%	5.18%	4.60%	3.48%	4.11%	3.75%	6.03%	6.14%	4.09%	4.11%	3.58%	5.07%	3.55%	3.45%	3.53%	3.66%	4.28%	3.90%	4.06%	4.36%	4.37%	3.52%	3.85%	4.22%	4.59%	3.49%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
