Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Прохладненская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232					
11	Число полученных открепительных  удостоверений	179	4	3	6	3	2	2	2	5	8	8	3	10	8	2	6	2	10	7	2	2	4	2	3	3	8	15	6	14	14	5	5	3	2					
12	Число выданных открепительных удостоверений	52	1	0	0	0	0	0	0	1	0	1	1	1	1	0	2	0	3	4	1	0	3	0	3	1	4	2	3	9	3	0	5	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	0	1	1	0	0	0	0	2	1	3	0	1	0	121	1	1	0	0	1	0	1	0	1	1	4	0	4	3	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	127	3	3	6	3	2	2	2	4	8	7	2	9	7	2	4	2	7	3	1	2	1	2	0	2	4	13	3	5	11	5	0	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	121	0	0	0	0	0	0	0	1	14	11	0	24	34	0	2	1	6	5	7	5	1	0	1	0	0	1	0	4	2	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	48	2	1	2	1	0	0	0	2	0	0	0	5	6	0	2	0	3	1	0	0	1	2	1	2	1	2	2	8	1	1	1	0	1					
		0.16%	0.30%	0.32%	0.19%	0.29%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.25%	0.37%	0.00%	0.17%	0.00%	0.16%	0.07%	0.00%	0.00%	0.13%	0.60%	0.15%	0.32%	0.06%	0.08%	0.16%	0.40%	0.06%	0.12%	0.12%	0.00%	0.27%					
19	. Малышкин Олег Александрович	21	0	1	0	0	0	0	0	1	2	3	0	0	1	0	2	0	0	0	0	0	2	1	1	2	1	1	1	0	1	0	0	0	1					
		0.07%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.13%	0.19%	0.00%	0.00%	0.06%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.30%	0.15%	0.32%	0.06%	0.04%	0.08%	0.00%	0.06%	0.00%	0.00%	0.00%	0.27%					
20	. Миронов Сергей Михайлович	17	0	0	1	0	0	0	0	2	0	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	3	2	0	0	0					
		0.06%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.06%	0.04%	0.08%	0.00%	0.17%	0.25%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	30334	648	312	1049	340	220	276	283	838	1557	1588	480	1960	1571	259	1151	127	1824	1433	369	223	740	329	651	609	1593	2540	1271	1952	1771	795	820	392	363					
		98.79%	98.48%	99.05%	99.15%	98.84%	99.10%	98.92%	97.92%	98.94%	99.68%	99.19%	97.96%	98.00%	98.00%	100.00%	98.21%	99.22%	99.35%	99.65%	98.93%	99.55%	98.01%	98.50%	97.89%	98.54%	98.94%	99.22%	99.06%	97.99%	99.16%	98.15%	98.32%	98.99%	99.18%					
22	. Хакамада Ирина Муцуовна	33	0	0	2	0	0	1	0	1	2	3	2	5	6	0	1	0	0	0	0	0	3	0	1	0	1	1	1	0	1	0	1	0	1					
		0.11%	0.00%	0.00%	0.19%	0.00%	0.00%	0.36%	0.00%	0.12%	0.13%	0.19%	0.41%	0.25%	0.37%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.15%	0.00%	0.06%	0.04%	0.08%	0.00%	0.06%	0.00%	0.12%	0.00%	0.27%					
23	. Харитонов Николай Михайлович	211	7	1	4	3	2	2	5	3	1	5	2	30	14	0	7	1	9	4	2	1	8	2	9	3	7	14	3	30	9	9	10	4	0					
		0.69%	1.06%	0.32%	0.38%	0.87%	0.90%	0.72%	1.73%	0.35%	0.06%	0.31%	0.41%	1.50%	0.87%	0.00%	0.60%	0.78%	0.49%	0.28%	0.54%	0.45%	1.06%	0.60%	1.35%	0.49%	0.43%	0.55%	0.23%	1.51%	0.50%	1.11%	1.20%	1.01%	0.00%					
																																								
24	Против всех	37	1	0	0	0	0	0	1	0	0	0	3	0	3	0	8	0	0	0	0	0	0	0	1	2	6	1	4	2	0	3	2	0	0					
		0.12%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.61%	0.00%	0.19%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.32%	0.37%	0.04%	0.31%	0.10%	0.00%	0.37%	0.24%	0.00%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
