Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Верещагинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637					
12	Число выданных открепительных удостоверений	311	7	5	8	8	10	7	16	17	15	13	10	50	4	4	26	1	2	12	5	10	2	6	3	0	3	1	10	4	15	9	2	5	0	8	6	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	202	8	2	5	11	4	8	14	15	11	10	2	10	4	10	10	1	5	9	3	11	6	0	2	0	1	6	4	1	9	3	1	0	1	0	2	10	3					
14	Число неиспользованных открепительных удостоверений	85	5	5	2	0	0	0	2	2	0	0	0	0	1	1	7	0	3	5	0	0	3	4	2	5	7	4	0	6	0	1	3	0	5	0	2	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	473	7	34	9	8	24	19	12	37	32	28	32	40	3	6	22	13	22	2	19	19	2	7	8	0	5	9	5	9	9	10	0	4	2	1	8	6	0					
		2.39%	1.56%	4.92%	1.37%	1.21%	2.60%	2.29%	1.36%	3.17%	3.67%	3.15%	3.76%	3.76%	1.09%	1.17%	4.23%	2.90%	3.82%	0.74%	4.29%	1.89%	1.32%	1.79%	3.79%	0.00%	2.15%	2.14%	1.06%	1.79%	1.28%	1.34%	0.00%	1.57%	1.42%	0.98%	1.74%	0.89%	0.00%					
19	. Малышкин Олег Александрович	529	5	21	12	18	26	16	21	34	26	26	26	25	8	19	10	18	14	10	15	23	4	11	7	5	17	16	17	27	4	18	2	1	4	0	17	6	0					
		2.67%	1.11%	3.04%	1.83%	2.73%	2.81%	1.93%	2.37%	2.92%	2.98%	2.92%	3.05%	2.35%	2.92%	3.70%	1.92%	4.02%	2.43%	3.68%	3.39%	2.28%	2.65%	2.81%	3.32%	4.81%	7.30%	3.80%	3.62%	5.38%	0.57%	2.42%	1.26%	0.39%	2.84%	0.00%	3.69%	0.89%	0.00%					
20	. Миронов Сергей Михайлович	172	2	5	4	8	6	15	6	10	10	6	6	6	0	5	8	3	8	1	3	4	0	5	2	0	4	5	1	8	18	7	0	2	0	0	3	1	0					
		0.87%	0.45%	0.72%	0.61%	1.21%	0.65%	1.81%	0.68%	0.86%	1.15%	0.67%	0.70%	0.56%	0.00%	0.97%	1.54%	0.67%	1.39%	0.37%	0.68%	0.40%	0.00%	1.28%	0.95%	0.00%	1.72%	1.19%	0.21%	1.59%	2.56%	0.94%	0.00%	0.79%	0.00%	0.00%	0.65%	0.15%	0.00%					
21	. Путин Владимир Владимирович	15090	357	524	514	521	681	637	659	862	606	664	648	765	223	367	318	332	346	189	355	829	132	291	161	92	175	299	367	379	583	623	150	197	116	96	376	578	78					
		76.19%	79.51%	75.83%	78.35%	78.94%	73.70%	76.93%	74.46%	73.93%	69.50%	74.61%	76.06%	71.97%	81.39%	71.54%	61.15%	74.11%	60.07%	69.49%	80.14%	82.32%	87.42%	74.42%	76.30%	88.46%	75.11%	71.02%	78.09%	75.50%	83.05%	83.74%	94.34%	77.56%	82.27%	94.12%	81.56%	85.63%	81.25%					
22	. Хакамада Ирина Муцуовна	701	16	26	21	29	37	22	42	57	42	33	14	48	4	22	29	17	27	13	4	28	1	15	11	2	15	11	20	12	26	29	1	6	1	1	10	8	1					
		3.54%	3.56%	3.76%	3.20%	4.39%	4.00%	2.66%	4.75%	4.89%	4.82%	3.71%	1.64%	4.52%	1.46%	4.29%	5.58%	3.79%	4.69%	4.78%	0.90%	2.78%	0.66%	3.84%	5.21%	1.92%	6.44%	2.61%	4.26%	2.39%	3.70%	3.90%	0.63%	2.36%	0.71%	0.98%	2.17%	1.19%	1.04%					
23	. Харитонов Николай Михайлович	2166	49	52	78	52	104	92	108	123	120	95	98	136	20	83	113	51	132	51	38	76	11	41	16	4	10	55	40	50	41	48	6	44	14	1	36	61	17					
		10.94%	10.91%	7.53%	11.89%	7.88%	11.26%	11.11%	12.20%	10.55%	13.76%	10.67%	11.50%	12.79%	7.30%	16.18%	21.73%	11.38%	22.92%	18.75%	8.58%	7.55%	7.28%	10.49%	7.58%	3.85%	4.29%	13.06%	8.51%	9.96%	5.84%	6.45%	3.77%	17.32%	9.93%	0.98%	7.81%	9.04%	17.71%					
																																												
24	Против всех	502	7	20	12	14	39	23	28	30	28	33	23	34	11	4	18	14	21	4	6	19	1	11	4	1	6	19	19	17	11	9	0	0	2	2	2	10	0					
		2.53%	1.56%	2.89%	1.83%	2.12%	4.22%	2.78%	3.16%	2.57%	3.21%	3.71%	2.70%	3.20%	4.01%	0.78%	3.46%	3.12%	3.65%	1.47%	1.35%	1.89%	0.66%	2.81%	1.90%	0.96%	2.58%	4.51%	4.04%	3.39%	1.57%	1.21%	0.00%	0.00%	1.42%	1.96%	0.43%	1.48%	0.00%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
