Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Абаканская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №376	УИК №377	УИК №378	УИК №379					
11	Число полученных открепительных  удостоверений	2060	30	30	80	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	472	13	4	75	2	2	27	3	12	6	14	2	1	5	17	3	4	9	4	4	8	5	3	1	6	6	2	1	3	1	5	3	5	5	9	3	1	1	0	13	13	10	1	4	4	3	9	6	6	18	3	7	7	9	14	14	10	2	4	5	7	3	6	4	4	6	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	537	25	3	36	4	12	15	9	4	8	7	6	5	4	13	6	12	4	3	15	1	5	2	5	2	3	2	2	8	4	4	9	12	34	11	18	3	1	2	10	7	6	2	1	1	41	2	3	10	7	6	5	7	9	9	13	11	4	1	11	3	9	7	0	7	10	9	7					
14	Число неиспользованных открепительных удостоверений	1588	17	26	5	28	28	3	27	18	24	16	28	29	25	13	27	26	21	26	26	22	25	27	29	24	24	28	29	27	29	25	27	25	25	21	27	29	29	30	17	17	20	29	26	26	27	21	24	24	12	27	23	23	21	16	16	20	28	26	25	23	27	24	26	26	24	26	29					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																										
18	. Глазьев Сергей Юрьевич	5973	57	57	71	42	64	71	139	122	116	95	118	132	128	45	97	40	85	126	85	165	104	67	55	49	60	44	43	71	36	107	63	127	60	122	64	44	58	46	86	116	95	98	48	43	113	65	113	62	129	83	110	144	146	136	100	125	34	97	57	102	133	194	66	88	75	128	112					
		9.04%	8.84%	8.31%	6.47%	7.38%	10.39%	12.33%	12.76%	11.56%	9.95%	10.18%	12.51%	10.13%	9.65%	5.42%	8.95%	5.82%	9.93%	9.38%	9.05%	10.64%	8.62%	4.08%	8.46%	6.56%	9.05%	6.08%	7.86%	8.19%	6.10%	15.51%	7.41%	12.74%	10.56%	9.04%	8.01%	7.36%	8.77%	7.99%	7.08%	9.91%	7.42%	8.88%	7.06%	7.14%	9.80%	9.09%	7.74%	7.41%	10.04%	6.76%	9.41%	9.82%	9.75%	8.25%	8.80%	10.34%	6.87%	7.26%	5.76%	8.61%	11.52%	10.83%	8.13%	11.66%	9.01%	14.83%	11.45%					
19	. Малышкин Олег Александрович	1825	12	11	10	6	14	9	20	20	27	22	15	34	31	21	39	18	20	35	17	47	74	52	19	28	21	21	23	25	17	20	19	17	8	43	25	18	21	16	30	41	45	40	29	19	20	46	57	23	35	42	39	36	39	46	33	20	10	36	27	37	22	39	20	25	16	30	28					
		2.76%	1.86%	1.60%	0.91%	1.05%	2.27%	1.56%	1.84%	1.90%	2.32%	2.36%	1.59%	2.61%	2.34%	2.53%	3.60%	2.62%	2.34%	2.61%	1.81%	3.03%	6.13%	3.16%	2.92%	3.75%	3.17%	2.90%	4.20%	2.88%	2.88%	2.90%	2.24%	1.71%	1.41%	3.19%	3.13%	3.01%	3.18%	2.78%	2.47%	3.50%	3.51%	3.62%	4.26%	3.16%	1.73%	6.43%	3.90%	2.75%	2.72%	3.42%	3.34%	2.45%	2.60%	2.79%	2.90%	1.65%	2.02%	2.69%	2.73%	3.12%	1.90%	2.18%	2.46%	3.31%	1.92%	3.48%	2.86%					
20	. Миронов Сергей Михайлович	693	5	9	9	5	5	5	12	10	6	6	8	8	11	7	12	8	10	18	5	20	13	15	10	8	4	7	2	12	4	6	14	11	5	16	10	8	8	11	7	10	15	11	2	6	11	7	14	8	11	13	16	22	11	22	9	8	4	12	53	12	11	14	6	5	2	12	16					
		1.05%	0.78%	1.31%	0.82%	0.88%	0.81%	0.87%	1.10%	0.95%	0.51%	0.64%	0.85%	0.61%	0.83%	0.84%	1.11%	1.16%	1.17%	1.34%	0.53%	1.29%	1.08%	0.91%	1.54%	1.07%	0.60%	0.97%	0.37%	1.38%	0.68%	0.87%	1.65%	1.10%	0.88%	1.19%	1.25%	1.34%	1.21%	1.91%	0.58%	0.85%	1.17%	1.00%	0.29%	1.00%	0.95%	0.98%	0.96%	0.96%	0.86%	1.06%	1.37%	1.50%	0.73%	1.33%	0.79%	0.66%	0.81%	0.90%	5.35%	1.01%	0.95%	0.78%	0.74%	0.66%	0.24%	1.39%	1.64%					
21	. Путин Владимир Владимирович	41927	411	421	790	372	382	361	613	627	739	585	549	833	826	575	659	498	553	858	631	952	710	1257	420	466	400	482	328	553	389	341	569	603	338	866	535	389	409	360	874	709	851	669	441	402	690	438	959	560	814	842	744	920	957	1012	674	726	345	881	603	730	683	1134	507	454	534	519	605					
		63.46%	63.72%	61.37%	71.95%	65.38%	62.01%	62.67%	56.29%	59.43%	63.38%	62.70%	58.22%	63.93%	62.25%	69.19%	60.79%	72.49%	64.60%	63.89%	67.20%	61.38%	58.82%	76.51%	64.62%	62.38%	60.33%	66.57%	59.96%	63.78%	65.93%	49.42%	66.94%	60.48%	59.51%	64.20%	66.96%	65.05%	61.88%	62.50%	71.99%	60.60%	66.43%	60.60%	64.85%	66.78%	59.84%	61.26%	65.68%	66.91%	63.35%	68.57%	63.64%	62.71%	63.89%	61.41%	59.33%	60.05%	69.70%	65.94%	60.91%	61.60%	59.13%	63.32%	62.44%	60.13%	64.18%	60.14%	61.86%					
22	. Хакамада Ирина Муцуовна	3702	33	47	68	34	39	20	67	65	66	69	66	78	73	44	64	25	44	72	53	57	59	69	27	39	33	27	19	43	35	40	40	46	28	71	43	27	35	30	59	61	63	53	37	28	63	17	65	35	83	83	53	96	97	115	80	77	28	72	54	103	64	129	93	52	45	43	59					
		5.60%	5.12%	6.85%	6.19%	5.98%	6.33%	3.47%	6.15%	6.16%	5.66%	7.40%	7.00%	5.99%	5.50%	5.29%	5.90%	3.64%	5.14%	5.36%	5.64%	3.68%	4.89%	4.20%	4.15%	5.22%	4.98%	3.73%	3.47%	4.96%	5.93%	5.80%	4.71%	4.61%	4.93%	5.26%	5.38%	4.52%	5.30%	5.21%	4.86%	5.21%	4.92%	4.80%	5.44%	4.65%	5.46%	2.38%	4.45%	4.18%	6.46%	6.76%	4.53%	6.54%	6.48%	6.98%	7.04%	6.37%	5.66%	5.39%	5.45%	8.69%	5.54%	7.20%	11.45%	6.89%	5.41%	4.98%	6.03%					
23	. Харитонов Николай Михайлович	8807	93	110	109	90	83	95	181	160	160	120	147	165	208	100	143	72	113	175	103	236	209	135	93	122	113	119	102	127	78	112	100	146	104	160	84	93	101	93	101	173	164	174	101	82	188	117	183	118	154	109	150	169	171	210	178	196	51	172	100	127	200	191	63	96	114	99	102					
		13.33%	14.42%	16.03%	9.93%	15.82%	13.47%	16.49%	16.62%	15.17%	13.72%	12.86%	15.59%	12.66%	15.67%	12.03%	13.19%	10.48%	13.20%	13.03%	10.97%	15.22%	17.32%	8.22%	14.31%	16.33%	17.04%	16.44%	18.65%	14.65%	13.22%	16.23%	11.76%	14.64%	18.31%	11.86%	10.51%	15.55%	15.28%	16.15%	8.32%	14.79%	12.80%	15.76%	14.85%	13.62%	16.31%	16.36%	12.53%	14.10%	11.98%	8.88%	12.83%	11.52%	11.42%	12.74%	15.67%	16.21%	10.30%	12.87%	10.10%	10.72%	17.32%	10.66%	7.76%	12.72%	13.70%	11.47%	10.43%					
																																																																										
24	Против всех	2564	27	27	37	15	21	13	53	45	46	29	36	50	46	28	32	19	24	49	37	60	30	42	19	23	21	19	19	26	23	56	40	36	19	44	26	16	19	18	45	52	43	48	14	16	60	22	69	28	54	50	51	70	67	91	60	50	17	56	26	63	35	89	52	27	40	28	51					
		3.88%	4.19%	3.94%	3.37%	2.64%	3.41%	2.26%	4.87%	4.27%	3.95%	3.11%	3.82%	3.84%	3.47%	3.37%	2.95%	2.77%	2.80%	3.65%	3.94%	3.87%	2.49%	2.56%	2.92%	3.08%	3.17%	2.62%	3.47%	3.00%	3.90%	8.12%	4.71%	3.61%	3.35%	3.26%	3.25%	2.68%	2.87%	3.12%	3.71%	4.44%	3.36%	4.35%	2.06%	2.66%	5.20%	3.08%	4.73%	3.35%	4.20%	4.07%	4.36%	4.77%	4.47%	5.52%	5.28%	4.14%	3.43%	4.19%	2.63%	5.32%	3.03%	4.97%	6.40%	3.58%	4.81%	3.24%	5.21%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
