Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Серпуховская городская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704					
																																																																
24	Против всех	2992	44	20	27	10	30	17	32	47	31	29	45	59	23	59	21	35	45	37	25	81	51	91	46	41	32	59	72	68	80	54	30	73	94	59	56	79	68	75	56	44	54	90	75	41	46	65	63	49	62	70	57	69	95	61	70	61	19					
		4.83%	3.69%	3.19%	3.44%	1.94%	3.29%	4.24%	3.87%	4.98%	3.62%	4.57%	3.93%	4.39%	3.51%	4.32%	4.17%	3.88%	3.79%	5.03%	3.96%	6.20%	4.55%	10.74%	3.79%	4.59%	3.07%	4.49%	5.14%	4.21%	5.87%	4.49%	4.01%	6.40%	5.76%	4.91%	4.41%	5.02%	4.82%	5.62%	3.86%	4.99%	4.64%	5.72%	5.35%	4.25%	4.00%	5.34%	4.34%	4.63%	4.79%	6.17%	5.83%	6.68%	7.98%	5.48%	5.54%	4.35%	4.90%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
