Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Хунзахская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528					
		0.06%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%					
20	. Миронов Сергей Михайлович	10	4	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.06%	0.17%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%					
21	. Путин Владимир Владимирович	17191	2264	184	252	159	883	575	510	179	370	148	735	217	989	319	386	226	144	385	220	380	155	233	357	173	345	181	183	152	135	200	252	174	211	100	750	117	705	930	275	288	224	250	330	946					
		95.98%	95.09%	92.00%	96.18%	95.21%	94.84%	94.57%	98.08%	95.21%	97.63%	92.50%	98.53%	93.53%	94.91%	95.22%	97.23%	100.00%	97.30%	94.59%	96.92%	95.00%	96.88%	95.10%	95.97%	92.02%	95.83%	95.26%	90.59%	96.20%	96.43%	95.24%	91.64%	96.67%	97.24%	96.15%	98.68%	95.90%	97.11%	98.20%	97.86%	96.97%	96.55%	93.28%	96.77%	96.53%					
22	. Хакамада Ирина Муцуовна	11	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.04%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	1.98%	0.00%	0.00%	0.48%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	609	91	15	8	8	45	25	7	9	7	11	10	10	48	13	9	0	4	20	7	20	5	12	10	14	14	4	15	6	5	8	19	6	6	4	9	5	15	12	6	9	8	14	11	25					
		3.40%	3.82%	7.50%	3.05%	4.79%	4.83%	4.11%	1.35%	4.79%	1.85%	6.88%	1.34%	4.31%	4.61%	3.88%	2.27%	0.00%	2.70%	4.91%	3.08%	5.00%	3.12%	4.90%	2.69%	7.45%	3.89%	2.11%	7.43%	3.80%	3.57%	3.81%	6.91%	3.33%	2.76%	3.85%	1.18%	4.10%	2.07%	1.27%	2.14%	3.03%	3.45%	5.22%	3.23%	2.55%					
																																																			
24	Против всех	33	11	0	0	0	2	2	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	2	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0					
		0.18%	0.46%	0.00%	0.00%	0.00%	0.21%	0.33%	0.00%	0.00%	0.00%	0.62%	0.00%	0.86%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.53%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
