Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Волгоград, Краснооктябрьская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460					
11	Число полученных открепительных  удостоверений	1976	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38					
12	Число выданных открепительных удостоверений	408	10	9	8	9	8	8	10	13	11	4	7	1	3	12	2	3	6	6	9	10	9	16	13	8	2	8	7	6	6	3	4	0	14	10	15	9	11	18	3	9	4	3	11	5	12	8	4	8	6	10	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	358	8	5	11	4	3	2	14	19	3	12	3	0	2	14	1	3	3	7	10	15	11	3	5	4	5	4	12	5	4	4	3	3	7	7	10	9	8	9	6	7	6	4	11	4	6	7	10	7	7	10	9	12					
14	Число неиспользованных открепительных удостоверений	1568	28	29	30	29	30	30	28	25	27	34	31	37	35	26	36	35	32	32	29	28	29	22	25	30	36	30	31	32	32	35	34	38	24	28	23	29	27	20	35	29	34	35	27	33	26	30	34	30	32	28	31	28					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	3282	64	57	61	82	55	73	60	62	62	52	23	27	45	48	67	63	64	124	66	85	64	54	69	71	25	59	57	47	38	31	52	16	94	72	81	67	92	63	52	71	90	76	81	69	85	80	69	61	81	77	63	35					
		5.20%	4.60%	4.65%	4.58%	6.14%	4.81%	5.76%	5.41%	4.70%	5.23%	5.83%	4.47%	4.46%	5.75%	4.21%	6.68%	3.89%	4.21%	7.49%	4.74%	5.85%	4.49%	4.14%	5.65%	5.80%	3.51%	5.06%	3.87%	4.79%	3.91%	5.50%	5.42%	3.78%	6.74%	5.39%	5.44%	4.41%	6.51%	4.46%	6.17%	5.02%	6.38%	6.17%	5.30%	4.95%	5.52%	5.35%	5.70%	4.28%	5.92%	6.05%	5.15%	4.22%					
19	. Малышкин Олег Александрович	1092	16	32	37	27	20	16	19	25	15	18	10	14	24	23	17	32	26	18	26	20	16	18	18	16	23	18	35	17	10	10	28	4	18	26	21	26	20	26	12	25	12	32	31	20	30	26	19	24	22	17	14	23					
		1.73%	1.15%	2.61%	2.78%	2.02%	1.75%	1.26%	1.71%	1.90%	1.27%	2.02%	1.95%	2.31%	3.07%	2.02%	1.69%	1.97%	1.71%	1.09%	1.87%	1.38%	1.12%	1.38%	1.47%	1.31%	3.23%	1.54%	2.38%	1.73%	1.03%	1.77%	2.92%	0.95%	1.29%	1.95%	1.41%	1.71%	1.41%	1.84%	1.42%	1.77%	0.85%	2.60%	2.03%	1.43%	1.95%	1.74%	1.57%	1.68%	1.61%	1.34%	1.14%	2.77%					
20	. Миронов Сергей Михайлович	561	11	8	16	18	3	6	7	22	12	5	5	4	7	8	6	14	26	15	15	18	27	21	12	13	3	6	10	7	8	1	8	2	16	11	8	10	9	11	4	13	18	4	13	10	16	12	7	8	12	9	15	11					
		0.89%	0.79%	0.65%	1.20%	1.35%	0.26%	0.47%	0.63%	1.67%	1.01%	0.56%	0.97%	0.66%	0.90%	0.70%	0.60%	0.86%	1.71%	0.91%	1.08%	1.24%	1.89%	1.61%	0.98%	1.06%	0.42%	0.51%	0.68%	0.71%	0.82%	0.18%	0.83%	0.47%	1.15%	0.82%	0.54%	0.66%	0.64%	0.78%	0.47%	0.92%	1.28%	0.32%	0.85%	0.72%	1.04%	0.80%	0.58%	0.56%	0.88%	0.71%	1.23%	1.33%					
21	. Путин Владимир Владимирович	40529	895	754	773	779	763	804	704	867	769	545	345	387	494	760	666	1039	1067	1091	895	913	850	836	769	744	501	736	987	641	648	361	612	275	885	774	958	960	873	957	568	943	953	803	975	909	1024	969	823	929	858	777	765	556					
		64.27%	64.34%	61.55%	58.08%	58.31%	66.70%	63.46%	63.48%	65.78%	64.89%	61.10%	67.12%	63.97%	63.17%	66.73%	66.40%	64.10%	70.24%	65.88%	64.30%	62.88%	59.61%	64.11%	62.93%	60.73%	70.37%	63.12%	67.01%	65.34%	66.67%	64.01%	63.82%	65.01%	63.44%	57.98%	64.30%	63.24%	61.74%	67.73%	67.38%	66.74%	67.54%	65.23%	63.81%	65.21%	66.54%	64.86%	67.96%	65.19%	62.67%	61.04%	62.55%	67.07%					
22	. Хакамада Ирина Муцуовна	3342	63	59	58	53	37	58	57	63	76	37	19	34	41	51	48	99	73	111	91	61	87	74	77	77	30	41	68	38	55	41	33	21	63	76	89	113	82	75	63	65	67	65	86	87	98	78	58	59	85	96	62	44					
		5.30%	4.53%	4.82%	4.36%	3.97%	3.23%	4.58%	5.14%	4.78%	6.41%	4.15%	3.70%	5.62%	5.24%	4.48%	4.79%	6.11%	4.81%	6.70%	6.54%	4.20%	6.10%	5.67%	6.30%	6.29%	4.21%	3.52%	4.62%	3.87%	5.66%	7.27%	3.44%	4.96%	4.52%	5.69%	5.97%	7.44%	5.80%	5.31%	7.47%	4.60%	4.75%	5.28%	5.63%	6.24%	6.37%	5.22%	4.79%	4.14%	6.21%	7.54%	5.07%	5.31%					
23	. Харитонов Николай Михайлович	10965	268	261	304	311	207	242	201	213	190	178	86	107	131	187	157	282	189	237	222	283	301	215	208	215	100	254	256	188	157	90	186	67	245	331	251	274	272	213	106	218	179	179	248	213	195	231	179	294	248	240	241	115					
		17.39%	19.27%	21.31%	22.84%	23.28%	18.09%	19.10%	18.12%	16.16%	16.03%	19.96%	16.73%	17.69%	16.75%	16.42%	15.65%	17.40%	12.44%	14.31%	15.95%	19.49%	21.11%	16.49%	17.02%	17.55%	14.04%	21.78%	17.38%	19.16%	16.15%	15.96%	19.40%	15.84%	17.56%	24.79%	16.85%	18.05%	19.24%	15.07%	12.57%	15.43%	12.69%	14.54%	16.23%	15.28%	12.67%	15.46%	14.78%	20.63%	18.12%	18.85%	19.71%	13.87%					
																																																											
24	Против всех	2820	63	40	67	53	47	57	52	66	45	49	24	21	38	57	40	70	69	57	65	58	66	73	63	76	24	40	45	37	45	30	29	30	66	41	76	59	59	59	30	64	81	67	81	79	84	93	51	44	55	49	50	36					
		4.47%	4.53%	3.27%	5.03%	3.97%	4.11%	4.50%	4.69%	5.01%	3.80%	5.49%	4.67%	3.47%	4.86%	5.00%	3.99%	4.32%	4.54%	3.44%	4.67%	3.99%	4.63%	5.60%	5.16%	6.20%	3.37%	3.43%	3.05%	3.77%	4.63%	5.32%	3.02%	7.09%	4.73%	3.07%	5.10%	3.89%	4.17%	4.18%	3.56%	4.53%	5.74%	5.44%	5.30%	5.67%	5.46%	6.22%	4.21%	3.09%	4.02%	3.85%	4.09%	4.34%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
