Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Татышлинская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269					
11	Число полученных открепительных  удостоверений	296	6	1	7	6	1	1	1	1	17	1	1	1	11	6	22	30	22	22	22	6	6	5	1	1	1	1	1	11	6	1	1	1	1	1	1	1	1	6	11	6	1	1	6	1	16	6	7	6	1	1	1					
12	Число выданных открепительных удостоверений	106	6	0	4	1	0	1	1	0	8	0	0	0	5	4	11	16	4	16	6	3	2	0	1	0	0	0	0	5	2	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	3	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	0	0	2	2	1	2	2	1	1	1	0	0	4	0	4	6	2	3	1	2	0	1	1	3	0	2	1	0	2	0	0	0	1	1	0	1	1	7	1	0	2	0	0	0	0	1	1	0	2	2	2					
14	Число неиспользованных открепительных удостоверений	190	0	1	3	5	1	0	0	1	9	1	1	1	6	2	11	14	18	6	16	3	4	5	0	1	1	1	1	6	4	0	1	1	1	1	0	1	1	6	10	6	1	0	5	1	16	6	4	6	1	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.15%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.13%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.19%	0.53%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.07%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	18654	319	108	353	552	146	199	211	281	365	375	148	124	514	357	782	1363	774	763	756	486	237	95	458	433	80	495	167	640	302	505	369	196	225	102	241	328	111	685	215	262	154	490	201	340	370	383	436	379	381	198	200					
		99.25%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.06%	99.65%	98.12%	98.94%	98.67%	98.41%	99.81%	98.35%	98.99%	99.06%	99.10%	99.22%	98.69%	99.18%	99.16%	98.96%	99.13%	99.31%	100.00%	99.20%	100.00%	99.38%	100.00%	98.25%	98.40%	98.99%	98.68%	98.08%	99.59%	99.09%	99.11%	99.85%	98.62%	99.62%	100.00%	100.00%	100.00%	99.42%	98.93%	99.22%	99.54%	99.48%	99.48%	99.50%	99.01%					
22	. Хакамада Ирина Муцуовна	25	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	3	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.67%	0.00%	0.00%	1.10%	0.00%	0.22%	0.13%	0.00%	0.13%	0.20%	0.42%	1.04%	0.22%	0.00%	0.00%	0.20%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.88%	0.96%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.26%	0.00%	0.52%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	74	0	0	0	0	0	0	2	1	5	2	1	1	0	1	2	5	3	4	7	2	1	0	3	1	0	3	0	2	0	4	2	2	1	1	0	1	1	0	3	0	0	0	0	1	3	2	2	0	2	1	2					
		0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.35%	1.34%	0.53%	0.67%	0.79%	0.00%	0.28%	0.25%	0.36%	0.38%	0.52%	0.91%	0.41%	0.42%	0.00%	0.65%	0.23%	0.00%	0.60%	0.00%	0.31%	0.00%	0.78%	0.53%	1.01%	0.44%	0.96%	0.00%	0.30%	0.89%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.29%	0.80%	0.52%	0.46%	0.00%	0.52%	0.50%	0.99%					
																																																										
24	Против всех	12	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.19%	0.00%	0.38%	0.07%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
