Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Сасовская городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333					
		1.09%	1.34%	1.36%	0.89%	1.06%	0.87%	0.87%	1.46%	0.84%	0.79%	1.96%	0.99%	1.17%					
37	"20. ""Политическая партия ""Единая Россия"""	3283	177	155	330	309	397	416	377	376	180	175	145	246					
		28.22%	26.49%	26.49%	26.72%	23.53%	28.91%	30.40%	27.57%	31.86%	28.70%	31.19%	28.94%	28.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	2	0	4	2	1	2	3	2	0	1	2					
		0.16%	0.0%	0.34%	0.0%	0.30%	0.14%	0.07%	0.14%	0.25%	0.31%	0.0%	0.19%	0.23%					
39	"22. ""Развитие предпринимательства"""	16	0	0	2	2	4	1	2	3	1	0	0	1					
		0.13%	0.0%	0.0%	0.16%	0.15%	0.29%	0.07%	0.14%	0.25%	0.15%	0.0%	0.0%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1948	101	128	222	202	187	190	214	206	111	94	87	206					
		16.74%	15.11%	21.88%	17.97%	15.38%	13.61%	13.88%	15.65%	17.45%	17.70%	16.75%	17.36%	24.15%					
																			
41	Против всех	576	38	9	72	69	88	79	47	62	27	23	15	47					
		4.95%	5.68%	1.53%	5.82%	5.25%	6.40%	5.77%	3.43%	5.25%	4.30%	4.09%	2.99%	5.50%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
