Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Торжокская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255					
11	Число полученных открепительных  удостоверений	390	5	5	15	5	10	10	20	20	10	5	5	5	20	5	10	5	5	5	10	10	5	5	15	15	10	15	15	20	10	10	5	5	5	5	5	10	15	10	5	10	10					
12	Число выданных открепительных удостоверений	117	0	0	13	2	8	4	5	10	2	0	0	0	7	1	3	0	0	0	0	2	0	1	0	10	3	2	1	10	1	4	2	2	0	0	2	2	5	9	2	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	4	5	5	1	1	3	6	1	26	4	1	1	9	3	5	1	1	4	3	2	1	3	5	2	1	5	2	9	1	1	0	4	1	0	4	1	2	1	1	2	2					
14	Число неиспользованных открепительных удостоверений	273	5	5	2	3	2	6	15	10	8	5	5	5	13	4	7	5	5	5	10	8	5	4	15	5	7	13	14	10	9	6	3	3	5	5	3	8	10	1	3	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	230	4	2	3	1	5	2	4	19	8	1	6	5	9	2	12	0	3	5	5	2	3	3	7	9	8	3	6	21	6	8	2	6	5	2	7	8	7	5	0	12	4					
		1.89%	2.03%	1.24%	0.71%	0.69%	1.64%	0.58%	1.37%	3.48%	3.28%	0.76%	3.37%	3.21%	1.36%	0.96%	2.42%	0.00%	1.75%	2.70%	1.51%	0.66%	2.26%	1.96%	1.64%	2.57%	2.76%	0.93%	1.32%	2.25%	2.26%	3.04%	0.70%	2.08%	1.68%	1.77%	2.61%	2.03%	2.36%	2.45%	0.00%	3.95%	1.44%					
19	. Малышкин Олег Александрович	264	1	4	2	9	5	3	5	12	4	4	11	0	5	4	12	0	4	5	8	6	2	4	3	4	10	11	8	23	8	10	5	13	5	4	2	11	10	4	1	14	8					
		2.17%	0.51%	2.48%	0.48%	6.25%	1.64%	0.87%	1.71%	2.20%	1.64%	3.03%	6.18%	0.00%	0.76%	1.92%	2.42%	0.00%	2.34%	2.70%	2.42%	1.97%	1.50%	2.61%	0.70%	1.14%	3.45%	3.41%	1.75%	2.47%	3.01%	3.80%	1.74%	4.50%	1.68%	3.54%	0.75%	2.78%	3.38%	1.96%	0.40%	4.61%	2.88%					
20	. Миронов Сергей Михайлович	74	0	0	3	2	2	4	1	1	0	0	0	2	3	0	2	1	0	0	0	1	0	1	3	4	3	3	6	3	1	4	1	3	5	0	4	1	0	1	2	4	3					
		0.61%	0.00%	0.00%	0.71%	1.39%	0.66%	1.17%	0.34%	0.18%	0.00%	0.00%	0.00%	1.28%	0.45%	0.00%	0.40%	0.93%	0.00%	0.00%	0.00%	0.33%	0.00%	0.65%	0.70%	1.14%	1.03%	0.93%	1.32%	0.32%	0.38%	1.52%	0.35%	1.04%	1.68%	0.00%	1.49%	0.25%	0.00%	0.49%	0.81%	1.32%	1.08%					
21	. Путин Владимир Владимирович	9448	174	131	356	116	207	293	238	435	180	114	103	127	555	175	392	99	147	152	272	252	110	118	386	219	211	251	319	767	215	156	231	184	213	81	201	323	209	167	232	158	179					
		77.74%	88.32%	81.37%	84.56%	80.56%	68.09%	85.42%	81.23%	79.67%	73.77%	86.36%	57.87%	81.41%	84.09%	84.13%	79.03%	92.52%	85.96%	82.16%	82.18%	82.89%	82.71%	77.12%	90.40%	62.57%	72.76%	77.71%	69.96%	82.30%	80.83%	59.32%	80.49%	63.67%	71.72%	71.68%	75.00%	81.77%	70.61%	81.86%	93.55%	51.97%	64.39%					
22	. Хакамада Ирина Муцуовна	194	1	0	6	1	2	6	5	15	7	3	6	4	10	1	6	0	2	4	4	3	1	4	3	9	2	11	1	26	0	6	4	8	2	1	2	5	5	3	2	6	7					
		1.60%	0.51%	0.00%	1.43%	0.69%	0.66%	1.75%	1.71%	2.75%	2.87%	2.27%	3.37%	2.56%	1.52%	0.48%	1.21%	0.00%	1.17%	2.16%	1.21%	0.99%	0.75%	2.61%	0.70%	2.57%	0.69%	3.41%	0.22%	2.79%	0.00%	2.28%	1.39%	2.77%	0.67%	0.88%	0.75%	1.27%	1.69%	1.47%	0.81%	1.97%	2.52%					
23	. Харитонов Николай Михайлович	1654	16	21	46	15	72	29	34	44	30	6	47	13	62	25	54	7	15	16	36	39	16	18	21	100	46	36	85	72	33	74	39	71	52	20	42	43	52	21	11	106	69					
		13.61%	8.12%	13.04%	10.93%	10.42%	23.68%	8.45%	11.60%	8.06%	12.30%	4.55%	26.40%	8.33%	9.39%	12.02%	10.89%	6.54%	8.77%	8.65%	10.88%	12.83%	12.03%	11.76%	4.92%	28.57%	15.86%	11.15%	18.64%	7.73%	12.41%	28.14%	13.59%	24.57%	17.51%	17.70%	15.67%	10.89%	17.57%	10.29%	4.44%	34.87%	24.82%					
																																																
24	Против всех	238	1	3	2	0	9	5	4	16	12	3	5	5	11	1	14	0	0	2	6	0	1	5	2	4	8	6	30	18	2	5	4	2	15	5	8	4	7	2	0	4	7					
		1.96%	0.51%	1.86%	0.48%	0.00%	2.96%	1.46%	1.37%	2.93%	4.92%	2.27%	2.81%	3.21%	1.67%	0.48%	2.82%	0.00%	0.00%	1.08%	1.81%	0.00%	0.75%	3.27%	0.47%	1.14%	2.76%	1.86%	6.58%	1.93%	0.75%	1.90%	1.39%	0.69%	5.05%	4.42%	2.99%	1.01%	2.36%	0.98%	0.00%	1.32%	2.52%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
