Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Кабанская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
11	Число полученных открепительных  удостоверений	1598	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	30	30	30	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	30	30	20	20	10	40	20	20	20	20	30	30	30	20	20	20	20	20	10	30	30	28					
12	Число выданных открепительных удостоверений	201	3	0	0	7	0	0	1	0	4	1	0	2	0	0	8	0	0	0	1	5	3	0	0	4	4	9	4	2	8	2	10	0	3	0	1	2	4	2	2	0	12	0	13	10	7	3	10	5	1	2	3	7	1	0	0	5	0	7	0	1	6	1	4	3	0	0	0	2	0	0	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	251	2	7	0	2	2	0	0	1	1	0	0	0	1	0	5	1	0	2	0	3	1	0	0	6	8	1	15	4	7	8	5	2	2	0	5	3	2	21	3	2	1	3	3	0	0	5	0	7	2	13	3	5	5	7	3	2	4	8	0	2	5	7	2	6	15	2	0	6	0	3	6	4					
14	Число неиспользованных открепительных удостоверений	1397	17	20	20	13	20	20	19	20	16	19	20	18	20	20	12	20	20	20	19	15	17	20	20	16	26	21	26	28	22	28	10	20	17	20	19	18	16	18	18	20	8	20	7	10	13	17	10	15	29	28	27	23	19	20	10	35	20	13	20	19	24	29	26	17	20	20	20	18	10	30	25	27					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	1083	7	1	1	23	3	1	10	7	9	11	7	2	2	2	3	4	1	2	5	19	14	4	4	43	55	48	38	65	33	32	2	0	9	5	17	17	29	26	20	18	6	5	7	6	2	2	9	2	13	27	46	38	12	1	1	8	6	11	3	3	43	16	32	12	11	4	0	14	0	24	72	48					
		3.73%	1.96%	1.41%	1.43%	2.87%	1.20%	1.05%	2.52%	1.75%	1.89%	3.16%	2.59%	1.34%	2.06%	1.37%	0.85%	2.42%	0.51%	1.45%	7.04%	3.39%	3.41%	2.19%	3.88%	5.48%	5.35%	5.69%	4.54%	6.57%	4.27%	5.15%	1.10%	0.00%	3.72%	2.11%	4.26%	4.25%	4.33%	4.44%	3.61%	5.81%	1.57%	2.86%	1.61%	1.70%	1.27%	0.71%	4.11%	1.10%	1.71%	3.83%	5.79%	4.61%	3.31%	0.51%	0.85%	1.75%	1.90%	2.35%	1.70%	1.65%	7.43%	2.48%	4.45%	1.72%	12.79%	5.97%	0.00%	2.72%	0.00%	5.10%	7.96%	4.99%					
19	. Малышкин Олег Александрович	667	8	2	3	12	4	0	5	4	5	7	4	4	3	3	3	3	4	1	4	6	17	20	1	27	26	26	28	16	17	12	2	6	9	5	8	7	17	17	6	7	9	5	4	8	8	0	2	6	13	21	10	20	9	9	0	5	9	12	2	5	14	7	16	27	4	7	1	11	0	18	28	18					
		2.30%	2.23%	2.82%	4.29%	1.50%	1.59%	0.00%	1.26%	1.00%	1.05%	2.01%	1.48%	2.68%	3.09%	2.05%	0.85%	1.82%	2.04%	0.72%	5.63%	1.07%	4.14%	10.93%	0.97%	3.44%	2.53%	3.08%	3.35%	1.62%	2.20%	1.93%	1.10%	4.69%	3.72%	2.11%	2.01%	1.75%	2.54%	2.90%	1.08%	2.26%	2.36%	2.86%	0.92%	2.27%	5.10%	0.00%	0.91%	3.31%	1.71%	2.98%	1.26%	2.42%	2.48%	4.55%	0.00%	1.10%	2.86%	2.56%	1.14%	2.75%	2.42%	1.08%	2.23%	3.87%	4.65%	10.45%	1.16%	2.14%	0.00%	3.82%	3.10%	1.87%					
20	. Миронов Сергей Михайлович	227	1	0	0	7	4	2	0	4	4	5	0	1	1	0	1	1	1	0	0	6	2	0	1	5	7	4	9	14	3	5	0	1	2	0	3	2	1	6	5	0	1	0	1	1	4	6	3	0	7	3	6	8	8	1	1	4	1	8	3	0	6	9	4	7	0	2	0	9	1	3	7	5					
		0.78%	0.28%	0.00%	0.00%	0.87%	1.59%	2.11%	0.00%	1.00%	0.84%	1.44%	0.00%	0.67%	1.03%	0.00%	0.28%	0.61%	0.51%	0.00%	0.00%	1.07%	0.49%	0.00%	0.97%	0.64%	0.68%	0.47%	1.08%	1.42%	0.39%	0.81%	0.00%	0.78%	0.83%	0.00%	0.75%	0.50%	0.15%	1.02%	0.90%	0.00%	0.26%	0.00%	0.23%	0.28%	2.55%	2.14%	1.37%	0.00%	0.92%	0.43%	0.75%	0.97%	2.20%	0.51%	0.85%	0.88%	0.32%	1.71%	1.70%	0.00%	1.04%	1.39%	0.56%	1.00%	0.00%	2.99%	0.00%	1.75%	1.61%	0.64%	0.77%	0.52%					
21	. Путин Владимир Владимирович	19254	227	52	55	563	118	78	318	256	311	194	174	101	71	99	216	115	156	112	43	307	253	116	77	466	654	496	517	567	495	391	124	92	170	176	249	246	433	359	373	190	258	110	358	264	119	204	135	134	501	413	492	529	224	141	93	305	231	370	143	151	387	432	509	518	52	38	74	393	58	332	617	659					
		66.32%	63.41%	73.24%	78.57%	70.20%	47.01%	82.11%	80.10%	64.16%	65.20%	55.75%	64.44%	67.79%	73.20%	67.81%	61.02%	69.70%	79.59%	81.16%	60.56%	54.82%	61.56%	63.39%	74.76%	59.36%	63.62%	58.84%	61.77%	57.33%	64.04%	62.96%	68.13%	71.88%	70.25%	74.26%	62.41%	61.50%	64.63%	61.26%	67.33%	61.29%	67.72%	62.86%	82.49%	74.79%	75.80%	72.86%	61.64%	74.03%	65.75%	58.58%	61.89%	64.12%	61.71%	71.21%	78.81%	66.89%	73.33%	78.89%	81.25%	82.97%	66.84%	66.87%	70.79%	74.32%	60.47%	56.72%	86.05%	76.31%	93.55%	70.49%	68.25%	68.57%					
22	. Хакамада Ирина Муцуовна	745	11	2	1	8	6	1	29	6	13	4	2	2	0	1	6	5	1	0	2	13	2	1	2	34	26	35	38	36	36	21	8	1	4	3	8	19	17	23	13	5	6	8	10	3	4	25	7	3	19	16	14	24	8	3	1	5	12	7	0	11	3	15	19	2	1	0	2	17	0	11	18	26					
		2.57%	3.07%	2.82%	1.43%	1.00%	2.39%	1.05%	7.30%	1.50%	2.73%	1.15%	0.74%	1.34%	0.00%	0.68%	1.69%	3.03%	0.51%	0.00%	2.82%	2.32%	0.49%	0.55%	1.94%	4.33%	2.53%	4.15%	4.54%	3.64%	4.66%	3.38%	4.40%	0.78%	1.65%	1.27%	2.01%	4.75%	2.54%	3.92%	2.35%	1.61%	1.57%	4.57%	2.30%	0.85%	2.55%	8.93%	3.20%	1.66%	2.49%	2.27%	1.76%	2.91%	2.20%	1.52%	0.85%	1.10%	3.81%	1.49%	0.00%	6.04%	0.52%	2.32%	2.64%	0.29%	1.16%	0.00%	2.33%	3.30%	0.00%	2.34%	1.99%	2.71%					
23	. Харитонов Николай Михайлович	6051	99	11	10	157	107	10	32	116	120	111	70	34	19	37	113	33	32	22	16	188	96	30	9	174	233	174	177	248	158	138	41	19	35	44	105	97	149	142	126	83	89	38	38	59	16	33	53	26	192	199	194	151	87	35	17	107	46	54	12	11	110	140	116	113	17	15	9	63	1	72	144	179					
		20.84%	27.65%	15.49%	14.29%	19.58%	42.63%	10.53%	8.06%	29.07%	25.16%	31.90%	25.93%	22.82%	19.59%	25.34%	31.92%	20.00%	16.33%	15.94%	22.54%	33.57%	23.36%	16.39%	8.74%	22.17%	22.67%	20.64%	21.15%	25.08%	20.44%	22.22%	22.53%	14.84%	14.46%	18.57%	26.32%	24.25%	22.24%	24.23%	22.74%	26.77%	23.36%	21.71%	8.76%	16.71%	10.19%	11.79%	24.20%	14.36%	25.20%	28.23%	24.40%	18.30%	23.97%	17.68%	14.41%	23.46%	14.60%	11.51%	6.82%	6.04%	19.00%	21.67%	16.13%	16.21%	19.77%	22.39%	10.47%	12.23%	1.61%	15.29%	15.93%	18.63%					
																																																																															
24	Против всех	560	4	3	0	9	3	0	2	1	9	6	1	2	0	0	12	1	0	0	0	14	11	4	5	30	22	30	17	26	18	10	0	6	4	2	5	8	19	6	11	6	2	6	4	2	1	0	2	4	14	20	22	32	11	2	3	13	5	7	3	0	15	22	9	12	1	1	0	7	1	7	10	15					
		1.93%	1.12%	4.23%	0.00%	1.12%	1.20%	0.00%	0.50%	0.25%	1.89%	1.72%	0.37%	1.34%	0.00%	0.00%	3.39%	0.61%	0.00%	0.00%	0.00%	2.50%	2.68%	2.19%	4.85%	3.82%	2.14%	3.56%	2.03%	2.63%	2.33%	1.61%	0.00%	4.69%	1.65%	0.84%	1.25%	2.00%	2.84%	1.02%	1.99%	1.94%	0.52%	3.43%	0.92%	0.57%	0.64%	0.00%	0.91%	2.21%	1.84%	2.84%	2.77%	3.88%	3.03%	1.01%	2.54%	2.85%	1.59%	1.49%	1.70%	0.00%	2.59%	3.41%	1.25%	1.72%	1.16%	1.49%	0.00%	1.36%	1.61%	1.49%	1.11%	1.56%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
