Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Волгоград, Тракторозаводская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555					
11	Число полученных открепительных  удостоверений	1660	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	130	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	610	13	7	7	12	13	13	18	16	13	8	12	11	18	15	14	16	18	24	12	17	10	18	7	5	14	6	14	11	19	8	8	7	9	14	15	12	0	3	12	16	6	11	12	3	2	20	24	3	5	17	7	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	445	15	11	7	8	9	10	8	13	7	5	7	10	12	8	14	9	13	14	10	8	10	7	7	11	6	10	9	21	8	5	3	8	7	3	7	6	5	3	3	5	15	4	22	4	1	9	9	6	7	9	10	7					
14	Число неиспользованных открепительных удостоверений	1050	17	23	23	18	17	17	12	14	17	22	18	19	12	15	16	14	12	106	18	13	20	12	23	25	16	24	16	19	11	22	22	23	21	16	15	18	30	27	18	14	24	19	18	27	28	10	6	27	25	13	23	15					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	2961	71	59	75	87	82	72	81	106	49	69	41	84	120	48	59	70	81	64	37	90	106	97	19	19	36	34	49	41	46	38	34	38	37	33	51	50	19	41	39	43	43	75	69	40	21	42	97	22	47	63	50	77					
		5.17%	5.46%	4.27%	6.02%	5.82%	5.88%	5.31%	5.70%	6.35%	4.76%	6.26%	3.77%	5.56%	7.95%	4.67%	4.95%	5.92%	5.25%	5.05%	3.34%	6.67%	6.65%	6.64%	3.17%	3.26%	3.90%	3.33%	4.77%	4.58%	4.85%	3.47%	4.38%	5.94%	4.81%	3.71%	5.07%	4.87%	4.86%	4.93%	5.01%	4.56%	5.97%	5.73%	5.81%	4.96%	3.95%	3.62%	6.88%	2.40%	4.77%	4.47%	4.54%	5.71%					
19	. Малышкин Олег Александрович	1119	26	26	19	16	35	25	35	30	22	24	17	19	34	20	13	35	30	19	18	28	27	22	16	11	25	16	17	12	24	30	15	12	24	24	19	23	10	11	30	16	22	22	21	18	22	16	21	16	13	30	17	26					
		1.95%	2.00%	1.88%	1.53%	1.07%	2.51%	1.84%	2.46%	1.80%	2.14%	2.18%	1.56%	1.26%	2.25%	1.95%	1.09%	2.96%	1.95%	1.50%	1.62%	2.08%	1.69%	1.51%	2.67%	1.89%	2.71%	1.57%	1.66%	1.34%	2.53%	2.74%	1.93%	1.88%	3.12%	2.70%	1.89%	2.24%	2.56%	1.32%	3.86%	1.70%	3.06%	1.68%	1.77%	2.23%	4.14%	1.38%	1.49%	1.74%	1.32%	2.13%	1.54%	1.93%					
20	. Миронов Сергей Михайлович	505	10	16	10	15	23	21	4	16	8	16	12	26	12	4	8	18	7	6	5	9	22	7	2	5	4	5	9	11	12	7	6	15	2	8	15	1	4	10	8	11	3	7	7	8	6	6	8	8	11	15	10	6					
		0.88%	0.77%	1.16%	0.80%	1.00%	1.65%	1.55%	0.28%	0.96%	0.78%	1.45%	1.10%	1.72%	0.80%	0.39%	0.67%	1.52%	0.45%	0.47%	0.45%	0.67%	1.38%	0.48%	0.33%	0.86%	0.43%	0.49%	0.88%	1.23%	1.26%	0.64%	0.77%	2.34%	0.26%	0.90%	1.49%	0.10%	1.02%	1.20%	1.03%	1.17%	0.42%	0.54%	0.59%	0.99%	1.13%	0.52%	0.57%	0.87%	1.12%	1.07%	0.91%	0.45%					
21	. Путин Владимир Владимирович	36860	843	927	822	974	885	885	889	1082	683	666	712	936	928	683	896	725	936	776	718	852	971	938	425	407	621	664	616	620	619	760	512	395	537	568	633	676	262	502	445	651	478	803	727	476	340	773	889	609	672	874	728	851					
		64.38%	64.85%	67.03%	66.02%	65.15%	63.49%	65.27%	62.61%	64.79%	66.38%	60.44%	65.50%	61.90%	61.50%	66.50%	75.23%	61.28%	60.70%	61.20%	64.74%	63.16%	60.92%	64.20%	70.83%	69.93%	67.35%	65.10%	59.98%	69.27%	65.23%	69.41%	65.89%	61.72%	69.74%	63.82%	62.99%	65.82%	67.01%	60.34%	57.20%	69.03%	66.39%	61.39%	61.20%	58.98%	63.91%	66.70%	63.09%	66.34%	68.15%	62.07%	66.12%	63.13%					
22	. Хакамада Ирина Муцуовна	2727	68	72	58	73	79	92	64	72	34	50	39	68	84	47	51	71	56	62	52	86	95	76	25	19	43	53	57	48	43	60	39	25	32	61	64	35	16	38	34	24	26	60	47	36	19	54	62	42	47	73	38	58					
		4.76%	5.23%	5.21%	4.66%	4.88%	5.67%	6.78%	4.51%	4.31%	3.30%	4.54%	3.59%	4.50%	5.57%	4.58%	4.28%	6.00%	3.63%	4.89%	4.69%	6.38%	5.96%	5.20%	4.17%	3.26%	4.66%	5.20%	5.55%	5.36%	4.53%	5.48%	5.02%	3.91%	4.16%	6.85%	6.37%	3.41%	4.09%	4.57%	4.37%	2.55%	3.61%	4.59%	3.96%	4.46%	3.57%	4.66%	4.40%	4.58%	4.77%	5.18%	3.45%	4.30%					
23	. Харитонов Николай Михайлович	10129	192	190	189	257	187	176	283	296	197	223	219	309	267	180	119	176	343	281	231	229	279	241	86	80	147	198	216	128	156	139	131	119	97	152	169	191	62	190	180	147	115	283	252	194	95	214	267	170	138	286	196	267					
		17.69%	14.77%	13.74%	15.18%	17.19%	13.41%	12.98%	19.93%	17.72%	19.14%	20.24%	20.15%	20.44%	17.69%	17.53%	9.99%	14.88%	22.24%	22.16%	20.83%	16.98%	17.50%	16.50%	14.33%	13.75%	15.94%	19.41%	21.03%	14.30%	16.44%	12.69%	16.86%	18.59%	12.60%	17.08%	16.82%	18.60%	15.86%	22.84%	23.14%	15.59%	15.97%	21.64%	21.21%	24.04%	17.86%	18.46%	18.95%	18.52%	14.00%	20.31%	17.80%	19.81%					
																																																											
24	Против всех	2435	81	86	57	59	81	74	56	56	28	43	38	59	58	40	37	81	79	52	40	48	77	66	22	27	35	31	48	30	43	53	32	30	30	34	44	41	13	35	32	42	26	46	50	31	23	47	56	38	43	52	47	58					
		4.25%	6.23%	6.22%	4.58%	3.95%	5.81%	5.46%	3.94%	3.35%	2.72%	3.90%	3.50%	3.90%	3.84%	3.89%	3.11%	6.85%	5.12%	4.10%	3.61%	3.56%	4.83%	4.52%	3.67%	4.64%	3.80%	3.04%	4.67%	3.35%	4.53%	4.84%	4.12%	4.69%	3.90%	3.82%	4.38%	3.99%	3.32%	4.21%	4.11%	4.45%	3.61%	3.52%	4.21%	3.84%	4.32%	4.06%	3.97%	4.14%	4.36%	3.69%	4.27%	4.30%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
