Выборы Президента Российской Федерации																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Братская городская																																																																																																								
																																																																																																								
Итоги голосования 																																																																																																								
																																																																																																								
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №292	УИК №293	УИК №1593					
19	. Малышкин Олег Александрович	3601	31	17	46	41	25	45	42	44	51	45	44	31	35	39	29	35	48	57	49	39	55	36	38	48	41	36	57	31	53	42	49	50	44	53	60	18	55	45	40	47	41	42	39	41	41	30	33	33	50	34	31	34	7	7	29	32	29	37	28	32	37	24	14	42	35	46	40	48	47	31	30	55	43	33	39	38	34	22	38	4	35	30	44	43	50	45	24	54	21	27	27	10	36	29	17	25	43					
		3.52%	4.78%	3.25%	3.92%	4.10%	2.54%	4.25%	4.39%	4.14%	5.05%	4.88%	3.80%	4.09%	4.21%	4.18%	3.63%	4.82%	3.13%	3.42%	3.09%	2.68%	4.23%	3.55%	3.95%	3.10%	2.70%	2.93%	4.28%	2.52%	4.18%	3.03%	3.80%	4.13%	3.60%	3.36%	3.81%	2.06%	4.26%	3.06%	2.82%	3.26%	3.13%	3.33%	3.61%	3.33%	3.47%	2.56%	2.78%	2.75%	4.39%	3.30%	2.61%	3.99%	5.88%	2.83%	4.68%	4.44%	4.93%	4.11%	4.04%	4.12%	4.74%	4.32%	2.25%	3.78%	2.73%	4.78%	3.42%	3.71%	4.37%	2.68%	2.12%	3.48%	3.06%	2.84%	2.82%	2.85%	3.00%	2.02%	2.90%	1.78%	3.95%	3.35%	3.31%	3.41%	3.91%	4.30%	5.97%	4.46%	4.17%	7.01%	3.98%	2.09%	3.00%	2.72%	3.22%	3.27%	4.19%					
20	. Миронов Сергей Михайлович	952	3	5	6	12	9	7	9	11	8	7	7	5	8	12	7	4	14	19	15	10	12	6	4	15	12	8	8	8	10	13	9	14	19	9	12	6	15	15	15	17	15	18	4	16	20	20	15	9	11	8	16	4	5	1	4	3	7	10	7	4	8	10	4	11	8	15	15	12	5	14	13	11	18	18	16	16	7	14	11	1	10	4	6	9	9	14	1	15	4	3	6	5	9	9	4	4	11					
		0.93%	0.46%	0.96%	0.51%	1.20%	0.91%	0.66%	0.94%	1.03%	0.79%	0.76%	0.60%	0.66%	0.96%	1.29%	0.88%	0.55%	0.91%	1.14%	0.95%	0.69%	0.92%	0.59%	0.42%	0.97%	0.79%	0.65%	0.60%	0.65%	0.79%	0.94%	0.70%	1.16%	1.55%	0.57%	0.76%	0.69%	1.16%	1.02%	1.06%	1.18%	1.15%	1.43%	0.37%	1.30%	1.69%	1.71%	1.26%	0.75%	0.97%	0.78%	1.35%	0.47%	4.20%	0.40%	0.65%	0.42%	1.19%	1.11%	1.01%	0.52%	1.02%	1.80%	0.64%	0.99%	0.62%	1.56%	1.28%	0.93%	0.47%	1.21%	0.92%	0.70%	1.28%	1.55%	1.16%	1.20%	0.62%	1.28%	0.84%	0.44%	1.13%	0.45%	0.45%	0.71%	0.70%	1.34%	0.25%	1.24%	0.79%	0.78%	0.88%	1.04%	0.75%	0.84%	0.76%	0.52%	1.07%					
21	. Путин Владимир Владимирович	63028	439	358	808	633	577	691	596	667	625	600	736	479	537	591	502	494	926	1023	938	891	813	616	582	957	896	810	841	775	773	831	833	746	702	953	945	566	867	893	898	891	820	770	645	735	696	700	688	734	671	609	706	504	65	163	397	512	354	600	408	463	497	343	395	674	785	579	708	788	667	671	810	898	824	687	999	767	665	634	747	153	520	559	780	816	759	642	229	735	336	232	405	297	726	635	323	529	675					
		61.54%	67.75%	68.45%	68.94%	63.30%	58.64%	65.19%	62.28%	62.75%	61.88%	65.01%	63.50%	63.19%	64.62%	63.34%	62.83%	68.04%	60.33%	61.44%	59.11%	61.32%	62.54%	60.69%	60.50%	61.74%	58.99%	66.01%	63.19%	63.11%	60.91%	59.91%	64.62%	61.65%	57.45%	60.35%	59.96%	64.83%	67.11%	60.75%	63.37%	61.79%	62.64%	61.11%	59.72%	59.66%	58.93%	59.78%	57.86%	61.22%	58.91%	59.07%	59.48%	59.09%	54.62%	65.99%	64.03%	71.01%	60.20%	66.67%	58.87%	59.66%	63.64%	61.69%	63.50%	60.67%	61.18%	60.19%	60.51%	60.85%	62.05%	58.04%	57.32%	56.87%	58.73%	59.02%	72.23%	57.58%	58.59%	58.17%	57.07%	68.00%	58.76%	62.46%	58.69%	64.76%	59.39%	61.32%	56.97%	60.74%	66.67%	60.26%	59.65%	62.00%	60.50%	59.51%	61.17%	69.15%	65.73%					
22	. Хакамада Ирина Муцуовна	7257	38	31	66	76	67	67	65	70	51	56	68	51	58	67	57	39	112	114	124	121	92	70	69	108	116	80	85	86	88	117	88	94	122	152	161	75	98	75	140	107	97	106	103	112	95	103	93	92	72	80	132	88	6	16	21	37	32	51	39	58	54	27	32	85	91	81	96	99	90	87	139	128	98	77	81	126	86	79	108	9	63	39	80	53	73	42	25	43	21	15	40	17	68	62	22	29	38					
		7.09%	5.86%	5.93%	5.63%	7.60%	6.81%	6.32%	6.79%	6.59%	5.05%	6.07%	5.87%	6.73%	6.98%	7.18%	7.13%	5.37%	7.30%	6.85%	7.81%	8.33%	7.08%	6.90%	7.17%	6.97%	7.64%	6.52%	6.39%	7.00%	6.93%	8.44%	6.83%	7.77%	9.98%	9.63%	10.22%	8.59%	7.59%	5.10%	9.88%	7.42%	7.41%	8.41%	9.54%	9.09%	8.04%	8.80%	7.82%	7.67%	6.32%	7.76%	11.12%	10.32%	5.04%	6.48%	3.39%	5.13%	5.44%	5.67%	5.63%	7.47%	6.91%	4.86%	5.14%	7.65%	7.09%	8.42%	8.21%	7.64%	8.37%	7.53%	9.84%	8.11%	6.99%	6.62%	5.86%	9.46%	7.58%	7.25%	8.25%	4.00%	7.12%	4.36%	6.02%	4.21%	5.71%	4.01%	6.22%	3.55%	4.17%	3.90%	5.89%	3.55%	5.67%	5.81%	4.17%	3.79%	3.70%					
23	. Харитонов Николай Михайлович	17037	98	71	146	146	208	162	172	169	180	136	177	145	120	126	128	94	273	276	300	226	206	174	170	259	293	176	208	183	222	216	160	159	186	240	228	121	110	290	179	237	206	166	180	196	180	188	225	192	211	170	157	120	20	40	118	6	109	138	145	132	120	89	121	169	203	154	187	188	150	200	251	320	276	203	134	248	220	234	270	45	157	179	270	229	272	216	88	270	90	78	134	91	255	231	115	122	189					
		16.63%	15.12%	13.58%	12.46%	14.60%	21.14%	15.28%	17.97%	15.90%	17.82%	14.73%	15.27%	19.13%	14.44%	13.50%	16.02%	12.95%	17.79%	16.58%	18.90%	15.55%	15.85%	17.14%	17.67%	16.71%	19.29%	14.34%	15.63%	14.90%	17.49%	15.57%	12.41%	13.14%	15.22%	15.20%	14.47%	13.86%	8.51%	19.73%	12.63%	16.44%	15.74%	13.17%	16.67%	15.91%	15.24%	16.05%	18.92%	16.01%	18.53%	16.49%	13.23%	14.07%	16.81%	16.19%	19.03%	0.83%	18.54%	15.33%	20.92%	17.01%	15.36%	16.01%	19.45%	15.21%	15.82%	16.01%	15.98%	14.52%	13.95%	17.30%	17.76%	20.27%	19.67%	17.44%	9.69%	18.62%	19.38%	21.47%	20.63%	20.00%	17.74%	20.00%	20.32%	18.17%	21.28%	20.63%	21.89%	22.31%	17.86%	20.26%	19.73%	19.00%	21.25%	21.65%	21.78%	15.95%	18.40%					
