Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Новосергиевская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
12	Число выданных открепительных удостоверений	195	20	19	9	12	15	2	0	3	9	1	4	2	0	0	6	9	0	10	0	0	4	0	0	5	2	2	3	1	4	0	0	0	4	0	0	0	0	5	2	0	2	12	0	4	0	3	7	0	1	0	6	0	0	5	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	96	10	5	3	6	4	0	0	0	2	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	0	2	0	33	0	0	1	0	4	1					
14	Число неиспользованных открепительных удостоверений	303	0	1	11	8	10	3	3	2	1	2	6	3	3	5	4	1	5	5	5	5	6	3	3	10	3	13	12	14	11	5	5	5	6	5	5	5	5	5	3	5	8	3	5	1	10	7	3	5	4	3	4	5	5	5	9	5	9					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	654	73	48	45	31	62	15	0	0	11	0	24	5	0	0	8	11	0	21	2	2	17	2	0	17	7	26	18	24	28	1	1	2	18	7	3	0	3	6	1	0	10	10	1	3	4	9	17	0	1	0	23	6	4	7	5	7	8					
		3.24%	5.16%	4.22%	5.47%	3.83%	4.14%	4.79%	0.00%	0.00%	2.05%	0.00%	3.93%	4.42%	0.00%	0.00%	2.84%	1.77%	0.00%	3.35%	1.10%	1.68%	2.76%	4.08%	0.00%	2.70%	2.81%	4.73%	3.52%	4.67%	3.99%	0.65%	1.43%	1.16%	4.63%	3.50%	5.26%	0.00%	2.65%	1.32%	0.97%	0.00%	2.87%	1.23%	1.79%	2.42%	2.19%	3.35%	2.94%	0.00%	0.60%	0.00%	4.67%	2.56%	6.15%	1.93%	1.24%	3.07%	2.05%					
19	. Малышкин Олег Александрович	713	35	40	35	26	60	11	1	5	28	1	18	11	7	6	22	16	4	16	18	7	19	3	0	20	15	28	31	28	21	4	1	4	31	2	0	0	2	13	2	5	5	21	0	5	9	3	12	1	11	0	9	2	0	10	6	5	18					
		3.53%	2.48%	3.52%	4.25%	3.21%	4.01%	3.51%	2.33%	6.94%	5.21%	2.63%	2.95%	9.73%	8.54%	2.83%	7.80%	2.58%	3.64%	2.56%	9.94%	5.88%	3.09%	6.12%	0.00%	3.18%	6.02%	5.09%	6.07%	5.45%	3.00%	2.60%	1.43%	2.33%	7.97%	1.00%	0.00%	0.00%	1.77%	2.87%	1.94%	5.32%	1.44%	2.58%	0.00%	4.03%	4.92%	1.12%	2.08%	0.99%	6.55%	0.00%	1.83%	0.85%	0.00%	2.75%	1.49%	2.19%	4.62%					
20	. Миронов Сергей Михайлович	154	16	12	9	10	15	3	0	0	3	0	2	1	0	0	3	3	0	2	3	0	5	0	0	4	2	4	5	2	10	1	0	1	3	2	0	1	1	5	0	1	2	4	0	3	2	2	4	1	0	0	0	0	0	1	1	0	5					
		0.76%	1.13%	1.06%	1.09%	1.23%	1.00%	0.96%	0.00%	0.00%	0.56%	0.00%	0.33%	0.88%	0.00%	0.00%	1.06%	0.48%	0.00%	0.32%	1.66%	0.00%	0.81%	0.00%	0.00%	0.64%	0.80%	0.73%	0.98%	0.39%	1.43%	0.65%	0.00%	0.58%	0.77%	1.00%	0.00%	1.92%	0.88%	1.10%	0.00%	1.06%	0.57%	0.49%	0.00%	2.42%	1.09%	0.74%	0.69%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.25%	0.00%	1.28%					
21	. Путин Владимир Владимирович	10525	696	568	431	407	773	189	21	50	270	28	269	80	44	102	163	278	52	279	101	70	268	25	19	348	146	302	283	236	403	117	16	93	247	160	42	38	72	216	68	45	154	456	45	81	112	127	260	42	116	21	204	80	31	172	211	145	253					
		52.11%	49.22%	49.96%	52.37%	50.25%	51.67%	60.38%	48.84%	69.44%	50.28%	73.68%	44.03%	70.80%	53.66%	48.11%	57.80%	44.84%	47.27%	44.57%	55.80%	58.82%	43.58%	51.02%	48.72%	55.33%	58.63%	54.91%	55.38%	45.91%	57.49%	75.97%	22.86%	54.07%	63.50%	80.00%	73.68%	73.08%	63.72%	47.68%	66.02%	47.87%	44.25%	56.09%	80.36%	65.32%	61.20%	47.21%	44.98%	41.58%	69.05%	72.41%	41.38%	34.19%	47.69%	47.38%	52.49%	63.60%	64.87%					
22	. Хакамада Ирина Муцуовна	279	21	24	22	9	30	4	1	3	8	0	7	0	0	2	6	5	0	11	1	2	2	1	0	2	4	12	10	8	8	1	1	0	3	3	0	1	4	8	0	2	4	9	1	0	1	4	5	0	1	1	4	6	0	5	3	2	7					
		1.38%	1.49%	2.11%	2.67%	1.11%	2.01%	1.28%	2.33%	4.17%	1.49%	0.00%	1.15%	0.00%	0.00%	0.94%	2.13%	0.81%	0.00%	1.76%	0.55%	1.68%	0.33%	2.04%	0.00%	0.32%	1.61%	2.18%	1.96%	1.56%	1.14%	0.65%	1.43%	0.00%	0.77%	1.50%	0.00%	1.92%	3.54%	1.77%	0.00%	2.13%	1.15%	1.11%	1.79%	0.00%	0.55%	1.49%	0.87%	0.00%	0.60%	3.45%	0.81%	2.56%	0.00%	1.38%	0.75%	0.88%	1.79%					
23	. Харитонов Николай Михайлович	7258	502	397	253	282	483	82	17	14	201	7	275	16	29	98	60	298	54	287	54	37	294	17	20	221	67	163	150	199	213	30	49	64	67	24	11	11	30	193	32	40	166	293	8	30	48	121	271	54	34	7	247	140	29	160	158	65	86					
		35.94%	35.50%	34.92%	30.74%	34.81%	32.29%	26.20%	39.53%	19.44%	37.43%	18.42%	45.01%	14.16%	35.37%	46.23%	21.28%	48.06%	49.09%	45.85%	29.83%	31.09%	47.80%	34.69%	51.28%	35.14%	26.91%	29.64%	29.35%	38.72%	30.39%	19.48%	70.00%	37.21%	17.22%	12.00%	19.30%	21.15%	26.55%	42.60%	31.07%	42.55%	47.70%	36.04%	14.29%	24.19%	26.23%	44.98%	46.89%	53.47%	20.24%	24.14%	50.10%	59.83%	44.62%	44.08%	39.30%	28.51%	22.05%					
																																																																
24	Против всех	436	51	36	22	37	63	8	3	0	8	1	9	0	2	2	8	7	0	4	2	0	7	1	0	10	4	8	13	12	13	0	1	7	20	1	0	0	0	8	0	0	4	12	0	0	5	3	3	0	3	0	5	0	1	7	12	4	9					
		2.16%	3.61%	3.17%	2.67%	4.57%	4.21%	2.56%	6.98%	0.00%	1.49%	2.63%	1.47%	0.00%	2.44%	0.94%	2.84%	1.13%	0.00%	0.64%	1.10%	0.00%	1.14%	2.04%	0.00%	1.59%	1.61%	1.45%	2.54%	2.33%	1.85%	0.00%	1.43%	4.07%	5.14%	0.50%	0.00%	0.00%	0.00%	1.77%	0.00%	0.00%	1.15%	1.48%	0.00%	0.00%	2.73%	1.12%	0.52%	0.00%	1.79%	0.00%	1.01%	0.00%	1.54%	1.93%	2.99%	1.75%	2.31%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
