Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Горшеченская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374					
12	Число выданных открепительных удостоверений	86	15	5	21	1	0	0	9	3	0	0	2	5	2	0	1	0	0	1	1	1	0	2	0	0	0	1	0	0	0	3	2	1	0	2	3	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	7	3	5	1	1	1	1	2	1	3	0	5	5	4	3	1	0	1	3	2	1	1	2	1	0	0	4	0	2	2	2	2	2	2	1	1	5	1					
14	Число неиспользованных открепительных удостоверений	134	0	0	0	4	5	5	0	2	5	5	3	0	3	5	4	5	5	4	4	4	5	3	5	5	5	4	5	5	5	2	3	4	5	3	2	5	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	269	35	31	41	3	1	3	3	2	1	5	10	4	19	2	4	2	23	0	0	7	14	4	8	4	9	1	0	0	2	6	2	2	0	6	1	0	9	5					
		2.05%	3.16%	3.66%	2.94%	0.94%	0.48%	2.34%	0.97%	2.06%	0.85%	1.28%	2.60%	3.23%	4.74%	1.33%	1.66%	1.59%	6.73%	0.00%	0.00%	1.28%	3.75%	0.76%	3.05%	1.55%	3.70%	0.45%	0.00%	0.00%	1.00%	1.69%	0.93%	0.48%	0.00%	1.36%	0.59%	0.00%	1.61%	1.23%					
19	. Малышкин Олег Александрович	339	29	26	43	2	3	1	12	6	4	10	2	2	8	3	4	3	6	1	3	17	8	11	7	4	14	3	1	12	9	9	9	10	11	12	2	0	16	16					
		2.59%	2.62%	3.07%	3.08%	0.63%	1.43%	0.78%	3.90%	6.19%	3.39%	2.56%	0.52%	1.61%	2.00%	2.00%	1.66%	2.38%	1.75%	0.75%	1.01%	3.12%	2.14%	2.10%	2.67%	1.55%	5.76%	1.36%	0.75%	5.45%	4.48%	2.54%	4.19%	2.39%	3.13%	2.73%	1.18%	0.00%	2.87%	3.92%					
20	. Миронов Сергей Михайлович	89	5	9	6	1	0	0	3	0	3	5	3	1	0	1	3	2	2	1	0	4	3	3	1	3	3	1	0	4	1	4	3	1	1	2	0	2	7	1					
		0.68%	0.45%	1.06%	0.43%	0.31%	0.00%	0.00%	0.97%	0.00%	2.54%	1.28%	0.78%	0.81%	0.00%	0.67%	1.24%	1.59%	0.58%	0.75%	0.00%	0.73%	0.80%	0.57%	0.38%	1.16%	1.23%	0.45%	0.00%	1.82%	0.50%	1.13%	1.40%	0.24%	0.28%	0.45%	0.00%	2.38%	1.25%	0.25%					
21	. Путин Владимир Владимирович	8057	708	463	866	188	121	74	162	45	69	273	190	85	222	112	147	102	256	87	153	372	197	389	165	177	152	110	75	121	144	168	114	247	225	250	139	50	366	273					
		61.53%	64.01%	54.73%	62.12%	59.12%	57.62%	57.81%	52.60%	46.39%	58.47%	70.00%	49.48%	68.55%	55.36%	74.67%	61.00%	80.95%	74.85%	64.93%	51.69%	68.26%	52.82%	74.10%	62.98%	68.60%	62.55%	49.77%	55.97%	55.00%	71.64%	47.46%	53.02%	58.95%	64.10%	56.82%	81.76%	59.52%	65.59%	66.91%					
22	. Хакамада Ирина Муцуовна	187	26	15	20	3	3	1	4	0	1	8	6	2	4	0	2	2	5	2	7	5	2	7	1	2	3	4	3	9	1	4	7	5	5	3	1	1	8	5					
		1.43%	2.35%	1.77%	1.43%	0.94%	1.43%	0.78%	1.30%	0.00%	0.85%	2.05%	1.56%	1.61%	1.00%	0.00%	0.83%	1.59%	1.46%	1.49%	2.36%	0.92%	0.54%	1.33%	0.38%	0.78%	1.23%	1.81%	2.24%	4.09%	0.50%	1.13%	3.26%	1.19%	1.42%	0.68%	0.59%	1.19%	1.43%	1.23%					
23	. Харитонов Николай Михайлович	3758	260	274	360	115	78	46	118	36	32	79	164	26	132	23	74	13	40	42	124	129	136	99	72	62	52	93	54	66	40	152	75	151	101	158	26	23	138	95					
		28.70%	23.51%	32.39%	25.82%	36.16%	37.14%	35.94%	38.31%	37.11%	27.12%	20.26%	42.71%	20.97%	32.92%	15.33%	30.71%	10.32%	11.70%	31.34%	41.89%	23.67%	36.46%	18.86%	27.48%	24.03%	21.40%	42.08%	40.30%	30.00%	19.90%	42.94%	34.88%	36.04%	28.77%	35.91%	15.29%	27.38%	24.73%	23.28%					
																																													
24	Против всех	241	27	20	51	5	4	3	4	7	3	9	4	3	13	3	0	1	0	0	7	3	7	7	3	4	9	2	1	3	4	6	2	1	3	7	1	0	10	4					
		1.84%	2.44%	2.36%	3.66%	1.57%	1.90%	2.34%	1.30%	7.22%	2.54%	2.31%	1.04%	2.42%	3.24%	2.00%	0.00%	0.79%	0.00%	0.00%	2.36%	0.55%	1.88%	1.33%	1.15%	1.55%	3.70%	0.90%	0.75%	1.36%	1.99%	1.69%	0.93%	0.24%	0.85%	1.59%	0.59%	0.00%	1.79%	0.98%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
