Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Дуванская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256					
11	Число полученных открепительных  удостоверений	200	29	21	20	11	20	2	4	14	8	2	4	3	2	4	2	2	2	5	2	2	1	1	3	3	5	1	1	1	1	1	1	2	4	3	3	3	2	2	3					
12	Число выданных открепительных удостоверений	63	6	11	7	1	6	0	1	5	1	0	3	2	0	0	0	0	1	0	1	0	1	0	0	2	5	1	0	0	0	0	0	0	3	1	1	0	1	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	6	1	1	5	0	1	3	2	2	0	1	3	1	0	0	0	0	1	0	0	4	0	0	4	0	1	1	2	0	1	2	2	2	4	0	1	2	1	1					
14	Число неиспользованных открепительных удостоверений	137	23	10	13	10	14	2	3	9	7	2	1	1	2	4	2	2	1	5	1	2	0	1	3	1	0	0	1	1	1	1	1	2	1	2	2	3	1	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	22	2	5	1	1	0	0	2	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2					
		0.11%	0.22%	0.37%	0.11%	0.17%	0.00%	0.00%	0.25%	0.15%	0.00%	0.00%	0.37%	0.39%	0.33%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.38%					
19	. Малышкин Олег Александрович	27	1	7	1	1	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	3	0	1	1	2	1	1	0					
		0.13%	0.11%	0.52%	0.11%	0.17%	0.00%	0.00%	0.25%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.20%	0.19%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.39%	0.00%	0.14%	0.25%	0.32%	0.14%	0.28%	0.00%					
20	. Миронов Сергей Михайлович	19	1	5	2	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0					
		0.09%	0.11%	0.37%	0.21%	0.00%	0.17%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.40%	0.19%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.28%	0.00%					
21	. Путин Владимир Владимирович	20508	897	1323	916	571	1143	145	769	651	382	300	261	506	302	409	253	269	546	439	797	152	701	90	492	510	995	319	155	182	201	631	804	761	298	728	403	615	731	355	506					
		98.34%	97.93%	97.42%	98.28%	98.45%	99.30%	97.32%	97.59%	99.54%	98.71%	99.01%	97.75%	98.06%	99.02%	98.79%	98.83%	98.18%	96.30%	98.65%	99.38%	98.70%	98.73%	100.00%	98.80%	98.08%	99.50%	100.00%	98.73%	91.00%	86.27%	98.29%	99.50%	99.09%	99.33%	99.32%	98.77%	98.09%	98.78%	97.80%	97.12%					
22	. Хакамада Ирина Муцуовна	23	2	4	0	1	0	0	5	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2					
		0.11%	0.22%	0.29%	0.00%	0.17%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.37%	0.39%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.16%	0.14%	0.28%	0.38%					
23	. Харитонов Николай Михайлович	154	3	9	3	6	3	2	5	2	3	2	3	6	2	5	2	1	18	0	4	1	9	0	3	6	2	0	1	0	3	9	4	3	1	4	1	7	6	5	10					
		0.74%	0.33%	0.66%	0.32%	1.03%	0.26%	1.34%	0.63%	0.31%	0.78%	0.66%	1.12%	1.16%	0.66%	1.21%	0.78%	0.36%	3.17%	0.00%	0.50%	0.65%	1.27%	0.00%	0.60%	1.15%	0.20%	0.00%	0.64%	0.00%	1.29%	1.40%	0.50%	0.39%	0.33%	0.55%	0.25%	1.12%	0.81%	1.38%	1.92%					
																																														
24	Против всех	27	0	1	2	0	3	1	3	0	1	1	0	0	0	0	0	1	0	3	1	0	0	0	0	1	2	0	1	0	2	2	0	0	1	0	1	0	0	0	0					
		0.13%	0.00%	0.07%	0.21%	0.00%	0.26%	0.67%	0.38%	0.00%	0.26%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.67%	0.12%	0.00%	0.00%	0.00%	0.00%	0.19%	0.20%	0.00%	0.64%	0.00%	0.86%	0.31%	0.00%	0.00%	0.33%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
