Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Жуковская городская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1625	45	85	45	45	45	45	45	45	45	45	65	45	45	45	65	65	45	45	45	65	45	45	45	65	45	39	51	45	45	45	45	45	45	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1233	32	52	40	38	44	29	30	27	40	33	50	27	35	35	53	25	42	23	37	51	43	43	44	52	31	39	50	20	33	31	24	39	41	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1258	30	35	20	30	28	39	37	72	28	32	25	58	50	26	25	20	12	61	14	20	20	10	21	21	28	54	71	20	40	18	34	21	17	221					
14	Число погашенных неиспользованных открепительных удостоверений	372	13	33	5	7	1	16	15	18	5	12	15	18	10	10	12	20	3	22	8	14	2	2	1	13	14	0	1	25	12	14	21	6	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	4	0	0	2	1	0	2	2	7	2	1	0	1	0	2	0	3	0	1	1	1	1	0	3	0	2	0	1	2	1	4	2	2	0					
16	Число утраченных открепительных удостоверений	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	89	0	15	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	9	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8928	234	309	335	335	278	267	274	213	320	262	321	226	270	253	208	178	218	289	258	308	270	164	311	370	305	244	260	167	322	228	264	307	286	74					
		20.97%	19.29%	19.69%	23.93%	22.85%	20.92%	21.01%	22.08%	22.14%	21.95%	21.82%	23.18%	20.38%	19.74%	22.85%	18.33%	16.11%	17.27%	24.47%	22.89%	20.95%	21.03%	13.64%	21.82%	22.16%	24.50%	19.52%	20.47%	19.22%	21.32%	20.11%	25.76%	20.08%	21.63%	15.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6152	205	289	155	187	156	168	141	144	169	136	155	161	165	138	164	279	296	169	216	229	171	292	204	208	158	151	149	125	223	151	149	206	181	62					
		14.45%	16.90%	18.42%	11.07%	12.76%	11.74%	13.22%	11.36%	14.97%	11.59%	11.32%	11.19%	14.52%	12.06%	12.47%	14.45%	25.25%	23.45%	14.31%	19.17%	15.58%	13.32%	24.29%	14.32%	12.46%	12.69%	12.08%	11.73%	14.38%	14.77%	13.32%	14.54%	13.47%	13.69%	13.11%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	551	13	16	17	13	18	13	13	16	21	14	13	17	19	16	11	8	5	16	12	17	31	16	25	19	17	19	14	11	22	21	20	28	13	7					
		1.29%	1.07%	1.02%	1.21%	0.89%	1.35%	1.02%	1.05%	1.66%	1.44%	1.17%	0.94%	1.53%	1.39%	1.45%	0.97%	0.72%	0.40%	1.35%	1.06%	1.16%	2.41%	1.33%	1.75%	1.14%	1.37%	1.52%	1.10%	1.27%	1.46%	1.85%	1.95%	1.83%	0.98%	1.48%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12962	340	455	448	472	465	394	385	297	481	405	454	370	419	337	395	330	293	319	308	452	351	290	450	594	355	415	447	278	432	337	255	482	360	97					
		30.45%	28.03%	28.99%	32.00%	32.20%	34.99%	30.99%	31.02%	30.87%	32.99%	33.72%	32.78%	33.36%	30.63%	30.44%	34.80%	29.86%	23.22%	27.01%	27.33%	30.75%	27.34%	24.13%	31.58%	35.57%	28.51%	33.20%	35.20%	31.99%	28.61%	29.72%	24.88%	31.52%	27.23%	20.51%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4059	123	176	152	145	132	112	166	93	174	111	148	101	196	135	107	64	52	86	76	143	172	72	126	179	115	115	111	66	122	112	86	155	103	33					
		9.54%	10.14%	11.22%	10.86%	9.89%	9.93%	8.81%	13.38%	9.67%	11.93%	9.24%	10.69%	9.11%	14.33%	12.20%	9.43%	5.79%	4.12%	7.28%	6.74%	9.73%	13.40%	5.99%	8.84%	10.72%	9.24%	9.20%	8.74%	7.59%	8.08%	9.88%	8.39%	10.14%	7.79%	6.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8490	266	276	256	261	253	267	220	174	244	241	244	200	257	189	223	216	359	270	210	268	249	336	265	256	240	257	239	184	318	246	223	300	311	172					
		19.95%	21.93%	17.59%	18.29%	17.80%	19.04%	21.01%	17.73%	18.09%	16.74%	20.07%	17.62%	18.03%	18.79%	17.07%	19.65%	19.55%	28.45%	22.86%	18.63%	18.23%	19.39%	27.95%	18.60%	15.33%	19.28%	20.56%	18.82%	21.17%	21.06%	21.69%	21.76%	19.62%	23.52%	36.36%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	421	13	20	12	13	8	13	15	9	15	9	12	11	13	16	9	8	6	9	11	12	24	5	18	18	7	13	10	11	24	8	11	13	17	8					
		0.99%	1.07%	1.27%	0.86%	0.89%	0.60%	1.02%	1.21%	0.94%	1.03%	0.75%	0.87%	0.99%	0.95%	1.45%	0.79%	0.72%	0.48%	0.76%	0.98%	0.82%	1.87%	0.42%	1.26%	1.08%	0.56%	1.04%	0.79%	1.27%	1.59%	0.71%	1.07%	0.85%	1.29%	1.69%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
