Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Архангельская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	3	1	1	0	9	27	3	1	4	2	4	5	4	7	2	9	1	0	1	1	1	3	3	1	2	3	8	3	6	2	2	1	5	2	2	0					
14	Число неиспользованных открепительных удостоверений	171	3	5	2	5	18	62	0	0	4	0	3	5	5	0	0	3	2	0	5	0	3	2	4	2	5	5	0	2	3	5	4	4	2	0	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	9	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.21%	0.21%	0.00%	0.16%	0.00%	0.21%	0.00%	0.50%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	9	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.41%	0.21%	0.00%	0.16%	0.36%	0.42%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	9	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.26%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.36%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	13517	341	371	372	248	2038	2025	492	179	293	231	171	98	184	461	481	175	599	270	457	220	200	160	450	205	139	250	425	266	137	86	95	257	80	440	281	340					
		98.44%	99.71%	99.20%	97.38%	100.00%	99.08%	99.02%	98.99%	98.90%	99.32%	93.90%	98.84%	98.99%	98.92%	94.86%	99.18%	100.00%	93.74%	97.12%	97.03%	92.83%	99.01%	98.77%	99.34%	99.03%	100.00%	99.60%	99.30%	99.25%	99.28%	98.85%	100.00%	99.61%	98.77%	99.55%	98.94%	100.00%					
22	. Хакамада Ирина Муцуовна	22	0	1	0	0	6	3	1	0	0	0	0	0	0	3	0	0	2	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
		0.16%	0.00%	0.27%	0.00%	0.00%	0.29%	0.15%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.31%	0.36%	0.42%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	129	1	2	8	0	8	12	4	2	1	15	1	0	1	4	2	0	29	1	7	14	1	2	2	2	0	0	1	1	1	1	0	1	1	1	3	0					
		0.94%	0.29%	0.53%	2.09%	0.00%	0.39%	0.59%	0.80%	1.10%	0.34%	6.10%	0.58%	0.00%	0.54%	0.82%	0.41%	0.00%	4.54%	0.36%	1.49%	5.91%	0.50%	1.23%	0.44%	0.97%	0.00%	0.00%	0.23%	0.37%	0.72%	1.15%	0.00%	0.39%	1.23%	0.23%	1.06%	0.00%					
																																											
24	Против всех	6	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.16%	0.36%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
