Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Чистопольская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896					
14	Число неиспользованных открепительных удостоверений	314	6	11	10	6	8	10	10	11	8	9	10	0	9	8	12	3	11	11	12	11	12	10	12	1	11	9	10	11	0	0	0	8	8	9	1	9	0	11	0	11	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	149	0	1	0	5	3	0	13	0	1	2	5	9	5	7	1	8	0	1	0	3	0	5	1	3	4	0	3	0	4	3	6	2	2	11	4	2	14	3	4	4	0	10					
		1.07%	0.00%	0.83%	0.00%	1.38%	1.20%	0.00%	2.60%	0.00%	0.43%	0.45%	0.95%	1.87%	0.91%	1.40%	0.69%	2.05%	0.00%	0.45%	0.00%	0.85%	0.00%	0.89%	0.89%	0.62%	2.00%	0.00%	1.24%	0.00%	1.10%	0.67%	1.42%	0.88%	0.87%	2.41%	0.79%	1.77%	3.70%	3.06%	0.89%	3.03%	0.00%	2.23%					
19	. Малышкин Олег Александрович	116	7	1	0	6	6	3	11	0	3	2	6	3	5	8	2	2	0	1	0	2	0	8	1	6	2	0	0	0	2	3	0	2	0	3	0	0	0	0	2	6	12	1					
		0.83%	1.07%	0.83%	0.00%	1.65%	2.39%	1.11%	2.20%	0.00%	1.30%	0.45%	1.14%	0.62%	0.91%	1.60%	1.39%	0.51%	0.00%	0.45%	0.00%	0.57%	0.00%	1.43%	0.89%	1.23%	1.00%	0.00%	0.00%	0.00%	0.55%	0.67%	0.00%	0.88%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.45%	4.55%	2.65%	0.22%					
20	. Миронов Сергей Михайлович	89	10	2	0	3	1	0	3	0	3	3	1	2	8	8	0	6	0	1	0	0	0	2	2	6	1	3	0	0	1	2	7	0	2	2	0	1	0	1	2	2	2	2					
		0.64%	1.53%	1.67%	0.00%	0.83%	0.40%	0.00%	0.60%	0.00%	1.30%	0.67%	0.19%	0.42%	1.45%	1.60%	0.00%	1.53%	0.00%	0.45%	0.00%	0.00%	0.00%	0.36%	1.79%	1.23%	0.50%	0.80%	0.00%	0.00%	0.27%	0.44%	1.65%	0.00%	0.87%	0.44%	0.00%	0.88%	0.00%	1.02%	0.45%	1.52%	0.44%	0.45%					
21	. Путин Владимир Владимирович	12910	618	103	265	340	227	247	450	100	202	413	483	433	507	454	137	353	270	213	167	339	266	531	97	457	182	358	230	122	342	427	381	218	221	378	498	98	359	90	409	111	407	407					
		92.58%	94.64%	85.83%	95.32%	93.66%	90.44%	91.14%	90.00%	90.91%	87.45%	92.19%	91.83%	90.02%	92.01%	90.62%	95.14%	90.28%	96.43%	95.95%	95.98%	96.58%	98.15%	94.99%	86.61%	93.84%	91.00%	95.98%	95.44%	96.06%	93.70%	94.89%	90.07%	96.46%	96.51%	82.71%	98.03%	86.73%	94.97%	91.84%	91.09%	84.09%	90.04%	90.85%					
22	. Хакамада Ирина Муцуовна	128	2	1	1	2	2	1	7	0	1	12	8	10	3	6	1	14	0	1	0	1	2	5	1	3	1	5	2	1	2	5	6	1	0	7	2	0	0	0	3	2	6	1					
		0.92%	0.31%	0.83%	0.36%	0.55%	0.80%	0.37%	1.40%	0.00%	0.43%	2.68%	1.52%	2.08%	0.54%	1.20%	0.69%	3.58%	0.00%	0.45%	0.00%	0.28%	0.74%	0.89%	0.89%	0.62%	0.50%	1.34%	0.83%	0.79%	0.55%	1.11%	1.42%	0.44%	0.00%	1.53%	0.39%	0.00%	0.00%	0.00%	0.67%	1.52%	1.33%	0.22%					
23	. Харитонов Николай Михайлович	360	8	11	8	6	7	20	13	9	11	4	16	8	15	6	2	0	10	2	7	3	3	8	3	0	3	7	1	4	10	5	17	3	2	39	4	12	0	4	23	4	25	17					
		2.58%	1.23%	9.17%	2.88%	1.65%	2.79%	7.38%	2.60%	8.18%	4.76%	0.89%	3.04%	1.66%	2.72%	1.20%	1.39%	0.00%	3.57%	0.90%	4.02%	0.85%	1.11%	1.43%	2.68%	0.00%	1.50%	1.88%	0.41%	3.15%	2.74%	1.11%	4.02%	1.33%	0.87%	8.53%	0.79%	10.62%	0.00%	4.08%	5.12%	3.03%	5.53%	3.79%					
																																																	
24	Против всех	94	3	1	0	1	2	0	3	0	3	6	4	8	3	6	0	8	0	0	0	1	0	0	2	7	6	0	2	0	2	3	0	0	2	8	0	0	0	0	3	0	0	10					
		0.67%	0.46%	0.83%	0.00%	0.28%	0.80%	0.00%	0.60%	0.00%	1.30%	1.34%	0.76%	1.66%	0.54%	1.20%	0.00%	2.05%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	1.79%	1.44%	3.00%	0.00%	0.83%	0.00%	0.55%	0.67%	0.00%	0.00%	0.87%	1.75%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	2.23%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
