Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Ельнинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184					
		3.79%	3.72%	12.75%	3.56%	4.77%	6.17%	2.10%	3.12%	2.80%	1.11%	0.56%	0.73%	2.72%	0.00%	3.10%	3.38%	3.08%	1.18%	0.39%	0.82%	3.09%	2.47%	1.64%	3.60%	0.00%	1.20%	2.04%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
