Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Кузнецкая																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902					
18	. Глазьев Сергей Юрьевич	667	19	2	1	19	11	16	28	36	43	21	6	13	6	41	20	3	20	12	37	33	0	12	14	18	9	5	3	6	3	1	16	7	1	18	10	6	12	34	37	41	27					
		3.03%	1.86%	1.44%	0.53%	2.12%	1.60%	1.33%	2.48%	3.09%	4.71%	2.90%	4.00%	2.83%	4.11%	4.01%	5.18%	1.17%	2.38%	5.61%	4.81%	4.56%	0.00%	1.59%	3.95%	3.67%	1.01%	1.64%	5.17%	1.43%	4.11%	1.01%	3.22%	3.91%	0.90%	3.57%	3.12%	4.00%	4.35%	3.70%	6.92%	6.69%	1.94%					
19	. Малышкин Олег Александрович	359	23	2	4	4	2	5	27	23	13	13	5	6	1	32	4	1	22	5	14	22	0	14	1	11	8	5	0	5	0	3	11	6	0	15	6	1	5	14	2	11	13					
		1.63%	2.26%	1.44%	2.11%	0.45%	0.29%	0.41%	2.40%	1.97%	1.42%	1.80%	3.33%	1.31%	0.68%	3.13%	1.04%	0.39%	2.62%	2.34%	1.82%	3.04%	0.00%	1.85%	0.28%	2.24%	0.90%	1.64%	0.00%	1.19%	0.00%	3.03%	2.21%	3.35%	0.00%	2.98%	1.87%	0.67%	1.81%	1.52%	0.37%	1.79%	0.94%					
20	. Миронов Сергей Михайлович	99	4	2	1	3	0	3	7	6	3	3	0	1	0	7	1	2	2	2	5	4	0	3	0	1	4	6	0	0	1	0	4	2	0	4	1	1	2	4	1	8	1					
		0.45%	0.39%	1.44%	0.53%	0.33%	0.00%	0.25%	0.62%	0.52%	0.33%	0.41%	0.00%	0.22%	0.00%	0.68%	0.26%	0.78%	0.24%	0.93%	0.65%	0.55%	0.00%	0.40%	0.00%	0.20%	0.45%	1.97%	0.00%	0.00%	1.37%	0.00%	0.80%	1.12%	0.00%	0.79%	0.31%	0.67%	0.72%	0.44%	0.19%	1.31%	0.07%					
21	. Путин Владимир Владимирович	15556	742	100	153	573	450	816	852	824	617	495	116	368	111	699	221	219	594	156	487	440	68	575	282	382	633	177	46	249	48	70	352	118	85	356	217	109	223	628	324	417	1164					
		70.57%	72.82%	71.94%	80.53%	63.95%	65.31%	67.61%	75.60%	70.73%	67.58%	68.37%	77.33%	80.17%	76.03%	68.40%	57.25%	85.55%	70.80%	72.90%	63.25%	60.77%	98.55%	76.06%	79.66%	77.80%	71.04%	58.22%	79.31%	59.29%	65.75%	70.71%	70.82%	65.92%	76.58%	70.63%	67.60%	72.67%	80.80%	68.34%	60.56%	68.03%	83.80%					
22	. Хакамада Ирина Муцуовна	289	17	1	9	5	2	7	12	15	15	14	3	9	0	19	2	0	5	4	11	9	0	8	9	6	9	12	0	1	0	1	2	6	1	4	2	3	1	9	7	16	33					
		1.31%	1.67%	0.72%	4.74%	0.56%	0.29%	0.58%	1.06%	1.29%	1.64%	1.93%	2.00%	1.96%	0.00%	1.86%	0.52%	0.00%	0.60%	1.87%	1.43%	1.24%	0.00%	1.06%	2.54%	1.22%	1.01%	3.95%	0.00%	0.24%	0.00%	1.01%	0.40%	3.35%	0.90%	0.79%	0.62%	2.00%	0.36%	0.98%	1.31%	2.61%	2.38%					
23	. Харитонов Николай Михайлович	4434	191	30	15	280	211	331	175	228	191	145	15	57	28	196	124	31	158	22	192	188	1	131	38	70	201	93	9	154	20	20	103	36	21	98	81	22	24	197	142	95	70					
		20.11%	18.74%	21.58%	7.89%	31.25%	30.62%	27.42%	15.53%	19.57%	20.92%	20.03%	10.00%	12.42%	19.18%	19.18%	32.12%	12.11%	18.83%	10.28%	24.94%	25.97%	1.45%	17.33%	10.73%	14.26%	22.56%	30.59%	15.52%	36.67%	27.40%	20.20%	20.72%	20.11%	18.92%	19.44%	25.23%	14.67%	8.70%	21.44%	26.54%	15.50%	5.04%					
																																																
24	Против всех	441	17	2	5	7	7	2	17	28	18	30	1	4	0	25	10	0	21	10	17	24	0	10	6	2	12	4	0	3	1	1	4	4	3	6	4	6	7	28	12	12	71					
		2.00%	1.67%	1.44%	2.63%	0.78%	1.02%	0.17%	1.51%	2.40%	1.97%	4.14%	0.67%	0.87%	0.00%	2.45%	2.59%	0.00%	2.50%	4.67%	2.21%	3.31%	0.00%	1.32%	1.69%	0.41%	1.35%	1.32%	0.00%	0.71%	1.37%	1.01%	0.80%	2.23%	2.70%	1.19%	1.25%	4.00%	2.54%	3.05%	2.24%	1.96%	5.11%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
