Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Петровск-Забайкальская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235					
19	. Малышкин Олег Александрович	198	5	1	0	8	9	0	4	9	2	5	3	12	24	12	6	0	16	18	11	15	3	11	24					
		2.50%	2.07%	1.59%	0.00%	1.16%	1.62%	0.00%	3.15%	2.98%	1.67%	5.81%	1.95%	3.58%	3.65%	1.89%	4.29%	0.00%	3.90%	2.99%	1.68%	3.14%	2.17%	4.07%	3.65%					
20	. Миронов Сергей Михайлович	89	1	0	0	10	5	4	5	4	1	1	1	5	8	10	0	0	1	3	8	4	1	12	5					
		1.12%	0.41%	0.00%	0.00%	1.45%	0.90%	0.98%	3.94%	1.32%	0.83%	1.16%	0.65%	1.49%	1.22%	1.58%	0.00%	0.00%	0.24%	0.50%	1.22%	0.84%	0.72%	4.44%	0.76%					
21	. Путин Владимир Владимирович	5437	190	32	85	503	419	322	67	200	85	49	108	216	441	494	79	66	262	422	385	283	105	194	430					
		68.66%	78.51%	50.79%	74.56%	72.79%	75.63%	79.12%	52.76%	66.23%	70.83%	56.98%	70.13%	64.48%	67.12%	77.92%	56.43%	80.49%	63.90%	69.98%	58.87%	59.21%	76.09%	71.85%	65.35%					
22	. Хакамада Ирина Муцуовна	200	8	5	3	16	2	27	1	9	0	2	2	5	13	17	2	7	10	13	17	9	7	2	23					
		2.53%	3.31%	7.94%	2.63%	2.32%	0.36%	6.63%	0.79%	2.98%	0.00%	2.33%	1.30%	1.49%	1.98%	2.68%	1.43%	8.54%	2.44%	2.16%	2.60%	1.88%	5.07%	0.74%	3.50%					
23	. Харитонов Николай Михайлович	1580	31	21	22	128	100	41	36	64	30	16	27	79	128	84	46	9	104	122	176	129	13	35	139					
		19.95%	12.81%	33.33%	19.30%	18.52%	18.05%	10.07%	28.35%	21.19%	25.00%	18.60%	17.53%	23.58%	19.48%	13.25%	32.86%	10.98%	25.37%	20.23%	26.91%	26.99%	9.42%	12.96%	21.12%					
																														
24	Против всех	108	1	0	2	5	5	3	1	1	0	2	8	5	9	7	2	0	1	8	14	11	4	3	16					
		1.36%	0.41%	0.00%	1.75%	0.72%	0.90%	0.74%	0.79%	0.33%	0.00%	2.33%	5.19%	1.49%	1.37%	1.10%	1.43%	0.00%	0.24%	1.33%	2.14%	2.30%	2.90%	1.11%	2.43%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
