Выборы Президента Российской Федерации																													
																													
"Наименование Избирательной комиссии:    Новокузнецк, Новоильинская"																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682					
14	Число неиспользованных открепительных удостоверений	116	10	9	0	6	1	0	4	6	3	2	9	7	6	8	8	5	9	3	3	4	6	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	2022	76	73	77	84	81	92	103	106	89	71	117	57	103	60	40	91	101	107	116	131	146	101					
		5.92%	5.48%	5.25%	4.67%	5.42%	6.02%	5.91%	6.16%	5.82%	5.24%	5.96%	6.52%	5.14%	8.14%	4.55%	3.80%	6.35%	5.81%	5.94%	6.40%	6.65%	6.99%	6.60%					
19	. Малышкин Олег Александрович	1523	66	61	86	65	63	73	90	71	63	63	64	59	58	62	35	65	88	87	89	87	68	60					
		4.46%	4.76%	4.39%	5.22%	4.20%	4.68%	4.69%	5.39%	3.90%	3.71%	5.29%	3.57%	5.32%	4.58%	4.70%	3.33%	4.54%	5.06%	4.83%	4.91%	4.42%	3.26%	3.92%					
20	. Миронов Сергей Михайлович	487	20	15	23	19	19	17	22	27	13	23	28	9	13	17	18	25	25	32	30	30	25	37					
		1.42%	1.44%	1.08%	1.39%	1.23%	1.41%	1.09%	1.32%	1.48%	0.77%	1.93%	1.56%	0.81%	1.03%	1.29%	1.71%	1.74%	1.44%	1.78%	1.66%	1.52%	1.20%	2.42%					
21	. Путин Владимир Владимирович	22240	895	941	1086	1024	855	993	1005	1164	1097	782	1199	712	819	880	708	944	1110	1165	1126	1251	1503	981					
		65.07%	64.48%	67.65%	65.86%	66.11%	63.52%	63.74%	60.14%	63.89%	64.57%	65.66%	66.83%	64.20%	64.69%	66.67%	67.30%	65.88%	63.87%	64.65%	62.14%	63.50%	71.95%	64.12%					
22	. Хакамада Ирина Муцуовна	2470	112	91	108	116	113	129	157	146	123	74	136	95	74	90	77	86	107	133	136	127	129	111					
		7.23%	8.07%	6.54%	6.55%	7.49%	8.40%	8.28%	9.40%	8.01%	7.24%	6.21%	7.58%	8.57%	5.85%	6.82%	7.32%	6.00%	6.16%	7.38%	7.51%	6.45%	6.18%	7.25%					
23	. Харитонов Николай Михайлович	2447	105	97	123	110	112	107	110	101	150	71	94	83	100	85	89	83	153	118	146	147	144	119					
		7.16%	7.56%	6.97%	7.46%	7.10%	8.32%	6.87%	6.58%	5.54%	8.83%	5.96%	5.24%	7.48%	7.90%	6.44%	8.46%	5.79%	8.80%	6.55%	8.06%	7.46%	6.89%	7.78%					
																													
24	Против всех	2723	106	105	133	118	100	138	172	195	159	96	147	76	86	113	71	139	140	141	158	171	50	109					
		7.97%	7.64%	7.55%	8.07%	7.62%	7.43%	8.86%	10.29%	10.70%	9.36%	8.06%	8.19%	6.85%	6.79%	8.56%	6.75%	9.70%	8.06%	7.82%	8.72%	8.68%	2.39%	7.12%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
