Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Богучанская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2319	0	32	140	42	6	3	24	26	91	113	3	189	93	56	100	76	84	83	40	71	77	39	102	107	23	26	174	7	148	77	49	116	24	78	0					
		10.45%	0.00%	9.97%	12.24%	10.22%	12.24%	15.00%	16.55%	8.36%	9.19%	11.71%	3.13%	18.42%	13.32%	8.02%	11.31%	9.63%	9.61%	12.35%	7.30%	7.81%	10.46%	15.92%	8.73%	9.23%	13.22%	5.53%	10.73%	8.43%	9.71%	8.96%	10.40%	12.17%	6.42%	10.58%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	93	0	2	2	2	0	0	0	1	2	2	1	2	4	6	10	9	6	6	1	4	4	0	1	5	0	0	5	0	8	2	3	3	1	1	0					
		0.42%	0.00%	0.62%	0.17%	0.49%	0.00%	0.00%	0.00%	0.32%	0.20%	0.21%	1.04%	0.19%	0.57%	0.86%	1.13%	1.14%	0.69%	0.89%	0.18%	0.44%	0.54%	0.00%	0.09%	0.43%	0.00%	0.00%	0.31%	0.00%	0.52%	0.23%	0.64%	0.31%	0.27%	0.14%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	43	0	1	1	1	1	0	0	0	2	5	0	2	2	3	3	2	1	0	0	1	1	0	3	2	0	0	4	0	4	0	0	4	0	0	0					
		0.19%	0.00%	0.31%	0.09%	0.24%	2.04%	0.00%	0.00%	0.00%	0.20%	0.52%	0.00%	0.19%	0.29%	0.43%	0.34%	0.25%	0.11%	0.00%	0.00%	0.11%	0.14%	0.00%	0.26%	0.17%	0.00%	0.00%	0.25%	0.00%	0.26%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1860	3	25	95	37	4	2	8	18	42	55	9	96	57	83	94	62	85	67	39	70	48	19	105	113	20	34	148	14	163	58	25	73	28	61	0					
		8.38%	6.52%	7.79%	8.30%	9.00%	8.16%	10.00%	5.52%	5.79%	4.24%	5.70%	9.38%	9.36%	8.17%	11.89%	10.63%	7.86%	9.73%	9.97%	7.12%	7.70%	6.52%	7.76%	8.98%	9.75%	11.49%	7.23%	9.13%	16.87%	10.70%	6.75%	5.31%	7.66%	7.49%	8.28%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1423	0	20	71	13	0	1	6	10	47	53	5	86	52	49	84	81	62	62	31	59	31	18	71	63	10	41	104	3	114	49	16	58	9	44	0					
		6.41%	0.00%	6.23%	6.21%	3.16%	0.00%	5.00%	4.14%	3.22%	4.75%	5.49%	5.21%	8.38%	7.45%	7.02%	9.50%	10.27%	7.09%	9.23%	5.66%	6.49%	4.21%	7.35%	6.07%	5.44%	5.75%	8.72%	6.42%	3.61%	7.48%	5.70%	3.40%	6.09%	2.41%	5.97%	0.00%					
