Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Кагальницкая																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2576	УИК №2578	УИК №2579					
11	Число полученных открепительных  удостоверений	494	20	20	20	20	20	20	20	8	20	8	8	8	8	20	8	20	20	20	20	8	8	20	20	8	28	8	8	8	20	8	10	8	8	8	8					
12	Число выданных открепительных удостоверений	162	3	1	9	4	1	2	2	1	1	0	0	0	3	2	0	4	20	20	6	8	0	9	7	4	26	0	0	3	9	0	2	1	8	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	4	1	4	4	1	0	2	0	8	1	1	0	0	2	4	0	7	6	10	1	0	14	3	3	3	1	4	0	5	1	0	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	332	17	19	11	16	19	18	18	7	19	8	8	8	5	18	8	16	0	0	14	0	8	11	13	4	2	8	8	5	11	8	8	7	0	8	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	736	33	32	39	36	14	28	16	7	31	1	3	0	17	21	1	68	63	79	25	10	0	62	63	19	4	1	2	7	30	2	9	1	6	3	3					
		3.88%	4.05%	5.35%	5.48%	5.89%	3.93%	6.09%	3.87%	3.93%	3.00%	0.60%	1.84%	0.00%	4.04%	2.26%	0.61%	3.86%	4.48%	4.48%	3.60%	4.20%	0.00%	4.72%	5.02%	3.17%	0.64%	0.85%	1.41%	2.83%	4.73%	3.64%	2.45%	0.71%	4.17%	2.21%	2.24%					
19	. Малышкин Олег Александрович	484	30	20	18	17	13	11	11	5	33	3	4	3	17	14	9	34	29	33	28	6	2	49	30	5	5	5	3	5	17	0	14	4	4	3	0					
		2.55%	3.69%	3.34%	2.53%	2.78%	3.65%	2.39%	2.66%	2.81%	3.20%	1.80%	2.45%	5.66%	4.04%	1.51%	5.45%	1.93%	2.06%	1.87%	4.03%	2.52%	2.11%	3.73%	2.39%	0.83%	0.80%	4.24%	2.11%	2.02%	2.68%	0.00%	3.81%	2.86%	2.78%	2.21%	0.00%					
20	. Миронов Сергей Михайлович	104	7	2	3	6	7	3	2	2	2	0	0	0	4	6	1	8	11	5	2	1	0	0	7	3	1	2	1	4	3	0	2	3	1	3	2					
		0.55%	0.86%	0.33%	0.42%	0.98%	1.97%	0.65%	0.48%	1.12%	0.19%	0.00%	0.00%	0.00%	0.95%	0.65%	0.61%	0.45%	0.78%	0.28%	0.29%	0.42%	0.00%	0.00%	0.56%	0.50%	0.16%	1.69%	0.70%	1.62%	0.47%	0.00%	0.54%	2.14%	0.69%	2.21%	1.49%					
21	. Путин Владимир Владимирович	13118	504	317	440	364	174	300	281	130	648	143	142	39	284	683	126	1279	1042	1145	414	181	87	837	943	477	571	93	123	184	418	48	266	124	103	106	102					
		69.24%	61.92%	53.01%	61.80%	59.57%	48.88%	65.22%	68.04%	73.03%	62.79%	85.63%	87.12%	73.58%	67.46%	73.52%	76.36%	72.55%	74.11%	64.87%	59.57%	76.05%	91.58%	63.70%	75.14%	79.50%	91.36%	78.81%	86.62%	74.49%	65.93%	87.27%	72.48%	88.57%	71.53%	77.94%	76.12%					
22	. Хакамада Ирина Муцуовна	430	26	15	21	16	13	13	6	3	30	4	3	0	7	11	7	54	24	44	27	9	0	20	20	17	11	0	1	3	10	1	1	1	1	7	4					
		2.27%	3.19%	2.51%	2.95%	2.62%	3.65%	2.83%	1.45%	1.69%	2.91%	2.40%	1.84%	0.00%	1.66%	1.18%	4.24%	3.06%	1.71%	2.49%	3.88%	3.78%	0.00%	1.52%	1.59%	2.83%	1.76%	0.00%	0.70%	1.21%	1.58%	1.82%	0.27%	0.71%	0.69%	5.15%	2.99%					
23	. Харитонов Николай Михайлович	3304	170	183	164	144	127	83	76	31	257	9	10	10	79	182	20	241	181	376	166	21	4	228	143	54	14	17	12	40	124	3	69	7	23	13	23					
		17.44%	20.88%	30.60%	23.03%	23.57%	35.67%	18.04%	18.40%	17.42%	24.90%	5.39%	6.13%	18.87%	18.76%	19.59%	12.12%	13.67%	12.87%	21.30%	23.88%	8.82%	4.21%	17.35%	11.39%	9.00%	2.24%	14.41%	8.45%	16.19%	19.56%	5.45%	18.80%	5.00%	15.97%	9.56%	17.16%					
																																										
24	Против всех	510	29	22	21	23	5	16	17	0	24	7	1	1	7	6	1	64	25	67	24	7	2	35	32	20	15	0	0	4	26	1	5	0	2	1	0					
		2.69%	3.56%	3.68%	2.95%	3.76%	1.40%	3.48%	4.12%	0.00%	2.33%	4.19%	0.61%	1.89%	1.66%	0.65%	0.61%	3.63%	1.78%	3.80%	3.45%	2.94%	2.11%	2.66%	2.55%	3.33%	2.40%	0.00%	0.00%	1.62%	4.10%	1.82%	1.36%	0.00%	1.39%	0.74%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
