Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Каширская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
		2.09%	2.38%	2.07%	1.78%	1.53%	2.08%	1.09%	3.06%	2.94%	3.90%	2.32%	2.94%	2.30%	3.18%	2.32%	3.21%	1.92%	2.35%	2.13%	1.45%	1.60%	1.69%	0.83%	2.81%	0.50%	1.11%	2.02%	0.35%	2.05%	1.17%	5.18%	2.71%	0.97%	0.00%	2.11%	1.53%	1.16%	0.00%	1.52%	3.62%	0.00%	5.18%	2.19%	1.25%					
23	. Харитонов Николай Михайлович	4140	64	87	54	129	80	143	154	114	18	162	118	131	61	182	152	147	166	138	152	57	156	45	35	141	121	99	31	41	50	67	133	124	91	89	69	19	15	109	137	25	4	54	176					
		12.96%	10.16%	11.98%	16.02%	15.14%	13.89%	12.94%	13.47%	10.49%	8.78%	13.94%	10.20%	10.75%	9.70%	13.18%	11.60%	12.29%	12.99%	11.29%	12.93%	13.01%	12.54%	12.50%	10.94%	17.71%	19.12%	11.77%	10.92%	9.34%	19.46%	26.69%	13.84%	20.00%	26.69%	15.61%	13.22%	11.05%	9.32%	15.01%	21.54%	12.38%	1.22%	4.93%	12.96%					
																																																		
24	Против всех	1154	23	25	5	34	25	55	46	55	3	42	46	45	25	61	39	34	32	57	35	15	32	10	7	17	15	30	18	9	14	8	25	19	11	17	15	3	2	36	7	4	55	44	54					
		3.61%	3.65%	3.44%	1.48%	3.99%	4.34%	4.98%	4.02%	5.06%	1.46%	3.61%	3.98%	3.69%	3.97%	4.42%	2.98%	2.84%	2.50%	4.66%	2.98%	3.42%	2.57%	2.78%	2.19%	2.14%	2.37%	3.57%	6.34%	2.05%	5.45%	3.19%	2.60%	3.06%	3.23%	2.98%	2.87%	1.74%	1.24%	4.96%	1.10%	1.98%	16.77%	4.02%	3.98%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
