Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Кинешемская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544					
		3.17%	2.60%	2.55%	0.00%	1.98%	3.36%	3.16%	2.87%	0.99%	1.14%	1.12%	2.60%	4.17%	3.20%	3.68%	3.00%	4.21%	4.05%	2.36%	3.20%	3.19%	2.33%	4.50%	3.39%	4.51%	3.70%	3.92%					
20	. Миронов Сергей Михайлович	74	0	1	0	1	6	9	3	2	2	1	5	0	4	8	0	1	4	2	1	2	2	2	4	8	5	1					
		0.61%	0.00%	0.43%	0.00%	0.33%	0.75%	1.02%	0.72%	0.66%	0.76%	0.56%	0.65%	0.00%	0.53%	0.95%	0.00%	0.26%	2.70%	0.94%	0.40%	0.23%	0.52%	0.45%	0.47%	0.95%	0.66%	0.23%					
21	. Путин Владимир Владимирович	8720	178	143	160	181	570	634	275	196	167	146	545	133	484	632	140	308	91	165	167	624	264	331	633	642	593	318					
		71.35%	57.79%	60.85%	85.11%	59.74%	70.98%	71.64%	65.79%	64.69%	63.50%	82.02%	70.87%	69.27%	64.62%	75.06%	70.00%	81.05%	61.49%	77.83%	66.80%	71.15%	68.39%	74.55%	73.95%	76.25%	78.34%	73.27%					
22	. Хакамада Ирина Муцуовна	238	4	2	1	3	20	26	4	2	4	5	12	7	6	28	2	9	2	1	3	6	5	9	29	11	18	19					
		1.95%	1.30%	0.85%	0.53%	0.99%	2.49%	2.94%	0.96%	0.66%	1.52%	2.81%	1.56%	3.65%	0.80%	3.33%	1.00%	2.37%	1.35%	0.47%	1.20%	0.68%	1.30%	2.03%	3.39%	1.31%	2.38%	4.38%					
23	. Харитонов Николай Михайлович	2052	100	74	19	100	133	133	108	94	75	19	130	34	164	80	40	24	29	34	58	146	88	52	98	99	66	55					
		16.79%	32.47%	31.49%	10.11%	33.00%	16.56%	15.03%	25.84%	31.02%	28.52%	10.67%	16.91%	17.71%	21.90%	9.50%	20.00%	6.32%	19.59%	16.04%	23.20%	16.65%	22.80%	11.71%	11.45%	11.76%	8.72%	12.67%					
																																	
24	Против всех	361	11	1	7	1	26	29	9	2	8	1	25	6	30	31	1	11	6	2	4	40	8	17	30	24	19	12					
		2.95%	3.57%	0.43%	3.72%	0.33%	3.24%	3.28%	2.15%	0.66%	3.04%	0.56%	3.25%	3.12%	4.01%	3.68%	0.50%	2.89%	4.05%	0.94%	1.60%	4.56%	2.07%	3.83%	3.50%	2.85%	2.51%	2.76%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
