Выборы Президента Российской Федерации																																																																								
																																																																								
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732					
18	. Глазьев Сергей Юрьевич	2262	67	38	37	36	39	8	15	31	31	40	37	29	39	29	61	65	55	6	1	3	14	46	59	29	44	20	53	28	55	0	45	8	41	44	31	67	25	72	54	42	15	27	58	47	29	39	41	37	45	45	31	7	36	37	27	23	34	25	57	23	21	20	35	41	18					
		3.01%	4.90%	2.82%	2.80%	3.33%	3.23%	1.62%	2.23%	4.42%	2.98%	3.51%	3.76%	2.73%	2.76%	3.13%	3.23%	5.05%	3.11%	1.23%	0.90%	2.94%	3.31%	4.05%	3.85%	3.00%	3.78%	1.68%	4.50%	1.86%	3.34%	0.00%	3.49%	2.14%	3.69%	4.04%	3.65%	3.79%	2.18%	4.65%	3.05%	2.03%	3.32%	3.17%	3.54%	3.04%	1.86%	3.64%	3.07%	3.54%	4.14%	2.84%	2.94%	0.96%	3.29%	2.56%	2.98%	2.08%	2.31%	2.64%	3.90%	2.20%	2.56%	0.81%	2.19%	3.61%	1.25%					
19	. Малышкин Олег Александрович	1035	41	11	16	16	18	9	16	5	13	18	12	8	9	4	17	14	24	12	0	1	6	11	19	10	16	11	15	16	30	1	19	8	12	13	16	16	15	8	24	24	4	11	21	19	17	19	20	9	9	21	32	11	13	24	14	9	20	16	11	20	10	45	41	24	41					
		1.38%	3.00%	0.82%	1.21%	1.48%	1.49%	1.83%	2.38%	0.71%	1.25%	1.58%	1.22%	0.75%	0.64%	0.43%	0.90%	1.09%	1.36%	2.47%	0.00%	0.98%	1.42%	0.97%	1.24%	1.04%	1.37%	0.93%	1.27%	1.06%	1.82%	0.94%	1.47%	2.14%	1.08%	1.19%	1.88%	0.91%	1.31%	0.52%	1.36%	1.16%	0.88%	1.29%	1.28%	1.23%	1.09%	1.77%	1.50%	0.86%	0.83%	1.32%	3.04%	1.50%	1.19%	1.66%	1.55%	0.81%	1.36%	1.69%	0.75%	1.91%	1.22%	1.81%	2.56%	2.11%	2.84%					
20	. Миронов Сергей Михайлович	586	30	5	6	7	9	3	4	4	6	6	9	10	3	7	16	8	13	2	0	1	5	15	10	3	7	5	17	11	13	1	4	15	5	7	3	13	6	11	10	30	3	9	11	29	10	9	7	9	9	9	8	4	10	11	5	7	16	5	12	9	6	13	14	14	7					
		0.78%	2.19%	0.37%	0.45%	0.65%	0.75%	0.61%	0.59%	0.57%	0.58%	0.53%	0.91%	0.94%	0.21%	0.76%	0.85%	0.62%	0.74%	0.41%	0.00%	0.98%	1.18%	1.32%	0.65%	0.31%	0.60%	0.42%	1.44%	0.73%	0.79%	0.94%	0.31%	4.02%	0.45%	0.64%	0.35%	0.74%	0.52%	0.71%	0.56%	1.45%	0.66%	1.06%	0.67%	1.87%	0.64%	0.84%	0.52%	0.86%	0.83%	0.57%	0.76%	0.55%	0.91%	0.76%	0.55%	0.63%	1.09%	0.53%	0.82%	0.86%	0.73%	0.52%	0.87%	1.23%	0.49%					
21	. Путин Владимир Владимирович	42910	603	833	672	558	642	350	402	357	531	592	479	614	737	504	875	651	1034	300	80	53	222	577	745	437	642	855	534	808	1003	95	756	228	590	532	531	831	662	756	1039	1240	291	471	795	790	791	572	735	562	574	778	651	537	609	800	500	577	786	575	837	698	612	2240	1187	835	1157					
		57.07%	44.08%	61.84%	50.91%	51.67%	53.15%	70.99%	59.73%	50.85%	50.96%	51.88%	48.68%	57.76%	52.08%	54.37%	46.37%	50.54%	58.55%	61.73%	72.07%	51.96%	52.48%	50.75%	48.66%	45.24%	55.15%	72.03%	45.37%	53.62%	60.94%	89.62%	58.60%	61.13%	53.06%	48.85%	62.47%	47.03%	57.82%	48.87%	58.67%	59.87%	64.38%	55.35%	48.53%	51.07%	50.61%	53.41%	55.01%	53.78%	52.81%	49.05%	61.82%	73.36%	55.72%	55.33%	55.25%	52.22%	53.36%	60.78%	57.25%	66.79%	74.54%	90.25%	74.14%	73.44%	80.18%					
22	. Хакамада Ирина Муцуовна	10187	213	215	185	245	216	66	67	147	173	180	145	194	208	159	320	186	217	24	17	14	37	179	268	188	207	192	264	150	216	3	185	12	188	206	89	218	157	280	286	330	57	159	195	225	249	176	198	156	150	179	78	38	146	222	129	85	155	119	246	86	40	53	80	53	67					
		13.55%	15.57%	15.96%	14.02%	22.69%	17.88%	13.39%	9.96%	20.94%	16.60%	15.78%	14.74%	18.25%	14.70%	17.15%	16.96%	14.44%	12.29%	4.94%	15.32%	13.73%	8.75%	15.74%	17.50%	19.46%	17.78%	16.18%	22.43%	9.95%	13.12%	2.83%	14.34%	3.22%	16.91%	18.92%	10.47%	12.34%	13.71%	18.10%	16.15%	15.93%	12.61%	18.68%	11.90%	14.54%	15.93%	16.43%	14.82%	14.93%	13.80%	11.29%	7.41%	5.19%	13.36%	15.35%	14.25%	7.69%	10.52%	12.58%	16.83%	8.23%	4.87%	2.14%	5.00%	4.66%	4.64%					
23	. Харитонов Николай Михайлович	13291	309	177	361	163	227	41	147	140	244	256	248	159	156	178	343	318	327	119	8	26	120	273	371	187	198	62	234	290	252	3	236	85	226	216	154	377	218	336	267	361	59	126	290	357	272	210	278	233	256	298	204	109	229	275	137	181	390	149	223	172	92	38	131	110	59					
		17.68%	22.59%	13.14%	27.35%	15.09%	18.79%	8.32%	21.84%	19.94%	23.42%	22.44%	25.20%	14.96%	11.02%	19.20%	18.18%	24.69%	18.52%	24.49%	7.21%	25.49%	28.37%	24.01%	24.23%	19.36%	17.01%	5.22%	19.88%	19.24%	15.31%	2.83%	18.29%	22.79%	20.32%	19.83%	18.12%	21.34%	19.04%	21.72%	15.08%	17.43%	13.05%	14.81%	17.70%	23.08%	17.40%	19.61%	20.81%	22.30%	23.55%	18.79%	19.37%	14.89%	20.95%	19.02%	15.14%	16.38%	26.48%	15.75%	15.25%	16.46%	11.21%	1.53%	8.18%	9.67%	4.09%					
																																																																								
24	Против всех	4224	89	58	29	47	48	9	16	10	33	36	44	34	250	33	247	43	78	10	4	4	17	33	50	101	41	38	48	187	60	3	37	11	39	58	19	237	38	68	71	36	15	42	254	53	186	36	38	29	35	247	38	15	43	51	91	206	61	42	76	28	33	67	89	53	82					
		5.62%	6.51%	4.31%	2.20%	4.35%	3.97%	1.83%	2.38%	1.42%	3.17%	3.16%	4.47%	3.20%	17.67%	3.56%	13.09%	3.34%	4.42%	2.06%	3.60%	3.92%	4.02%	2.90%	3.27%	10.46%	3.52%	3.20%	4.08%	12.41%	3.65%	2.83%	2.87%	2.95%	3.51%	5.33%	2.24%	13.41%	3.32%	4.40%	4.01%	1.74%	3.32%	4.94%	15.51%	3.43%	11.90%	3.36%	2.84%	2.78%	3.22%	15.57%	3.61%	2.05%	3.93%	3.53%	10.06%	18.64%	4.14%	4.44%	5.20%	2.68%	4.02%	2.70%	5.56%	4.66%	5.68%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
