Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Менделеевская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК  109	УИК  110	УИК  111	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976					
11	Число полученных открепительных  удостоверений	355	5	5	5	10	10	15	15	15	10	10	20	10	10	20	10	20	20	10	5	5	10	5	5	5	5	20	5	5	5	5	5	10	5	10	10	5	10					
12	Число выданных открепительных удостоверений	194	1	4	1	10	6	9	5	4	8	10	14	6	5	16	8	13	12	10	0	3	1	1	0	3	1	12	2	2	0	0	1	6	0	5	8	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	224	3	5	52	7	6	6	1	6	9	2	9	0	1	9	2	2	10	3	0	4	0	5	0	4	2	7	2	3	3	2	6	10	6	8	21	3	5					
14	Число неиспользованных открепительных удостоверений	161	4	1	4	0	4	6	10	11	2	0	6	4	5	4	2	7	8	0	5	2	9	4	5	2	4	8	3	3	5	5	4	4	5	5	2	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	70	0	0	0	3	7	6	1	9	6	2	0	4	3	4	3	13	5	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.35%	0.00%	0.00%	0.00%	0.34%	0.71%	0.60%	0.12%	1.00%	0.70%	0.25%	0.00%	0.44%	0.44%	0.50%	0.71%	1.53%	0.53%	0.22%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	48	0	0	0	3	3	4	1	7	4	2	0	2	3	2	1	7	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.24%	0.00%	0.00%	0.00%	0.34%	0.30%	0.40%	0.12%	0.78%	0.46%	0.25%	0.00%	0.22%	0.44%	0.25%	0.24%	0.82%	0.64%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	87	0	0	0	6	5	2	3	2	4	4	26	7	4	3	7	2	4	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2					
		0.44%	0.00%	0.00%	0.00%	0.69%	0.51%	0.20%	0.36%	0.22%	0.46%	0.50%	2.61%	0.77%	0.59%	0.38%	1.67%	0.23%	0.42%	0.22%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%					
21	. Путин Владимир Владимирович	19309	154	488	680	829	958	951	823	863	830	771	914	884	634	770	403	812	909	893	169	153	205	277	414	287	123	324	253	473	277	114	289	412	256	491	614	196	416					
		97.27%	100.00%	100.00%	100.00%	94.96%	96.77%	95.00%	97.98%	96.32%	96.18%	96.86%	91.86%	97.14%	93.51%	96.98%	95.95%	95.31%	96.50%	96.96%	98.83%	100.00%	100.00%	100.00%	99.04%	100.00%	100.00%	99.39%	98.83%	100.00%	100.00%	100.00%	99.66%	100.00%	100.00%	100.00%	100.00%	100.00%	99.52%					
22	. Хакамада Ирина Муцуовна	49	0	0	0	1	2	5	5	4	4	5	0	1	8	3	1	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.25%	0.00%	0.00%	0.00%	0.11%	0.20%	0.50%	0.60%	0.45%	0.46%	0.63%	0.00%	0.11%	1.18%	0.38%	0.24%	0.23%	0.53%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	202	0	0	0	17	2	29	4	8	11	5	52	11	20	6	5	14	4	9	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		1.02%	0.00%	0.00%	0.00%	1.95%	0.20%	2.90%	0.48%	0.89%	1.27%	0.63%	5.23%	1.21%	2.95%	0.76%	1.19%	1.64%	0.42%	0.98%	0.58%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																												
24	Против всех	56	0	0	0	6	11	3	2	3	4	3	1	1	2	4	0	2	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.28%	0.00%	0.00%	0.00%	0.69%	1.11%	0.30%	0.24%	0.33%	0.46%	0.38%	0.10%	0.11%	0.29%	0.50%	0.00%	0.23%	0.53%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
