Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Прикубанская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186					
22	. Хакамада Ирина Муцуовна	371	103	3	9	0	0	9	10	0	3	4	12	13	10	11	8	15	15	10	15	56	1	35	2	27					
		1.82%	4.64%	0.63%	3.33%	0.00%	0.00%	1.35%	0.91%	0.00%	1.44%	0.74%	2.49%	2.04%	2.14%	2.96%	1.77%	1.94%	3.39%	1.81%	1.78%	3.37%	0.29%	2.23%	0.10%	0.84%					
23	. Харитонов Николай Михайлович	2642	219	27	40	21	10	132	121	7	14	21	136	141	19	63	45	177	83	115	130	293	19	271	395	143					
		12.94%	9.86%	5.67%	14.81%	3.25%	4.41%	19.73%	10.97%	3.08%	6.73%	3.91%	28.27%	22.17%	4.07%	16.94%	9.93%	22.84%	18.78%	20.80%	15.46%	17.64%	5.43%	17.25%	19.58%	4.45%					
																															
24	Против всех	271	38	5	4	4	0	32	10	0	4	0	3	10	4	8	3	16	6	5	15	30	0	31	23	20					
		1.33%	1.71%	1.05%	1.48%	0.62%	0.00%	4.78%	0.91%	0.00%	1.92%	0.00%	0.62%	1.57%	0.86%	2.15%	0.66%	2.06%	1.36%	0.90%	1.78%	1.81%	0.00%	1.97%	1.14%	0.62%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
