Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Советская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138					
18	. Глазьев Сергей Юрьевич	739	3	24	27	25	25	21	23	21	24	23	27	22	24	23	23	16	3	3	11	24	12	13	1	30	37	62	47	2	6	9	20	42	30	20	8	8					
		2.53%	2.05%	1.81%	2.14%	2.25%	3.24%	2.02%	3.12%	1.90%	2.56%	2.52%	3.76%	2.38%	1.85%	2.93%	1.88%	1.80%	1.50%	1.68%	0.65%	2.30%	1.55%	3.16%	0.32%	4.10%	5.15%	5.46%	4.55%	1.94%	1.89%	1.60%	3.22%	3.90%	2.15%	2.31%	1.31%	3.38%					
19	. Малышкин Олег Александрович	938	7	54	44	26	20	30	24	38	48	37	19	23	42	17	45	32	3	16	45	24	26	12	16	24	25	53	20	2	7	25	13	27	42	23	21	8					
		3.21%	4.79%	4.06%	3.49%	2.34%	2.59%	2.88%	3.25%	3.44%	5.12%	4.05%	2.65%	2.49%	3.23%	2.16%	3.69%	3.61%	1.50%	8.94%	2.68%	2.30%	3.36%	2.92%	5.11%	3.28%	3.48%	4.67%	1.94%	1.94%	2.20%	4.44%	2.09%	2.51%	3.01%	2.66%	3.44%	3.38%					
20	. Миронов Сергей Михайлович	173	2	5	6	1	2	11	6	8	17	5	10	6	10	6	10	3	0	0	6	5	5	0	2	4	3	11	7	0	1	2	4	1	7	4	2	1					
		0.59%	1.37%	0.38%	0.48%	0.09%	0.26%	1.06%	0.81%	0.72%	1.81%	0.55%	1.39%	0.65%	0.77%	0.76%	0.82%	0.34%	0.00%	0.00%	0.36%	0.48%	0.65%	0.00%	0.64%	0.55%	0.42%	0.97%	0.68%	0.00%	0.31%	0.36%	0.64%	0.09%	0.50%	0.46%	0.33%	0.42%					
21	. Путин Владимир Владимирович	20687	105	957	879	766	559	716	500	839	644	671	465	689	953	580	859	641	152	117	1486	671	491	292	208	478	489	751	721	76	240	342	404	695	1007	645	440	159					
		70.87%	71.92%	72.01%	69.65%	69.01%	72.41%	68.85%	67.75%	75.93%	68.73%	73.41%	64.76%	74.65%	73.31%	73.79%	70.35%	72.27%	76.00%	65.36%	88.45%	64.27%	63.52%	71.05%	66.45%	65.39%	68.11%	66.17%	69.86%	73.79%	75.47%	60.75%	64.95%	64.59%	72.19%	74.65%	72.13%	67.09%					
22	. Хакамада Ирина Муцуовна	375	3	12	13	11	12	8	13	18	3	4	11	10	21	6	6	3	3	5	37	17	11	6	19	15	9	11	13	1	3	6	16	12	16	11	3	7					
		1.28%	2.05%	0.90%	1.03%	0.99%	1.55%	0.77%	1.76%	1.63%	0.32%	0.44%	1.53%	1.08%	1.62%	0.76%	0.49%	0.34%	1.50%	2.79%	2.20%	1.63%	1.42%	1.46%	6.07%	2.05%	1.25%	0.97%	1.26%	0.97%	0.94%	1.07%	2.57%	1.12%	1.15%	1.27%	0.49%	2.95%					
23	. Харитонов Николай Михайлович	5381	23	221	238	240	134	225	149	159	171	141	156	131	206	138	236	166	33	36	36	280	209	81	57	157	134	219	200	21	49	151	140	270	275	142	119	38					
		18.43%	15.75%	16.63%	18.86%	21.62%	17.36%	21.63%	20.19%	14.39%	18.25%	15.43%	21.73%	14.19%	15.85%	17.56%	19.33%	18.71%	16.50%	20.11%	2.14%	26.82%	27.04%	19.71%	18.21%	21.48%	18.66%	19.30%	19.38%	20.39%	15.41%	26.82%	22.51%	25.09%	19.71%	16.44%	19.51%	16.03%					
																																											
24	Против всех	705	1	46	33	33	13	28	22	19	24	26	24	32	33	11	35	22	5	0	51	17	15	6	1	17	20	22	19	1	12	19	16	26	12	14	15	15					
		2.42%	0.68%	3.46%	2.61%	2.97%	1.68%	2.69%	2.98%	1.72%	2.56%	2.84%	3.34%	3.47%	2.54%	1.40%	2.87%	2.48%	2.50%	0.00%	3.04%	1.63%	1.94%	1.46%	0.32%	2.33%	2.79%	1.94%	1.84%	0.97%	3.77%	3.37%	2.57%	2.42%	0.86%	1.62%	2.46%	6.33%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
