Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Каргатская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382					
		2.73%	2.60%	2.52%	2.52%	3.35%	4.13%	2.12%	4.07%	6.44%	4.26%	11.54%	0.00%	4.23%	4.44%	0.88%	6.35%	0.93%	5.05%	2.72%	2.04%	0.93%	0.00%	1.17%	7.58%	0.00%	1.39%	1.29%	2.52%	1.53%	12.28%	4.63%	1.38%	3.76%	1.28%	0.00%	2.16%	0.18%	4.50%	0.80%					
20	. Миронов Сергей Михайлович	56	6	0	5	4	4	3	2	3	1	1	0	0	0	4	4	0	2	0	0	3	0	3	0	0	0	0	1	0	0	0	2	0	2	5	1	0	0	0					
		0.51%	0.54%	0.00%	0.57%	0.74%	0.52%	0.37%	0.34%	1.49%	1.06%	0.77%	0.00%	0.00%	0.00%	1.77%	6.35%	0.00%	0.72%	0.00%	0.00%	1.40%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.69%	0.00%	0.64%	3.40%	0.72%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6752	690	497	543	298	508	491	384	128	54	86	59	43	49	120	38	76	126	214	42	86	58	265	57	13	59	246	54	184	80	52	190	85	239	117	87	310	66	58					
		61.11%	61.83%	62.67%	62.20%	55.49%	65.55%	61.15%	65.20%	63.37%	57.45%	66.15%	62.77%	60.56%	36.30%	53.10%	60.32%	71.03%	45.49%	64.65%	85.71%	40.19%	51.79%	77.49%	86.36%	37.14%	81.94%	63.24%	45.38%	47.06%	70.18%	48.15%	65.74%	63.91%	76.36%	79.59%	62.59%	54.87%	59.46%	46.40%					
22	. Хакамада Ирина Муцуовна	206	21	19	23	14	21	17	12	2	4	4	0	0	0	3	2	0	6	5	3	8	1	2	0	1	1	1	2	11	1	3	1	1	4	0	0	7	3	3					
		1.86%	1.88%	2.40%	2.63%	2.61%	2.71%	2.12%	2.04%	0.99%	4.26%	3.08%	0.00%	0.00%	0.00%	1.33%	3.17%	0.00%	2.17%	1.51%	6.12%	3.74%	0.89%	0.58%	0.00%	2.86%	1.39%	0.26%	1.68%	2.81%	0.88%	2.78%	0.35%	0.75%	1.28%	0.00%	0.00%	1.24%	2.70%	2.40%					
23	. Харитонов Николай Михайлович	3214	302	226	226	176	173	220	129	33	25	22	33	23	76	85	14	26	113	78	3	107	49	60	4	19	10	117	54	175	11	44	88	39	57	22	47	238	31	59					
		29.09%	27.06%	28.50%	25.89%	32.77%	22.32%	27.40%	21.90%	16.34%	26.60%	16.92%	35.11%	32.39%	56.30%	37.61%	22.22%	24.30%	40.79%	23.56%	6.12%	50.00%	43.75%	17.54%	6.06%	54.29%	13.89%	30.08%	45.38%	44.76%	9.65%	40.74%	30.45%	29.32%	18.21%	14.97%	33.81%	42.12%	27.93%	47.20%					
																																													
24	Против всех	116	23	15	11	5	9	7	9	4	0	0	0	1	1	2	0	0	2	4	0	2	4	1	0	1	0	6	1	2	0	0	0	0	2	1	0	0	3	0					
		1.05%	2.06%	1.89%	1.26%	0.93%	1.16%	0.87%	1.53%	1.98%	0.00%	0.00%	0.00%	1.41%	0.74%	0.88%	0.00%	0.00%	0.72%	1.21%	0.00%	0.93%	3.57%	0.29%	0.00%	2.86%	0.00%	1.54%	0.84%	0.51%	0.00%	0.00%	0.00%	0.00%	0.64%	0.68%	0.00%	0.00%	2.70%	0.00%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
