Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Магаданская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	2368	93	75	66	51	58	71	14	79	95	58	74	42	67	75	74	58	57	51	17	26	84	86	59	31	69	56	8	46	69	59	64	56	69	49	8	5	11	30	7	37	77	45	54	45	10	1	0	0	0	0	3	1	1	5	1	3	1	0	0	5	2	0	0	7	3	0					
		4.91%	6.65%	4.89%	5.02%	4.94%	4.99%	6.02%	3.37%	5.95%	6.07%	5.23%	4.74%	4.32%	4.93%	4.55%	4.96%	3.80%	4.85%	5.80%	3.66%	5.53%	7.29%	6.34%	5.03%	5.50%	4.54%	4.85%	2.54%	4.64%	4.79%	4.28%	4.61%	4.27%	4.87%	3.38%	3.00%	3.01%	3.36%	4.70%	2.43%	5.08%	6.04%	4.64%	5.85%	3.58%	4.20%	0.71%	0.00%	0.00%	0.00%	0.00%	3.45%	2.38%	3.57%	5.43%	3.45%	10.34%	1.12%	0.00%	0.00%	12.20%	5.71%	0.00%	0.00%	10.00%	3.30%	0.00%					
19	. Малышкин Олег Александрович	1245	25	32	30	22	21	25	9	25	31	21	35	29	17	34	28	51	26	25	16	14	32	23	17	18	39	25	21	24	34	36	38	36	46	53	11	3	11	20	16	25	39	34	19	23	9	14	1	0	0	8	2	7	1	7	1	3	6	0	0	15	3	0	0	1	7	1					
		2.58%	1.79%	2.08%	2.28%	2.13%	1.81%	2.12%	2.16%	1.88%	1.98%	1.89%	2.24%	2.98%	1.25%	2.06%	1.88%	3.34%	2.21%	2.84%	3.44%	2.98%	2.78%	1.70%	1.45%	3.19%	2.57%	2.16%	6.67%	2.42%	2.36%	2.61%	2.74%	2.75%	3.24%	3.66%	4.12%	1.81%	3.36%	3.13%	5.56%	3.43%	3.06%	3.51%	2.06%	1.83%	3.78%	9.93%	3.57%	0.00%	0.00%	32.00%	2.30%	16.67%	3.57%	7.61%	3.45%	10.34%	6.74%	0.00%	0.00%	36.59%	8.57%	0.00%	0.00%	1.43%	7.69%	9.09%					
20	. Миронов Сергей Михайлович	509	10	13	14	10	8	13	2	16	15	23	19	9	18	16	25	12	13	9	3	4	14	10	13	5	14	11	3	9	25	10	10	15	17	10	14	1	4	13	5	6	11	5	9	12	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	3	1	1					
		1.06%	0.71%	0.85%	1.07%	0.97%	0.69%	1.10%	0.48%	1.20%	0.96%	2.07%	1.22%	0.92%	1.32%	0.97%	1.67%	0.79%	1.11%	1.02%	0.65%	0.85%	1.22%	0.74%	1.11%	0.89%	0.92%	0.95%	0.95%	0.91%	1.73%	0.73%	0.72%	1.15%	1.20%	0.69%	5.24%	0.60%	1.22%	2.04%	1.74%	0.82%	0.86%	0.52%	0.98%	0.96%	0.42%	0.71%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	2.86%	0.00%	0.00%	4.29%	1.10%	9.09%					
21	. Путин Владимир Владимирович	32660	890	1024	891	728	806	759	302	895	1059	729	1046	667	964	1106	988	1037	810	595	311	331	708	878	828	379	1043	800	229	656	954	931	928	914	987	1089	193	128	236	446	197	501	842	682	596	857	170	80	18	3	29	10	61	28	18	62	24	15	49	16	6	12	20	3	15	30	47	4					
		67.77%	63.62%	66.71%	67.81%	70.54%	69.36%	64.38%	72.60%	67.39%	67.71%	65.73%	67.01%	68.55%	70.88%	67.11%	66.18%	68.00%	68.88%	67.69%	66.88%	70.43%	61.46%	64.75%	70.53%	67.20%	68.62%	69.26%	72.70%	66.20%	66.20%	67.56%	66.86%	69.77%	69.61%	75.10%	72.28%	77.11%	72.17%	69.91%	68.40%	68.72%	66.04%	70.31%	64.57%	68.23%	71.43%	56.74%	64.29%	100.00%	100.00%	40.00%	70.11%	66.67%	64.29%	67.39%	82.76%	51.72%	55.06%	84.21%	100.00%	29.27%	57.14%	100.00%	100.00%	42.86%	51.65%	36.36%					
22	. Хакамада Ирина Муцуовна	3647	149	157	114	68	89	136	29	132	123	95	127	70	122	139	112	109	88	67	24	26	115	143	72	35	103	66	17	85	127	105	115	83	83	59	17	6	17	13	11	35	87	55	84	99	7	16	1	0	0	0	1	0	0	1	0	1	2	0	0	2	3	0	0	0	2	3					
		7.57%	10.65%	10.23%	8.68%	6.59%	7.66%	11.54%	6.97%	9.94%	7.86%	8.57%	8.14%	7.19%	8.97%	8.43%	7.50%	7.15%	7.48%	7.62%	5.16%	5.53%	9.98%	10.55%	6.13%	6.21%	6.78%	5.71%	5.40%	8.58%	8.81%	7.62%	8.29%	6.34%	5.85%	4.07%	6.37%	3.61%	5.20%	2.04%	3.82%	4.80%	6.82%	5.67%	9.10%	7.88%	2.94%	11.35%	3.57%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	1.09%	0.00%	3.45%	2.25%	0.00%	0.00%	4.88%	8.57%	0.00%	0.00%	0.00%	2.20%	27.27%					
23	. Харитонов Николай Михайлович	5204	159	151	139	100	120	125	31	122	138	139	170	113	117	194	172	172	127	84	69	44	148	144	125	76	176	148	30	121	156	160	165	138	141	131	17	19	37	79	35	97	152	100	105	138	29	3	2	0	0	0	8	3	4	2	1	0	3	0	0	2	2	0	0	13	7	1					
		10.80%	11.37%	9.84%	10.58%	9.69%	10.33%	10.60%	7.45%	9.19%	8.82%	12.53%	10.89%	11.61%	8.60%	11.77%	11.52%	11.28%	10.80%	9.56%	14.84%	9.36%	12.85%	10.62%	10.65%	13.48%	11.58%	12.81%	9.52%	12.21%	10.83%	11.61%	11.89%	10.53%	9.94%	9.03%	6.37%	11.45%	11.31%	12.38%	12.15%	13.31%	11.92%	10.31%	11.38%	10.99%	12.18%	2.13%	7.14%	0.00%	0.00%	0.00%	9.20%	7.14%	14.29%	2.17%	3.45%	0.00%	3.37%	0.00%	0.00%	4.88%	5.71%	0.00%	0.00%	18.57%	7.69%	9.09%					
																																																																									
24	Против всех	2379	71	81	60	49	57	47	29	59	98	42	85	40	50	81	84	79	46	46	20	20	50	69	53	18	70	44	6	45	74	73	64	61	70	46	7	2	10	35	12	26	59	45	54	80	11	21	4	0	0	7	12	3	4	14	2	6	26	3	0	4	4	0	0	16	24	1					
		4.94%	5.08%	5.28%	4.57%	4.75%	4.91%	3.99%	6.97%	4.44%	6.27%	3.79%	5.45%	4.11%	3.68%	4.92%	5.63%	5.18%	3.91%	5.23%	4.30%	4.26%	4.34%	5.09%	4.51%	3.19%	4.61%	3.81%	1.90%	4.54%	5.14%	5.30%	4.61%	4.66%	4.94%	3.17%	2.62%	1.20%	3.06%	5.49%	4.17%	3.57%	4.63%	4.64%	5.85%	6.37%	4.62%	14.89%	14.29%	0.00%	0.00%	28.00%	13.79%	7.14%	14.29%	15.22%	6.90%	20.69%	29.21%	15.79%	0.00%	9.76%	11.43%	0.00%	0.00%	22.86%	26.37%	9.09%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
