Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Вохомская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
		2.48%	1.82%	1.31%	1.41%	0.00%	1.75%	6.21%	2.44%	6.50%	1.24%	3.23%	1.14%	2.38%	0.00%	4.48%	2.59%	2.96%	0.74%	4.29%	6.78%	1.00%	2.60%	3.56%	2.80%	0.62%	2.34%	1.69%	2.09%	3.61%					
20	. Миронов Сергей Михайлович	60	12	7	0	0	3	2	1	4	2	4	1	1	2	1	1	2	0	4	0	0	3	4	3	1	0	0	0	2					
		0.86%	1.09%	0.77%	0.00%	0.00%	0.88%	0.56%	0.41%	3.25%	1.24%	1.84%	1.14%	0.79%	2.00%	0.50%	0.86%	0.99%	0.00%	1.72%	0.00%	0.00%	0.97%	0.95%	2.10%	0.62%	0.00%	0.00%	0.00%	0.72%					
21	. Путин Владимир Владимирович	4551	730	574	113	69	217	207	186	84	135	134	58	80	71	135	69	125	85	165	36	117	181	264	73	127	99	90	156	171					
		65.59%	66.36%	62.73%	79.58%	79.31%	63.45%	58.47%	75.61%	68.29%	83.85%	61.75%	65.91%	63.49%	71.00%	67.16%	59.48%	61.58%	62.96%	70.82%	61.02%	58.21%	58.77%	62.71%	51.05%	78.88%	57.89%	76.27%	81.68%	61.73%					
22	. Хакамада Ирина Муцуовна	100	17	10	2	3	1	3	3	1	1	2	0	4	1	4	1	3	1	2	2	6	7	6	3	2	2	1	4	8					
		1.44%	1.55%	1.09%	1.41%	3.45%	0.29%	0.85%	1.22%	0.81%	0.62%	0.92%	0.00%	3.17%	1.00%	1.99%	0.86%	1.48%	0.74%	0.86%	3.39%	2.99%	2.27%	1.43%	2.10%	1.24%	1.17%	0.85%	2.09%	2.89%					
23	. Харитонов Николай Михайлович	1752	262	256	23	13	106	111	39	23	19	65	24	34	20	41	38	59	44	43	16	65	97	104	53	29	58	20	17	73					
		25.25%	23.82%	27.98%	16.20%	14.94%	30.99%	31.36%	15.85%	18.70%	11.80%	29.95%	27.27%	26.98%	20.00%	20.40%	32.76%	29.06%	32.59%	18.45%	27.12%	32.34%	31.49%	24.70%	37.06%	18.01%	33.92%	16.95%	8.90%	26.35%					
																																			
24	Против всех	105	23	17	1	2	2	3	4	0	1	1	1	2	0	5	1	2	1	5	0	4	3	9	3	0	3	1	6	5					
		1.51%	2.09%	1.86%	0.70%	2.30%	0.58%	0.85%	1.63%	0.00%	0.62%	0.46%	1.14%	1.59%	0.00%	2.49%	0.86%	0.99%	0.74%	2.15%	0.00%	1.99%	0.97%	2.14%	2.10%	0.00%	1.75%	0.85%	3.14%	1.81%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
