Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Краснокамская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740					
11	Число полученных открепительных  удостоверений	685	5	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	5	20	35	26	14	5	5	10	5	5	5	20	15	5	10	20					
12	Число выданных открепительных удостоверений	479	1	22	17	15	11	12	11	16	9	11	20	16	14	14	12	13	7	7	10	13	13	15	20	10	5	20	35	24	10	5	3	10	5	1	3	17	15	0	5	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	275	3	6	8	3	10	10	14	18	4	11	8	4	1	6	11	6	8	17	5	10	2	3	4	4	4	6	11	21	10	6	6	3	6	2	3	6	5	1	5	4					
14	Число неиспользованных открепительных удостоверений	206	4	8	3	5	9	8	9	4	11	9	0	4	6	6	8	7	13	13	10	7	7	5	5	10	0	0	0	2	4	0	2	0	0	4	2	3	0	5	5	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	1168	8	36	33	50	23	30	43	56	47	33	34	31	50	33	63	26	8	27	39	30	38	28	57	16	7	44	31	57	58	11	15	16	8	4	3	17	15	2	2	39					
		3.70%	2.43%	3.23%	2.83%	4.50%	2.61%	2.72%	4.30%	4.62%	4.05%	3.68%	2.79%	3.27%	4.91%	3.25%	5.37%	3.80%	1.75%	3.30%	4.21%	3.03%	4.34%	3.45%	4.81%	3.29%	3.12%	3.83%	3.56%	4.01%	4.42%	4.31%	5.98%	3.28%	4.21%	2.34%	2.59%	2.69%	2.05%	2.27%	0.97%	4.52%					
19	. Малышкин Олег Александрович	1008	11	38	29	31	26	38	26	28	35	26	36	33	23	30	23	25	23	29	23	32	23	43	36	16	7	40	30	62	77	4	11	9	1	5	4	25	18	1	3	28					
		3.19%	3.34%	3.41%	2.49%	2.79%	2.95%	3.44%	2.60%	2.31%	3.01%	2.90%	2.96%	3.48%	2.26%	2.96%	1.96%	3.65%	5.03%	3.55%	2.48%	3.23%	2.63%	5.30%	3.04%	3.29%	3.12%	3.48%	3.44%	4.36%	5.87%	1.57%	4.38%	1.84%	0.53%	2.92%	3.45%	3.96%	2.46%	1.14%	1.46%	3.25%					
20	. Миронов Сергей Михайлович	337	1	14	19	13	8	19	14	17	13	9	22	8	8	12	13	2	5	7	7	12	8	10	7	4	1	7	9	15	8	2	2	2	4	2	0	7	12	2	3	9					
		1.07%	0.30%	1.26%	1.63%	1.17%	0.91%	1.72%	1.40%	1.40%	1.12%	1.00%	1.81%	0.84%	0.79%	1.18%	1.11%	0.29%	1.09%	0.86%	0.76%	1.21%	0.91%	1.23%	0.59%	0.82%	0.45%	0.61%	1.03%	1.05%	0.61%	0.78%	0.80%	0.41%	2.11%	1.17%	0.00%	1.11%	1.64%	2.27%	1.46%	1.04%					
21	. Путин Владимир Владимирович	21528	230	796	768	746	609	737	661	793	778	607	772	665	636	674	744	467	308	596	623	703	619	507	813	357	158	844	636	882	828	196	161	373	151	122	94	483	535	68	164	624					
		68.23%	69.91%	71.52%	65.81%	67.09%	69.05%	66.76%	66.10%	65.48%	67.01%	67.67%	63.38%	70.22%	62.41%	66.40%	63.43%	68.27%	67.40%	72.86%	67.28%	70.94%	70.74%	62.44%	68.55%	73.46%	70.54%	73.46%	73.02%	62.03%	63.16%	76.86%	64.14%	76.43%	79.47%	71.35%	81.03%	76.42%	73.19%	77.27%	79.61%	72.39%					
22	. Хакамада Ирина Муцуовна	1785	10	70	71	55	46	91	88	89	80	56	78	72	90	70	69	39	16	41	69	56	32	54	57	16	7	46	37	79	50	11	10	18	6	6	9	24	17	0	6	44					
		5.66%	3.04%	6.29%	6.08%	4.95%	5.22%	8.24%	8.80%	7.35%	6.89%	6.24%	6.40%	7.60%	8.83%	6.90%	5.88%	5.70%	3.50%	5.01%	7.45%	5.65%	3.66%	6.65%	4.81%	3.29%	3.12%	4.00%	4.25%	5.56%	3.81%	4.31%	3.98%	3.69%	3.16%	3.51%	7.76%	3.80%	2.33%	0.00%	2.91%	5.10%					
23	. Харитонов Николай Михайлович	3869	45	84	184	139	108	103	113	154	137	107	212	84	140	135	199	88	69	73	109	105	105	117	162	47	27	113	88	201	202	23	42	52	17	24	4	56	99	13	19	70					
		12.26%	13.68%	7.55%	15.77%	12.50%	12.24%	9.33%	11.30%	12.72%	11.80%	11.93%	17.41%	8.87%	13.74%	13.30%	16.97%	12.87%	15.10%	8.92%	11.77%	10.60%	12.00%	14.41%	13.66%	9.67%	12.05%	9.83%	10.10%	14.14%	15.41%	9.02%	16.73%	10.66%	8.95%	14.04%	3.45%	8.86%	13.54%	14.77%	9.22%	8.12%					
																																															
24	Против всех	1568	22	66	55	69	50	70	53	62	69	51	54	52	63	48	61	33	23	41	49	43	46	42	38	21	14	47	6	112	73	6	8	12	3	7	2	14	31	1	4	47					
		4.97%	6.69%	5.93%	4.71%	6.21%	5.67%	6.34%	5.30%	5.12%	5.94%	5.69%	4.43%	5.49%	6.18%	4.73%	5.20%	4.82%	5.03%	5.01%	5.29%	4.34%	5.26%	5.17%	3.20%	4.32%	6.25%	4.09%	0.69%	7.88%	5.57%	2.35%	3.19%	2.46%	1.58%	4.09%	1.72%	2.22%	4.24%	1.14%	1.94%	5.45%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
