Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Аксайская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №2167	УИК №2195	УИК №2493	УИК №2494	УИК №2549	УИК №2563	УИК №2564					
22	. Хакамада Ирина Муцуовна	1155	27	37	53	21	44	19	45	32	24	42	38	25	43	48	37	20	12	12	2	15	11	11	12	2	3	9	1	50	41	5	21	6	12	3	4	1	6	2	0	5	14	9	1	0	11	16	7	14	18	30	2	48	6	0	2	0	11	4	5	41	51	36	28					
		2.29%	2.42%	2.94%	5.05%	1.97%	3.24%	2.15%	4.21%	1.99%	2.76%	3.09%	4.76%	2.83%	4.71%	4.54%	3.66%	3.22%	1.50%	1.68%	0.90%	1.41%	1.15%	2.93%	0.73%	1.33%	1.23%	1.56%	0.65%	4.80%	4.53%	0.61%	2.82%	0.47%	1.57%	1.02%	1.06%	0.56%	1.07%	0.20%	0.00%	1.04%	1.28%	1.69%	0.62%	0.00%	1.41%	2.38%	1.86%	2.66%	1.13%	1.54%	0.39%	2.96%	0.56%	0.00%	0.62%	0.00%	1.39%	0.68%	1.83%	3.97%	4.03%	3.69%	2.07%					
23	. Харитонов Николай Михайлович	5378	108	148	176	161	356	144	165	230	90	163	120	144	137	211	156	79	38	106	49	74	58	21	33	12	34	82	11	160	113	80	36	40	114	61	11	2	99	29	59	57	73	86	26	1	93	103	42	98	51	96	45	207	40	3	16	5	30	112	6	64	81	115	18					
		10.66%	9.66%	11.76%	16.76%	15.09%	26.23%	16.33%	15.43%	14.33%	10.36%	11.99%	15.04%	16.31%	15.02%	19.96%	15.45%	12.72%	4.75%	14.80%	21.97%	6.95%	6.07%	5.60%	2.02%	8.00%	13.99%	14.24%	7.14%	15.36%	12.47%	9.71%	4.83%	3.15%	14.90%	20.68%	2.90%	1.12%	17.68%	2.84%	20.49%	11.90%	6.67%	16.20%	16.05%	1.39%	11.89%	15.30%	11.14%	18.63%	3.19%	4.94%	8.67%	12.79%	3.72%	3.61%	4.95%	2.37%	3.78%	19.02%	2.20%	6.20%	6.39%	11.79%	1.33%					
																																																																						
24	Против всех	1401	34	61	44	20	48	31	31	39	18	39	27	22	31	27	39	24	15	8	8	33	10	9	15	0	8	22	5	29	73	30	40	10	7	13	3	1	11	6	20	23	33	13	2	0	12	16	12	13	32	29	3	45	8	0	7	3	5	12	8	43	58	44	69					
		2.78%	3.04%	4.85%	4.19%	1.87%	3.54%	3.51%	2.90%	2.43%	2.07%	2.87%	3.38%	2.49%	3.40%	2.55%	3.86%	3.86%	1.88%	1.12%	3.59%	3.10%	1.05%	2.40%	0.92%	0.00%	3.29%	3.82%	3.25%	2.78%	8.06%	3.64%	5.37%	0.79%	0.92%	4.41%	0.79%	0.56%	1.96%	0.59%	6.94%	4.80%	3.02%	2.45%	1.23%	0.00%	1.53%	2.38%	3.18%	2.47%	2.00%	1.49%	0.58%	2.78%	0.74%	0.00%	2.17%	1.42%	0.63%	2.04%	2.93%	4.16%	4.58%	4.51%	5.10%					
																																																																						
																																																																						
																																																																						
